Player,Squad,Gls,xG,PrgC,PrgP,PrgR,Ast,X Position ,Y Position,Position
Rasmus Højlund,Manchester Utd,4,3.8,26,16,83,0,7.835,3.053,ST
Chidozie Obi-Martin,Manchester Utd,0,0.3,2,1,8,0,7.835,3.053,ST
Amad Diallo,Manchester Utd,6,4.1,92,53,159,6,3.697,0.396,RWB
Diogo Dalot,Manchester Utd,0,2,62,102,164,3,3.697,0.396,RWB
Bruno Fernandes,Manchester Utd,8,9.5,65,281,118,9,4.224,2.241,RCM
Manuel Ugarte Ribeiro,Manchester Utd,1,1,12,55,19,1,4.224,2.241,RCM
Tyler Fredricson,Manchester Utd,0,0,2,4,0,0,2.596,1.799,RCB
Noussair Mazraoui,Manchester Utd,0,0.7,37,102,51,1,2.596,1.799,RCB
Joshua Zirkzee,Manchester Utd,3,4.8,14,44,69,1,6.289,2.183,RAM
Christian Eriksen,Manchester Utd,0,0.3,10,49,29,1,6.289,2.183,RAM
Harry Amass,Manchester Utd,0,0,5,4,12,0,3.73,5.521,LWB
Patrick Dorgu,Manchester Utd,0,0.4,25,21,53,0,3.73,5.521,LWB
Casemiro,Manchester Utd,1,1.7,4,70,26,0,4.178,3.829,LCM
Toby Collyer,Manchester Utd,0,0.2,0,5,2,0,4.178,3.829,LCM
Lisandro Martínez,Manchester Utd,2,1.3,23,117,7,1,2.564,4.126,LCB
Ayden Heaven,Manchester Utd,0,0,1,2,1,0,2.564,4.126,LCB
Luke Shaw,Manchester Utd,0,0,6,18,7,0,2.564,4.126,LCB
Leny Yoro,Manchester Utd,0,0.7,19,48,4,0,2.564,4.126,LCB
Alejandro Garnacho,Manchester Utd,5,7,134,54,274,1,6.265,4.131,LAM
Kobbie Mainoo,Manchester Utd,0,0.6,21,56,38,0,6.265,4.131,LAM
Mason Mount,Manchester Utd,0,1.5,9,18,20,0,6.265,4.131,LAM
Altay Bayındır,Manchester Utd,0,0,0,0,0,0,0.587,3.002,GK
André Onana,Manchester Utd,0,0,0,1,0,0,0.587,3.002,GK
Matthijs de Ligt,Manchester Utd,2,2.5,7,55,6,0,2.337,2.973,CCB
Harry Maguire,Manchester Utd,1,1.4,6,43,6,0,2.337,2.973,CCB
Victor Lindelöf,Manchester Utd,0,0,1,9,1,0,2.337,2.973,CCB
Jonny Evans,Manchester Utd,0,0.1,1,8,2,0,2.337,2.973,CCB
