Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,source_file,Comp
1,Jak Alnwick,eng ENG,GK,Cardiff City,31-321,1993,29.0,45,3,0,4,1,43.6,0.32,-0.4,-0.02,132,440,30.0,718,91,46.1,38.3,182,59.9,46.1,384,15,3.9,42,1.45,15.6,player_advanced_goalkeeping_efl_championship.csv,
2,Jordan Archer,sct SCO,GK,Portsmouth,32-022,1993,1.7,2,0,0,0,0,2.9,0.27,+0.9,+0.54,7,26,26.9,50,5,48.0,37.1,7,28.6,36.1,32,0,0.0,3,1.80,16.1,player_advanced_goalkeeping_efl_championship.csv,
3,Daniel Bachmann,at AUT,GK,Watford,30-299,1994,21.1,28,0,0,3,1,27.1,0.30,+0.1,0.00,89,296,30.1,549,100,42.1,35.8,139,46.8,39.2,315,9,2.9,15,0.71,13.0,player_advanced_goalkeeping_efl_championship.csv,
4,James Beadle,eng ENG,GK,Sheffield Weds,20-292,2004,38.0,59,4,0,9,0,54.4,0.36,-4.6,-0.12,177,561,31.6,1153,122,36.8,34.5,205,66.8,50.3,491,23,4.7,35,0.92,12.9,player_advanced_goalkeeping_efl_championship.csv,
5,Jonathan Bond,eng ENG,GK,Watford,31-350,1993,8.9,14,0,1,0,0,17.2,0.42,+3.2,+0.36,30,85,35.3,202,32,28.2,28.5,67,41.8,33.4,130,4,3.1,14,1.58,15.5,player_advanced_goalkeeping_efl_championship.csv,
6,Solomon Brynn,eng ENG,GK,Middlesbrough,24-186,2000,5.7,9,0,0,3,0,9.4,0.38,+0.4,+0.07,10,38,26.3,140,30,20.7,26.6,29,31.0,30.7,77,10,13.0,5,0.88,13.0,player_advanced_goalkeeping_efl_championship.csv,
7,Pierce Charles,nir NIR,GK,Sheffield Weds,19-287,2005,8.0,10,0,0,1,0,12.7,0.40,+2.7,+0.33,50,110,45.5,298,37,27.9,30.5,39,69.2,52.4,107,11,10.3,5,0.63,10.8,player_advanced_goalkeeping_efl_championship.csv,
8,Bradley Collins,eng ENG,GK,Coventry City,28-075,1997,14.6,23,0,0,5,0,17.0,0.35,-6.0,-0.41,78,220,35.5,415,45,38.1,34.6,90,68.9,53.5,177,5,2.8,22,1.51,17.4,player_advanced_goalkeeping_efl_championship.csv,
9,Michael Cooper,eng ENG,GK,Sheffield Utd,25-208,1999,43.0,33,4,0,6,1,38.5,0.25,+6.5,+0.15,248,662,37.5,1425,182,37.0,35.6,223,60.5,49.3,617,59,9.6,37,0.86,11.9,player_advanced_goalkeeping_efl_championship.csv,
10,David Cornell,wls WAL,GK,Preston,34-037,1991,9.0,16,3,0,2,0,13.3,0.32,-2.7,-0.30,58,161,36.0,261,43,39.1,35.8,75,78.7,55.2,125,8,6.4,10,1.11,14.5,player_advanced_goalkeeping_efl_championship.csv,
