Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Lucas Acosta,ar ARG,GK,Sarmiento,30-054,1995,16.0,19,1,0,2,2,25.1,0.29,+8.1,+0.51,87,240,36.3,338,38,48.5,41.8,125,60.8,47.1,282,13,4.6,17,1.06,15.4,Matches
2,Alan Aguerre,ar ARG,GK,Cen. Córdoba–SdE,34-255,1990,14.0,19,2,1,3,1,16.6,0.33,-1.4,-0.10,43,156,27.6,203,29,47.3,38.7,100,60.0,43.9,157,6,3.8,5,0.36,11.5,Matches
3,Ignacio Arce,ar ARG,GK,Deportivo Riestra,33-027,1992,16.0,7,2,0,1,2,12.7,0.21,+7.7,+0.48,176,448,39.3,395,11,82.0,53.3,142,87.3,62.6,355,36,10.1,24,1.50,13.8,Matches
4,Gabriel Arias,cl CHI,GK,Racing Club,37-234,1987,11.3,9,0,0,0,0,9.5,0.22,+0.5,+0.04,56,150,37.3,236,45,44.9,38.9,100,44.0,39.2,146,4,2.7,18,1.59,21.0,Matches
5,Franco Armani,ar ARG,GK,River Plate,38-201,1986,16.0,9,0,0,1,0,14.7,0.29,+5.7,+0.36,47,106,44.3,277,75,27.4,30.3,98,30.6,33.4,160,6,3.8,17,1.06,14.6,Matches
6,Williams Barlasina,ar ARG,GK,Aldosivi,26-310,1998,4.0,8,0,1,0,0,6.3,0.39,-1.7,-0.43,13,42,31.0,66,19,40.9,35.6,33,45.5,37.8,54,4,7.4,1,0.25,13.0,Matches
7,Enrique Bologna,ar ARG,GK,Defensa y Just,43-081,1982,16.0,22,1,1,2,0,22.7,0.29,+0.7,+0.05,118,242,48.8,380,58,47.1,38.7,118,53.4,43.5,265,11,4.2,10,0.63,10.7,Matches
8,Matías Borgogno,ar ARG,GK,San Martín de San Juan,26-257,1998,16.0,18,1,2,2,0,18.7,0.29,+0.7,+0.04,123,318,38.7,367,29,58.6,44.2,133,77.4,56.3,227,20,8.8,8,0.50,10.8,Matches
9,Leandro Brey,ar ARG,GK,Boca Juniors,22-226,2002,2.0,1,0,0,1,0,1.0,0.26,0.0,+0.02,6,20,30.0,44,10,29.5,31.2,16,43.8,44.9,40,0,0.0,2,1.00,16.8,Matches
