Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 34_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián,es ESP,GK,Betis,es La Liga,38-121,1987,14.0,18,1,0,4,0,15.5,0.31,-2.5,-0.18,38,132,28.8,377,66,27.9,31.0,68,39.7,37.2,190,11,5.8,9,0.64,11.3,Matches
2,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,24-129,2000,13.4,9,1,2,1,0,10.5,0.27,+1.5,+0.11,57,178,32.0,341,51,37.5,33.9,66,75.8,54.9,143,20,14.0,17,1.27,14.2,Matches
3,Ben Alexander Voll,de GER,"GK,MF",St. Pauli,de Bundesliga,24-146,2000,0.0,0,0,0,0,0,0.0,,0.0,0.00,0,1,0.0,1,0,100.0,43.0,0,,,0,0,,0,0.00,,Matches
4,Alisson,br BRA,GK,Liverpool,eng Premier League,32-214,1992,23.9,20,0,0,2,1,19.2,0.27,+0.2,+0.01,56,162,34.6,691,96,19.7,26.5,65,40.0,33.9,225,10,4.4,43,1.80,15.7,Matches
5,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,32-066,1993,22.1,38,0,0,5,3,31.2,0.31,-3.8,-0.17,125,336,37.2,693,108,33.8,31.8,176,58.0,43.0,343,12,3.5,27,1.22,14.8,Matches
6,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,30-213,1994,28.0,35,4,0,4,0,38.2,0.28,+3.2,+0.12,126,349,36.1,746,109,35.1,33.6,183,47.5,39.2,349,19,5.4,51,1.82,16.0,Matches
7,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22-344,2002,23.6,33,0,1,3,0,33.6,0.30,+0.6,+0.03,141,369,38.2,956,105,31.0,32.5,111,65.8,50.3,346,30,8.7,27,1.14,12.8,Matches
8,Emil Audero,id IDN,GK,Como,it Serie A,28-106,1997,8.0,18,4,0,2,0,12.4,0.27,-5.6,-0.70,17,55,30.9,232,30,22.0,28.6,21,19.0,27.5,95,5,5.3,8,1.00,12.9,Matches
9,Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,26-116,1999,1.0,2,0,0,0,0,2.2,0.55,+0.2,+0.20,3,11,27.3,26,5,38.5,32.3,6,16.7,29.0,15,5,33.3,2,2.00,12.4,Matches
