Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Anthoni,br BRA,GK,Internacional,23-102,2002,6.5,8,1,0,1,1,6.6,0.29,-0.4,-0.06,18,55,32.7,98,12,39.8,35.4,48,33.3,30.5,75,1,1.3,12,1.85,16.3,Matches
2,Lucas Arcanjo,br BRA,GK,Vitória,26-270,1998,6.0,8,0,0,4,0,11.4,0.27,+3.4,+0.56,23,71,32.4,167,31,28.7,31.9,46,50.0,44.6,107,8,7.5,0,0.00,7.7,Matches
3,Gabriel Brazão,br BRA,GK,Santos,24-212,2000,7.0,10,0,0,0,0,8.4,0.30,-1.6,-0.23,25,71,35.2,117,19,41.9,35.3,54,40.7,35.7,87,2,2.3,5,0.71,14.0,Matches
4,Cássio,br BRA,GK,Cruzeiro,37-333,1987,7.0,7,0,0,2,0,8.0,0.22,+1.0,+0.14,19,56,33.9,95,19,37.9,35.6,52,38.5,35.9,103,3,2.9,6,0.86,15.8,Matches
5,Matheus Donelli,br BRA,GK,Corinthians,22-353,2002,5.0,6,1,0,0,0,5.7,0.26,-0.3,-0.05,13,33,39.4,97,19,25.8,29.2,35,22.9,27.8,53,3,5.7,2,0.40,11.6,Matches
6,Éverson,br BRA,GK,Atlético Mineiro,34-287,1990,6.0,8,0,0,2,0,9.3,0.37,+1.3,+0.22,21,51,41.2,184,25,26.1,30.2,21,14.3,29.0,55,2,3.6,13,2.17,23.0,Matches
7,Fábio,br BRA,GK,Fluminense,44-217,1980,7.0,7,0,0,1,0,7.0,0.27,0.0,0.00,10,34,29.4,111,32,20.7,27.6,43,25.6,27.2,83,3,3.6,4,0.57,14.2,Matches
8,Marcos Felipe,br BRA,GK,Bahia,29-022,1996,3.8,3,0,0,0,0,4.5,0.34,+1.5,+0.38,18,40,45.0,112,21,19.6,26.8,38,47.4,31.8,69,2,2.9,8,2.11,17.0,Matches
9,Bruno Ferreira,br BRA,GK,Ceará,31-050,1994,3.7,4,0,0,0,0,4.6,0.36,+0.6,+0.16,21,78,26.9,76,10,64.5,47.0,40,72.5,53.1,71,4,5.6,3,0.81,13.1,Matches
10,Caíque França,br BRA,GK,Sport Recife,29-336,1995,7.0,10,2,0,1,0,11.0,0.28,+1.0,+0.15,21,66,31.8,138,26,26.8,31.8,61,47.5,39.4,101,7,6.9,6,0.86,13.6,Matches
11,Gabriel,br BRA,GK,Vitória,32-220,1992,1.0,2,0,0,0,0,1.2,0.31,-0.8,-0.77,1,10,10.0,28,4,35.7,34.5,6,0.0,22.5,11,0,0.0,0,0.00,4.0,Matches
12,Gustavo,br BRA,GK,Juventude,32-056,1993,4.0,12,1,0,3,0,7.8,0.26,-4.2,-1.05,10,28,35.7,98,23,19.4,28.7,19,47.4,33.7,59,4,6.8,0,0.00,5.8,Matches
13,Léo Jardim,br BRA,GK,Vasco da Gama,30-046,1995,7.0,9,0,0,0,2,7.3,0.33,+0.3,+0.04,14,60,23.3,146,21,30.1,33.1,59,27.1,31.8,132,6,4.5,5,0.71,10.5,Matches
14,John,br BRA,GK,Botafogo (RJ),29-081,1996,7.0,5,0,0,3,0,7.2,0.33,+2.2,+0.31,24,69,34.8,209,20,25.4,31.6,40,40.0,40.4,87,2,2.3,4,0.57,13.8,Matches
15,Lucão,br BRA,GK,RB Bragantino,24-068,2001,1.0,0,0,0,0,0,0.5,0.18,+0.5,+0.54,2,4,50.0,26,8,15.4,26.9,10,0.0,13.6,24,1,4.2,0,0.00,4.7,Matches
16,Marcão,br BRA,GK,Juventude,33-060,1992,2.0,2,0,0,0,0,1.8,0.16,-0.2,-0.11,4,29,13.8,53,11,50.9,39.9,2,100.0,70.0,34,4,11.8,1,0.50,8.3,Matches
17,Fernando Miguel,br BRA,GK,Ceará,40-092,1985,3.3,3,1,0,1,0,3.4,0.19,+0.4,+0.11,19,58,32.8,81,7,56.8,40.8,26,46.2,42.8,68,4,5.9,7,2.12,17.0,Matches
18,Alex Muralha,br BRA,GK,Mirassol,35-176,1989,6.0,9,1,0,0,0,7.8,0.28,-1.2,-0.20,13,53,24.5,123,19,34.1,32.4,34,32.4,30.0,113,3,2.7,14,2.33,15.0,Matches
19,Rafael Pires,br BRA,GK,São Paulo,35-316,1989,7.0,5,1,0,2,0,7.2,0.30,+2.2,+0.31,25,83,30.1,124,17,46.0,37.9,53,49.1,40.6,134,4,3.0,2,0.29,11.4,Matches
20,João Ricardo Riedi,br BRA,GK,Fortaleza,36-241,1988,7.0,5,0,0,1,0,7.8,0.24,+2.8,+0.39,38,98,38.8,152,33,43.4,36.8,59,54.2,43.7,103,7,6.8,6,0.86,13.8,Matches
21,Sergio Rochet,uy URU,GK,Internacional,32-043,1993,0.5,,,,,,0.5,0.23,,,4,10,40.0,20,2,,39.2,3,,12.0,9,,,,,9.0,Matches
22,Ronaldo,br BRA,GK,Bahia,28-256,1996,3.2,4,0,0,0,0,4.3,0.25,+0.3,+0.09,10,42,23.8,91,13,33.0,31.3,20,60.0,39.4,53,6,11.3,4,1.25,14.2,Matches
23,Agustín Rossi,ar ARG,GK,Flamengo,29-257,1995,7.0,4,0,0,0,0,3.0,0.10,-1.0,-0.14,17,37,45.9,153,19,20.3,26.6,24,25.0,29.8,74,2,2.7,6,0.86,15.0,Matches
24,Cleiton Schwengber,br BRA,GK,RB Bragantino,27-259,1997,5.0,5,0,0,2,0,5.1,0.24,+0.1,+0.03,17,44,38.6,106,25,28.3,31.2,36,38.9,38.6,86,3,3.5,2,0.40,11.4,Matches
25,Hugo Souza,br BRA,GK,Corinthians,26-094,1999,2.0,6,1,0,0,0,4.5,0.35,-1.5,-0.77,6,12,50.0,40,9,27.5,31.3,12,8.3,24.8,24,0,0.0,1,0.50,20.5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
26,Tiago Volpi,br BRA,GK,Grêmio,34-137,1990,7.0,11,3,1,0,0,13.3,0.35,+2.3,+0.33,44,107,41.1,184,20,45.7,38.7,43,53.5,44.6,116,6,5.2,5,0.71,11.7,Matches
27,Wéverton,br BRA,GK,Palmeiras,37-143,1987,7.0,3,0,0,2,0,4.9,0.18,+1.9,+0.28,20,107,18.7,153,18,51.0,41.2,47,61.7,50.9,104,7,6.7,9,1.29,15.8,Matches
