Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Nordin Bakker,nl NED,GK,Almere City,27-186,1997,31.0,59,0,0,6,4,49.0,0.31,-6.0,-0.19,225,753,29.9,905,117,61.1,44.8,232,86.2,61.6,498,40,8.0,64,2.06,14.2,Matches
2,Vasilios Barkas,gr GRE,GK,Utrecht,30-340,1994,29.0,41,3,0,4,1,39.7,0.29,-0.3,-0.01,145,397,36.5,812,107,34.5,33.5,183,63.9,47.7,393,29,7.4,28,0.97,12.5,Matches
3,Walter Benítez,ar ARG,GK,PSV Eindhoven,32-106,1993,30.5,35,2,1,4,0,32.3,0.33,-2.7,-0.09,120,264,45.5,1069,113,20.2,27.3,130,36.9,36.3,286,16,5.6,45,1.48,16.4,Matches
4,Daniel Bielica,pl POL,GK,NAC Breda,26-005,1999,30.0,50,6,0,5,1,48.4,0.28,-0.6,-0.02,175,385,45.5,797,130,31.7,32.5,254,52.0,41.2,490,22,4.5,25,0.83,13.6,Matches
5,Justin Bijlow,nl NED,GK,Feyenoord,27-103,1998,4.0,8,0,0,2,0,6.0,0.37,-2.0,-0.51,12,30,40.0,205,16,12.7,25.0,21,19.0,28.9,26,2,7.7,6,1.50,18.1,Matches
6,Mattijs Branderhorst,nl NED,GK,Fortuna Sittard,31-125,1993,25.0,38,2,1,6,0,38.0,0.31,0.0,0.00,130,460,28.3,540,112,60.2,44.3,202,66.8,47.7,399,52,13.0,20,0.80,11.5,Matches
7,Michael Brouwer,nl NED,GK,Utrecht,32-104,1993,2.0,1,1,0,0,0,2.6,0.23,+1.6,+0.78,14,45,31.1,51,3,58.8,42.7,21,71.4,54.3,36,0,0.0,4,2.00,16.6,Matches
8,Jari De Busser,be BEL,GK,Go Ahead Eag,25-196,1999,14.0,22,1,0,3,1,19.1,0.24,-1.9,-0.14,53,192,27.6,567,72,28.4,31.7,70,44.3,42.2,272,12,4.4,15,1.07,12.3,Matches
9,Mickey van der Hart,nl NED,GK,Heerenveen,30-326,1994,18.0,33,3,0,8,1,35.0,0.33,+3.0,+0.17,75,228,32.9,755,74,27.7,29.7,53,35.8,35.9,204,10,4.9,30,1.67,16.8,Matches
10,Thomas Didillon,fr FRA,GK,Willem II,29-158,1995,31.0,51,5,0,5,3,53.9,0.31,+5.9,+0.19,217,577,37.6,827,118,47.8,38.2,253,71.9,52.1,572,34,5.9,9,0.29,9.2,Matches
11,Joel Drommel,nl NED,GK,PSV Eindhoven,28-170,1996,0.5,0,0,0,0,0,0.0,,0.0,0.00,5,11,45.5,21,1,42.9,38.3,5,40.0,43.8,6,0,0.0,0,0.00,,Matches
12,Stijn van Gassel,nl NED,GK,NEC Nijmegen,28-199,1996,2.0,4,1,0,0,0,4.5,0.25,+0.5,+0.27,4,36,11.1,60,17,36.7,35.9,22,63.6,50.9,51,2,3.9,3,1.50,12.6,Matches
13,Mike Hauptmeijer,nl NED,GK,Zwolle,28-048,1997,4.0,6,0,0,0,0,5.2,0.33,-0.8,-0.20,24,67,35.8,112,21,38.4,32.1,33,72.7,47.7,80,7,8.8,1,0.25,9.3,Matches
14,Jeroen Houwen,nl NED,GK,RKC Waalwijk,29-076,1996,24.0,48,2,0,6,2,45.4,0.33,-0.6,-0.03,178,433,41.1,735,95,44.4,37.3,191,56.0,45.4,380,17,4.5,21,0.88,12.1,Matches
15,Hidde Jurjus,nl NED,GK,Groningen,31-085,1994,1.0,1,0,0,0,0,0.3,0.11,-0.7,-0.66,3,14,21.4,44,3,29.5,31.5,3,33.3,42.0,13,0,0.0,6,6.00,32.7,Matches
16,Fabian de Keijzer,nl NED,GK,Heracles Almelo,24-360,2000,31.0,56,6,1,7,4,51.4,0.29,-0.6,-0.02,230,638,36.1,966,78,51.3,41.3,226,62.8,51.9,469,11,2.3,19,0.61,12.7,Matches
17,Joey Kesting,nl NED,GK,RKC Waalwijk,24-059,2001,3.0,5,3,0,0,0,5.1,0.21,+0.1,+0.04,25,53,47.2,86,7,48.8,38.0,17,64.7,47.2,51,0,0.0,2,0.67,10.8,Matches
18,Luuk Koopmans,nl NED,GK,Fortuna Sittard,31-168,1993,6.0,15,1,1,2,0,13.2,0.34,-1.8,-0.30,48,141,34.0,130,12,72.3,48.9,54,87.0,60.9,103,4,3.9,0,0.00,9.6,Matches
19,Roy Kortsmit,nl NED,GK,NAC Breda,32-252,1992,1.0,3,1,0,0,0,2.9,0.53,-0.1,-0.12,12,25,48.0,27,1,85.2,55.4,3,66.7,54.0,12,2,16.7,2,2.00,13.2,Matches
20,Matheus,br BRA,GK,Ajax,32-290,1992,9.0,9,0,0,1,0,7.4,0.32,-1.6,-0.17,38,110,34.5,345,54,25.5,29.2,51,43.1,36.6,105,17,16.2,10,1.11,13.4,Matches
21,Andries Noppert,nl NED,GK,Heerenveen,31-028,1994,13.0,20,1,0,2,1,18.6,0.32,-0.4,-0.03,57,195,29.2,468,49,30.8,31.1,81,63.0,47.4,162,11,6.8,20,1.54,15.4,Matches
22,Nick Olij,nl NED,GK,Sparta R'dam,29-277,1995,31.0,39,4,0,6,2,38.2,0.28,+1.2,+0.04,217,476,45.6,1226,132,33.0,33.0,132,53.8,44.8,497,38,7.6,23,0.74,12.7,Matches
23,Yanick van Osch,nl NED,GK,RKC Waalwijk,28-042,1997,3.0,9,1,1,3,0,9.9,0.36,+0.9,+0.31,26,65,40.0,103,11,37.9,35.8,35,74.3,54.5,83,3,3.6,2,0.67,11.2,Matches
24,Rome-Jayden Owusu-Oduro,nl NED,GK,AZ Alkmaar,20-307,2004,25.0,31,1,0,3,1,25.6,0.33,-4.4,-0.18,108,327,33.0,635,71,41.6,37.2,106,59.4,49.3,290,22,7.6,14,0.56,14.0,Matches
25,Remko Pasveer,nl NED,GK,Ajax,41-178,1983,21.0,18,0,0,2,1,22.3,0.30,+5.3,+0.25,122,267,45.7,806,94,29.8,29.6,95,28.4,31.3,249,23,9.2,22,1.05,13.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
26,Luca Plogmann,de GER,GK,Go Ahead Eag,25-056,2000,17.0,27,2,0,3,0,21.0,0.27,-6.0,-0.35,50,191,26.2,600,68,26.8,31.2,88,34.1,35.0,295,12,4.1,11,0.65,11.1,Matches
27,Diant Ramaj,de GER,GK,Ajax,23-228,2001,1.0,0,0,0,0,0,0.2,0.11,+0.2,+0.22,1,10,10.0,47,3,21.3,28.2,5,0.0,21.4,5,0,0.0,1,1.00,16.0,Matches
28,Robin Roefs,nl NED,GK,NEC Nijmegen,22-108,2003,29.0,41,1,3,7,4,45.5,0.33,+8.5,+0.29,158,491,32.2,953,117,40.9,36.1,180,56.1,47.2,407,39,9.6,40,1.38,14.0,Matches
29,Jasper Schendelaar,nl NED,GK,Zwolle,24-245,2000,27.0,43,3,0,8,1,47.4,0.34,+5.4,+0.20,144,476,30.3,885,142,41.5,35.8,167,65.3,52.5,444,33,7.4,21,0.78,12.1,Matches
30,Mark Spenkelink,nl NED,GK,RKC Waalwijk,28-098,1997,1.0,6,1,0,1,0,4.4,0.30,-1.6,-1.62,4,12,33.3,47,4,25.5,28.1,0,,,14,0,0.0,1,1.00,9.0,Matches
31,Przemysław Tytoń,pl POL,GK,Twente,38-121,1987,2.0,8,0,0,1,0,5.9,0.37,-2.1,-1.07,10,23,43.5,60,12,28.3,28.4,15,40.0,33.4,19,1,5.3,3,1.50,17.4,Matches
32,Lars Unnerstall,de GER,GK,Twente,34-289,1990,29.0,36,2,0,3,0,34.1,0.35,-1.9,-0.07,101,307,32.9,831,139,30.6,30.9,168,31.5,33.0,373,22,5.9,35,1.21,13.5,Matches
33,Etienne Vaessen,sr SUR,GK,Groningen,29-283,1995,30.0,45,5,0,3,2,46.0,0.33,+3.0,+0.10,227,675,33.6,1012,98,51.7,40.5,183,83.1,59.6,426,40,9.4,37,1.23,13.5,Matches
