Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Andrew,br BRA,GK,Gil Vicente FC,23-308,2001,32.0,45,6,1,11,1,41.9,0.32,-2.1,-0.06,124,346,35.8,932,149,25.4,31.7,270,40.4,39.2,479,35,7.3,33,1.03,13.5,Matches
2,Gabriel Batista,br BRA,GK,Santa Clara,26-336,1998,32.0,30,3,1,5,0,27.4,0.22,-2.6,-0.08,157,493,31.8,715,116,47.1,39.3,262,59.5,48.2,434,37,8.5,28,0.88,13.0,Matches
3,Ricardo Batista,pt POR,GK,Casa Pia,38-167,1986,1.0,1,1,0,0,0,0.8,0.02,-0.2,-0.23,1,2,50.0,31,3,6.5,24.7,3,0.0,18.7,10,0,0.0,2,2.00,14.7,Matches
4,Simão Bertelli,br BRA,GK,AVS Futebol,31-337,1993,11.0,15,2,0,1,0,21.1,0.34,+6.1,+0.55,60,154,39.0,295,45,36.3,35.0,82,57.3,45.0,150,8,5.3,8,0.73,13.8,Matches
5,Bruno Brigido,br BRA,GK,Estrela,34-057,1991,17.5,30,2,1,6,1,27.3,0.33,-1.7,-0.09,66,243,27.2,425,90,36.9,36.3,132,65.2,51.0,257,9,3.5,15,0.86,13.3,Matches
6,Lazar Carević,me MNE,GK,Famalicão,26-050,1999,18.0,21,3,0,1,1,23.3,0.27,+3.3,+0.18,71,183,38.8,429,71,31.5,32.6,97,49.5,39.5,248,6,2.4,18,1.00,14.6,Matches
7,César,br BRA,GK,Boavista,33-098,1992,16.0,30,3,0,3,2,28.6,0.34,+0.6,+0.04,75,219,34.2,251,60,54.6,41.2,125,65.6,46.2,213,18,8.5,10,0.63,12.7,Matches
8,Kevin Chamorro,cr CRC,GK,Estoril,25-027,2000,3.0,3,1,0,0,0,3.3,0.30,+0.3,+0.09,9,41,22.0,61,9,45.9,37.7,13,100.0,68.5,32,3,9.4,12,4.00,18.9,Matches
9,Diogo Costa,pt POR,GK,Porto,25-228,1999,30.0,26,4,1,4,1,25.7,0.28,+0.7,+0.02,120,282,42.6,1002,131,23.1,29.1,138,37.0,36.8,281,17,6.0,47,1.57,18.8,Matches
10,João Paulo Santos Costa,pt POR,GK,Estrela,29-092,1996,11.0,10,2,0,2,0,12.9,0.27,+2.9,+0.27,69,185,37.3,240,29,50.8,39.1,87,72.4,52.8,141,2,1.4,9,0.82,15.3,Matches
11,Rui Encarnação,pt POR,GK,Nacional,27-030,1998,0.5,1,1,0,0,0,1.1,0.05,+0.1,+0.22,3,4,75.0,6,0,33.3,39.2,2,100.0,60.0,7,0,0.0,0,0.00,10.0,Matches
12,Daniel Figueira,pt POR,GK,Estoril,26-289,1998,1.0,4,1,0,0,0,2.4,0.23,-1.6,-1.55,2,6,33.3,19,6,21.1,27.2,5,40.0,26.6,16,1,6.3,0,0.00,9.4,Matches
13,Lucas França,br BRA,GK,Nacional,29-106,1996,31.5,43,7,0,7,0,47.0,0.29,+4.0,+0.13,163,475,34.3,646,106,42.0,37.0,302,67.5,48.3,501,33,6.6,23,0.73,11.3,Matches
14,João Gonçalves,pt POR,GK,Boavista,24-181,2000,4.0,2,0,0,0,0,3.3,0.41,+1.3,+0.33,31,88,35.2,74,3,70.3,48.7,36,100.0,64.3,59,1,1.7,1,0.25,14.0,Matches
15,Marko Gudžulić,rs SRB,GK,Estrela,22-304,2002,2.0,3,0,0,1,1,2.5,0.19,+0.5,+0.27,15,48,31.3,54,7,55.6,44.3,19,94.7,61.3,37,4,10.8,1,0.50,9.7,Matches
16,Lukáš Horníček,cz CZE,GK,Braga,22-296,2002,15.0,8,1,1,1,0,12.2,0.22,+4.2,+0.28,58,182,31.9,480,77,30.4,31.8,78,46.2,40.1,177,14,7.9,30,2.00,17.3,Matches
17,Franco Israel,uy URU,GK,Sporting CP,25-013,2000,11.0,9,0,1,0,0,7.0,0.30,-2.0,-0.18,13,33,39.4,214,45,10.3,23.3,50,22.0,27.4,99,2,2.0,4,0.36,11.3,Matches
18,Jhonatan,br BRA,GK,Rio Ave,33-362,1991,8.0,13,0,0,0,0,12.3,0.29,-0.7,-0.09,30,102,29.4,231,40,26.4,32.3,78,52.6,42.2,126,3,2.4,5,0.63,12.0,Matches
19,Luiz Lúcio Reis Júnior,br BRA,GK,Famalicão,24-111,2001,1.0,0,0,0,0,0,0.3,0.17,+0.3,+0.35,11,24,45.8,32,7,59.4,44.6,6,83.3,57.8,17,3,17.6,2,2.00,10.7,Matches
20,Kaique,br BRA,GK,Farense,22-019,2003,4.0,3,0,0,1,0,3.1,0.20,+0.1,+0.02,23,65,35.4,127,24,36.2,35.0,27,70.4,53.1,60,3,5.0,1,0.25,14.6,Matches
21,Kewin,br BRA,GK,Moreirense,29-192,1995,29.0,42,3,1,6,0,39.3,0.33,-2.7,-0.09,154,440,35.0,789,126,38.7,35.0,229,59.0,43.8,472,36,7.6,19,0.66,10.6,Matches
22,Vladen Kovačević,ba BIH,GK,Sporting CP,27-024,1998,6.0,5,0,0,0,0,3.7,0.23,-1.3,-0.21,6,16,37.5,98,20,13.3,22.6,14,21.4,28.5,52,3,5.8,4,0.67,14.5,Matches
23,Nico Mantl,de GER,GK,Arouca,25-088,2000,29.0,43,8,1,8,2,40.6,0.29,-0.4,-0.01,115,284,40.5,746,127,26.3,29.0,202,43.6,37.2,445,22,4.9,42,1.45,15.1,Matches
24,Matheus,br BRA,GK,Braga,32-290,1992,17.0,19,2,0,2,1,17.6,0.24,-0.4,-0.02,42,167,25.1,478,72,28.5,31.9,106,29.2,31.6,183,9,4.9,25,1.47,17.4,Matches
25,Francisco Meixedo,pt POR,GK,Estrela,23-351,2001,0.5,0,0,0,0,0,0.2,0.07,+0.2,+0.41,4,9,44.4,14,4,35.7,35.6,7,57.1,44.4,6,0,0.0,0,0.00,9.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
26,Cezary Miszta,pl POL,GK,Rio Ave,23-187,2001,23.0,38,3,0,4,4,37.0,0.31,+3.0,+0.13,94,301,31.2,595,105,33.8,33.7,209,47.8,43.1,361,19,5.3,21,0.91,13.0,Matches
27,Guillermo Ochoa,mx MEX,GK,AVS Futebol,39-296,1985,20.0,40,1,1,6,1,36.2,0.35,-2.8,-0.14,111,259,42.9,434,79,40.6,35.9,188,44.1,38.1,343,7,2.0,16,0.80,14.3,Matches
28,Cláudio Ramos,pt POR,GK,Porto,33-170,1991,2.0,3,1,0,0,0,3.3,0.30,+0.3,+0.14,4,10,40.0,44,6,18.2,24.7,7,28.6,32.7,14,2,14.3,2,1.00,15.1,Matches
29,Joel Robles,es ESP,GK,Estoril,34-322,1990,28.0,44,5,0,2,0,47.1,0.34,+3.1,+0.11,148,494,30.0,635,107,52.8,40.4,216,73.6,52.7,394,17,4.3,38,1.36,14.5,Matches
30,Caio Secco,br BRA,GK,Moreirense,34-134,1990,3.0,6,2,0,0,0,5.1,0.24,-0.9,-0.32,3,34,8.8,69,14,36.2,35.4,21,42.9,41.3,50,2,4.0,3,1.00,16.6,Matches
31,Patrick Sequeira,cr CRC,GK,Casa Pia,26-065,1999,31.0,40,6,0,3,1,41.3,0.25,+2.3,+0.07,111,418,26.6,874,153,35.4,33.5,177,61.6,47.1,447,35,7.8,23,0.74,11.8,Matches
32,Rui Silva,pt POR,GK,Sporting CP,31-087,1994,15.0,12,4,0,1,2,12.5,0.29,+2.5,+0.17,37,97,38.1,262,49,24.8,29.4,78,41.0,36.8,164,10,6.1,19,1.27,19.4,Matches
33,Samuel Soares,pt POR,GK,Benfica,22-324,2002,2.0,0,0,0,0,0,1.0,0.04,+1.0,+0.51,2,6,33.3,28,11,7.1,24.1,10,40.0,37.7,13,2,15.4,1,0.50,11.9,Matches
34,Tomé,pt POR,GK,Boavista,18-140,2006,2.0,5,0,0,0,0,2.3,0.24,-2.7,-1.36,13,44,29.5,21,0,85.7,55.2,26,100.0,62.1,33,0,0.0,2,1.00,14.0,Matches
35,Anatolii Trubin,ua UKR,GK,Benfica,23-277,2001,30.0,26,1,1,2,0,29.2,0.31,+3.2,+0.11,69,189,36.5,645,123,19.4,27.3,150,42.7,39.7,266,18,6.8,18,0.60,12.4,Matches
36,Tomáš Vaclík,cz CZE,GK,Boavista,36-037,1989,9.0,15,3,0,2,1,17.4,0.27,+3.4,+0.38,57,159,35.8,185,48,49.7,40.1,101,66.3,48.1,166,10,6.0,4,0.44,11.1,Matches
37,João Valido,pt POR,GK,Arouca,25-063,2000,3.0,4,1,0,1,0,2.7,0.20,-1.3,-0.43,7,14,50.0,53,12,20.8,27.2,28,10.7,20.9,31,5,16.1,3,1.00,12.4,Matches
38,Bruno Varela,cv CPV,GK,Vitória,30-182,1994,32.0,33,5,0,5,0,29.3,0.29,-3.7,-0.12,108,297,36.4,832,107,24.5,30.6,221,42.1,38.0,365,21,5.8,34,1.06,14.8,Matches
39,Ricardo Velho,pt POR,GK,Farense,26-258,1998,28.0,40,6,0,2,2,40.1,0.29,+2.1,+0.08,155,463,33.5,636,109,45.4,40.4,254,68.5,52.0,453,31,6.8,24,0.86,11.9,Matches
