Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Luis Barraza,us USA,GK,D.C. United,28-178,1996,4.0,6,0,0,1,0,4.2,0.27,-1.8,-0.45,26,86,30.2,105,16,55.2,41.7,29,96.6,61.6,63,4,6.3,11,2.75,15.6,Matches
2,Adam Beaudry,us USA,GK,Colorado Rapids,19-017,2006,1.0,3,0,0,0,1,2.3,0.46,+0.3,+0.30,4,18,22.2,21,6,61.9,46.9,6,83.3,60.7,4,0,0.0,0,0.00,12.0,Matches
3,Andre Blake,jm JAM,GK,Philadelphia Union,34-165,1990,9.0,9,1,0,2,0,8.5,0.25,-0.5,-0.05,41,97,42.3,201,30,35.3,32.7,50,52.0,42.3,107,5,4.7,13,1.44,18.9,Matches
4,Jonathan Bond,eng ENG,GK,Houston Dynamo,31-351,1993,3.0,4,1,0,0,0,3.3,0.18,-0.7,-0.23,14,33,42.4,82,14,30.5,27.7,14,57.1,42.1,30,0,0.0,2,0.67,15.3,Matches
5,Christopher Brady,us USA,GK,Chicago Fire,21-063,2004,10.4,22,3,0,2,1,20.6,0.31,-0.4,-0.04,15,56,26.8,280,56,15.7,25.4,43,27.9,31.6,119,5,4.2,15,1.44,15.6,Matches
6,Sebastian Breza,ca CAN,GK,CF Montréal,27-051,1998,1.0,1,0,0,1,0,1.8,0.30,+0.8,+0.81,2,13,15.4,34,3,35.3,32.1,4,25.0,25.3,11,2,18.2,1,1.00,12.9,Matches
7,Roman Bürki,ch SUI,GK,St. Louis,34-172,1990,3.0,0,0,0,0,0,1.9,0.21,+1.9,+0.64,18,48,37.5,87,18,44.8,39.6,26,34.6,37.2,45,4,8.9,4,1.33,12.8,Matches
8,Evan Bush,us USA,GK,Columbus Crew,39-060,1986,1.0,0,0,0,0,0,0.0,,0.0,0.00,1,1,100.0,27,4,3.7,20.1,4,0.0,14.3,1,0,0.0,1,1.00,14.0,Matches
9,Rafael Cabral,br BRA,GK,Real Salt Lake,34-350,1990,11.0,17,2,0,3,0,20.1,0.33,+3.1,+0.28,43,110,39.1,390,37,22.1,29.0,79,30.4,32.2,115,2,1.7,21,1.91,19.1,Matches
10,Drake Callender,us USA,GK,Inter Miami,27-210,1997,2.1,5,0,0,0,0,4.7,0.36,-0.3,-0.17,10,17,58.8,57,10,22.8,30.7,9,44.4,39.4,15,0,0.0,3,1.46,15.8,Matches
11,Roman Celentano,us USA,GK,FC Cincinnati,24-233,2000,11.0,13,1,0,0,1,13.2,0.27,+1.2,+0.11,33,96,34.4,262,69,28.6,30.7,75,28.0,30.8,165,10,6.1,6,0.55,10.5,Matches
12,Michael Collodi,us USA,GK,FC Dallas,23-345,2001,1.0,0,0,0,0,0,1.0,0.48,+1.0,+0.96,3,13,23.1,34,4,26.5,32.8,4,100.0,63.5,12,1,8.3,1,1.00,15.2,Matches
13,Carlos Coronel,py PAR,GK,NY Red Bulls,28-127,1996,10.0,12,1,1,1,0,15.4,0.31,+3.4,+0.34,29,121,24.0,258,49,36.8,32.6,46,56.5,45.9,112,6,5.4,20,2.00,17.8,Matches
