Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Lucas Abascia,ar ARG,DF,Cen. Córdoba–SdE,29-146,1995,5.8,13,10,9,3,1,9,12,75.0,3,10,5,5,22,35,49,1,Matches
2,Luciano Abecasis,ar ARG,DF,Ind. Rivadavia,34-335,1990,1.0,2,2,1,0,1,1,1,100.0,0,4,0,4,0,2,4,1,Matches
3,Ramón Ábila,ar ARG,FW,Huracán,35-203,1989,1.7,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,Matches
4,Ignacio Abraham,sy SYR,DF,Banfield,27-113,1998,4.1,8,6,7,0,1,5,8,62.5,3,3,0,3,2,10,20,0,Matches
5,Gonzalo Abrego,ar ARG,MF,Godoy Cruz,25-118,2000,9.3,22,14,5,16,1,11,24,45.8,13,14,6,8,4,26,18,0,Matches
6,Jonás Acevedo,ar ARG,"MF,FW",Instituto,28-088,1997,7.1,13,10,5,7,1,4,7,57.1,3,6,0,6,2,15,4,0,Matches
7,Juan Achetoni,ar ARG,FW,Aldosivi,20-055,2005,0.0,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,1,0,Matches
8,Guillermo Acosta,ar ARG,MF,Atlé Tucumán,36-186,1988,9.9,22,16,7,14,1,9,14,64.3,5,6,4,2,17,39,19,0,Matches
9,Lautaro Acosta,ar ARG,FW,Lanús,37-052,1988,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
10,Lucas Acosta,ar ARG,"FW,DF",San Martín de San Juan,19-351,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
11,Lucas Acosta,ar ARG,GK,Sarmiento,30-054,1995,16.0,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,5,0,Matches
12,Marcos Acuña,ar ARG,DF,River Plate,33-189,1991,11.2,17,13,8,5,4,6,15,40.0,9,6,1,5,14,31,18,0,Matches
13,Valentino Acuña,ar ARG,"FW,DF",Newell's OB,19-098,2006,1.1,2,1,0,1,1,1,2,50.0,1,3,0,3,1,3,2,0,Matches
14,Tomás Adoryán,ar ARG,MF,Banfield,23-225,2001,5.3,14,8,4,8,2,9,14,64.3,5,11,1,10,2,16,7,0,Matches
15,Luis Advíncula,pe PER,DF,Boca Juniors,35-064,1990,8.3,16,12,12,3,1,12,16,75.0,4,8,3,5,5,21,19,0,Matches
16,Alan Aguerre,ar ARG,GK,Cen. Córdoba–SdE,34-255,1990,14.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,7,0,Matches
17,Emanuel Aguilera,ar ARG,DF,Defensa y Just,35-328,1989,11.1,4,2,2,2,0,2,9,22.2,7,3,2,1,7,11,66,0,Matches
18,Brian Aguirre,ar ARG,FW,Boca Juniors,21-338,2003,1.3,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,1,0,Matches
19,Manuel Agustín Duarte,ar ARG,"MF,FW",Barracas Central,23-255,2001,4.3,4,3,1,2,1,1,8,12.5,7,3,0,3,3,7,4,0,Matches
20,Gabriel Alanís,ar ARG,FW,Huracán,31-050,1994,10.3,12,9,5,5,2,3,12,25.0,9,7,2,5,6,18,14,0,Matches
21,Agustín Alaniz,uy URU,"FW,MF",Banfield,22-354,2002,11.1,16,11,3,9,4,3,15,20.0,12,14,0,14,6,22,5,0,Matches
22,Fernando Alarcón,ar ARG,DF,Instituto,30-323,1994,16.0,13,10,10,3,0,9,14,64.3,5,15,9,6,25,38,107,1,Matches
23,William Alarcón,cl CHI,MF,Boca Juniors,24-166,2000,4.9,7,6,4,3,0,4,4,100.0,0,7,2,5,3,10,6,0,Matches
24,Lucas Alario,ar ARG,FW,Estudiantes–LP,32-209,1992,6.7,6,5,2,3,1,1,4,25.0,3,4,2,2,2,8,7,0,Matches
