Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Brenden Aaronson,us USA,MF,Leeds United,24-194,2000,39.5,57,33,18,24,15,17,50,34.0,33,40,1,39,8,65,8,1,Matches
2,Thelo Aasgaard,no NOR,"MF,FW",Luton Town,23-002,2002,16.8,20,10,4,10,6,10,20,50.0,10,26,6,20,9,29,30,0,Matches
3,James Abankwah,ie IRL,DF,Watford,21-108,2004,15.4,25,22,19,5,1,11,13,84.6,2,30,13,17,9,34,88,5,Matches
4,Salis Abdul Samed,gh GHA,MF,Sunderland,25-039,2000,3.1,2,0,1,1,0,1,1,100.0,0,1,0,1,2,4,6,0,Matches
5,Azeem Abdulai,sct SCO,"FW,MF",Swansea City,22-146,2002,3.9,9,5,3,3,3,4,8,50.0,4,4,0,4,2,11,3,0,Matches
6,Ebou Adams,gm GAM,MF,Derby County,29-109,1996,42.1,151,99,53,77,21,54,93,58.1,39,76,17,59,56,207,74,1,Matches
7,Elijah Adebayo,eng ENG,FW,Luton Town,27-117,1998,26.9,14,11,8,2,4,6,22,27.3,16,34,9,25,7,21,44,0,Matches
8,Michael Adu-Poku,eng ENG,FW,Watford,19-224,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
9,Enock Agyei,be BEL,"FW,MF",Burnley,20-111,2005,0.6,4,0,3,1,0,1,2,50.0,1,1,0,1,0,4,0,0,Matches
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,26-039,1999,34.8,53,43,36,16,1,27,41,65.9,14,25,14,11,40,93,175,1,Matches
11,Semi Ajayi,ng NGA,DF,West Brom,31-176,1993,13.6,12,6,9,3,0,5,8,62.5,3,5,3,2,11,23,54,0,Matches
12,Milan Aleksić,rs SRB,"MF,FW",Sunderland,19-247,2005,3.2,6,4,3,2,1,2,4,50.0,2,2,0,2,4,10,6,0,Matches
13,Ajibola Alese,eng ENG,DF,Sunderland,24-107,2001,7.8,10,4,5,2,3,6,8,75.0,2,11,4,7,6,16,41,0,Matches
14,Jamie Allen,eng ENG,MF,Coventry City,30-095,1995,11.2,30,16,15,10,5,19,37,51.4,18,17,3,14,9,39,11,1,Matches
15,Joe Allen,wls WAL,MF,Swansea City,35-051,1990,7.9,15,8,6,4,5,6,13,46.2,7,4,1,3,7,22,8,0,Matches
16,Millenic Alli,ie IRL,"FW,DF",Luton Town,25-087,2000,8.5,10,5,5,2,3,4,8,50.0,4,8,1,7,1,11,13,1,Matches
17,Jak Alnwick,eng ENG,GK,Cardiff City,31-321,1993,29.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,19,2,Matches
18,Will Alves,eng ENG,"FW,MF",Cardiff City,20-090,2005,7.4,16,11,9,5,2,6,10,60.0,4,4,0,4,3,19,3,0,Matches
19,Steven Alzate,co COL,MF,Hull City,26-238,1998,21.6,74,50,34,37,3,25,38,65.8,13,31,18,13,27,101,58,1,Matches
20,Zeki Amdouni,ch SUI,MF,Burnley,24-151,2000,0.4,1,1,0,0,1,0,0,,0,3,0,3,0,1,1,0,Matches
21,Ethan Ampadu,wls WAL,"DF,MF",Leeds United,24-232,2000,25.4,47,27,18,24,5,26,39,66.7,13,26,15,11,25,72,88,0,Matches
22,Nordin Amrabat,ma MAR,"FW,MF",Hull City,38-034,1987,3.2,6,5,2,2,2,4,6,66.7,2,2,0,2,0,6,3,1,Matches
23,Lucas Andersen,dk DEN,"MF,FW",QPR,30-233,1994,12.9,26,14,7,15,4,8,28,28.6,20,12,2,10,9,35,12,0,Matches
24,Joe Anderson,eng ENG,DF,Sunderland,24-087,2001,1.1,2,2,2,0,0,2,3,66.7,1,0,0,0,0,2,2,0,Matches
25,Ryan Andrews,eng ENG,"DF,MF",Watford,20-251,2004,23.2,37,26,19,13,5,17,33,51.5,16,21,4,17,23,60,76,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,Jaidon Anthony,eng ENG,"FW,MF",Burnley,25-154,1999,40.7,56,33,13,34,9,21,52,40.4,31,57,5,52,31,87,51,0,Matches
27,Adil Aouchiche,fr FRA,"MF,FW",Portsmouth,22-293,2002,7.6,14,7,1,7,6,4,19,21.1,15,13,1,12,10,24,6,0,Matches
28,Adil Aouchiche,fr FRA,"FW,MF",Sunderland,22-293,2002,3.3,4,2,2,0,2,2,8,25.0,6,4,1,3,0,4,3,1,Matches
29,Oliver Arblaster,eng ENG,MF,Sheffield Utd,20-364,2004,10.9,12,7,4,6,2,6,11,54.5,5,7,4,3,9,21,25,0,Matches
30,Jordan Archer,sct SCO,GK,Portsmouth,32-022,1993,1.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
31,Adam Armstrong,eng ENG,FW,West Brom,28-083,1997,11.2,9,7,1,4,4,3,5,60.0,2,4,1,3,0,9,2,0,Matches
32,Harrison Armstrong,eng ENG,MF,Derby County,18-105,2007,12.3,25,18,10,13,2,11,21,52.4,10,10,1,9,23,48,33,0,Matches
33,Sinclair Armstrong,ie IRL,FW,Bristol City,21-316,2003,17.3,3,1,0,2,1,0,3,0.0,3,4,0,4,3,6,0,0,Matches
34,Stuart Armstrong,sct SCO,"MF,FW",Sheffield Weds,33-035,1992,6.0,10,6,4,4,2,2,5,40.0,3,4,2,2,2,12,8,0,Matches
35,Harrison Ashby,sct SCO,"DF,FW",QPR,23-171,2001,17.6,56,35,34,18,4,31,46,67.4,15,23,5,18,11,67,67,2,Matches
36,Cian Ashford,wls WAL,"FW,MF",Cardiff City,20-222,2004,16.9,21,12,13,3,5,12,23,52.2,11,13,0,13,8,29,7,0,Matches
37,Robert Atkinson,eng ENG,DF,Portsmouth,26-295,1998,12.2,7,3,5,1,1,4,5,80.0,1,17,12,5,9,16,102,0,Matches
38,Luke Ayling,eng ENG,DF,Middlesbrough,33-252,1991,21.7,60,42,34,22,4,40,57,70.2,17,36,12,24,23,83,38,1,Matches
39,Finn Azaz,ie IRL,"MF,FW",Middlesbrough,24-239,2000,39.4,39,28,10,21,8,19,36,52.8,17,30,5,25,14,53,23,0,Matches
40,Femi Azeez,eng ENG,FW,Millwall,23-333,2001,21.2,47,30,19,16,12,21,38,55.3,17,28,3,25,18,65,42,0,Matches
41,Kwadwo Baah,eng ENG,"MF,FW",Watford,22-097,2003,16.2,16,12,8,5,3,2,7,28.6,5,10,1,9,4,20,15,0,Matches
42,Daniel Bachmann,at AUT,GK,Watford,30-299,1994,21.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,5,Matches
43,Joel Bagan,ie IRL,DF,Cardiff City,24-362,2000,17.9,32,20,22,10,0,14,24,58.3,10,21,12,9,14,46,89,1,Matches
44,Michael Baidoo,gh GHA,"MF,FW",Plymouth Argyle,25-355,1999,5.0,6,3,2,4,0,3,12,25.0,9,3,0,3,2,8,5,0,Matches
45,Lewis Baker,eng ENG,MF,Stoke City,30-009,1995,16.4,9,4,4,5,0,5,16,31.3,11,9,4,5,12,21,17,1,Matches
46,Lewis Baker,eng ENG,"MF,FW",Blackburn,30-009,1995,6.6,12,3,7,5,0,4,7,57.1,3,9,3,6,5,17,13,0,Matches
47,Daniel Ballard,nir NIR,DF,Sunderland,25-224,1999,12.5,11,7,9,2,0,7,10,70.0,3,9,6,3,9,20,80,2,Matches
48,Patrick Bamford,eng ENG,FW,Leeds United,31-241,1993,2.8,3,2,1,1,1,1,2,50.0,1,1,0,1,2,5,2,0,Matches
49,Raees Bangura-Williams,,"FW,MF",Millwall,,,6.8,23,15,10,10,3,8,11,72.7,3,10,0,10,3,26,10,0,Matches
50,Barry Bannan,sct SCO,MF,Sheffield Weds,35-154,1989,38.5,66,36,31,24,11,29,62,46.8,33,42,23,19,22,88,55,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Tammer Bany,dk DEN,"MF,FW",West Brom,21-197,2003,0.6,4,4,0,3,1,2,2,100.0,0,2,0,2,2,6,1,0,Matches
52,Jamal Baptiste,eng ENG,DF,Sheffield Utd,21-174,2003,0.1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,Matches
53,Shandon Baptiste,gd GRN,MF,Luton Town,27-026,1998,8.0,14,8,8,5,1,8,15,53.3,7,14,5,9,12,26,15,0,Matches
54,Tom Barkhuizen,eng ENG,"FW,MF",Derby County,31-304,1993,4.5,7,4,5,1,1,3,6,50.0,3,3,1,2,5,12,6,0,Matches
55,Daniel Barlaser,tr TUR,MF,Middlesbrough,28-106,1997,12.8,16,11,4,8,4,6,16,37.5,10,9,3,6,10,26,13,3,Matches
56,Ashley Barnes,eng ENG,"FW,MF",Norwich City,35-186,1989,1.9,1,0,0,1,0,0,0,,0,1,0,1,1,2,2,0,Matches
57,Ashley Barnes,eng ENG,"FW,MF",Burnley,35-186,1989,1.5,0,0,0,0,0,0,0,,0,3,1,2,2,2,2,0,Matches
58,Louie Barry,eng ENG,"FW,MF",Hull City,21-317,2003,1.8,1,1,0,1,0,0,1,0.0,1,2,0,2,1,2,1,0,Matches
59,Kyle Bartley,eng ENG,DF,West Brom,33-347,1991,29.0,25,14,21,4,0,11,14,78.6,3,30,27,3,23,48,182,1,Matches
60,Norman Bassette,be BEL,FW,Coventry City,20-176,2004,10.1,4,4,1,1,2,1,4,25.0,3,10,0,10,0,4,9,0,Matches
61,Danny Batth,eng ENG,DF,Blackburn,34-225,1990,33.4,31,23,24,6,1,15,24,62.5,9,36,29,7,37,68,244,2,Matches
62,Patrick Bauer,de GER,DF,Preston,32-188,1992,0.1,1,0,1,0,0,1,1,100.0,0,2,2,0,0,1,0,0,Matches
63,James Beadle,eng ENG,GK,Sheffield Weds,20-292,2004,38.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,24,5,Matches
64,Owen Beck,wls WAL,"DF,FW",Blackburn,22-268,2002,20.8,63,38,40,19,4,33,46,71.7,13,34,12,22,19,82,74,0,Matches
