Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Patrick van Aanholt,nl NED,DF,Sparta R'dam,34-249,1990,17.4,24,16,12,11,1,8,26,30.8,18,15,4,11,19,43,42,0,Matches
2,Paxten Aaronson,us USA,"MF,FW",Utrecht,21-252,2003,27.7,109,64,42,52,15,40,77,51.9,37,34,7,27,36,145,22,0,Matches
3,Jayden Addai,nl NED,"FW,DF",AZ Alkmaar,19-252,2005,3.4,6,3,2,3,1,1,9,11.1,8,7,0,7,1,7,5,0,Matches
4,Bobby Adekanye,nl NED,"FW,MF",Go Ahead Eag,26-080,1999,8.6,9,4,2,6,1,3,13,23.1,10,5,0,5,0,9,6,0,Matches
5,Aske Adelgaard,dk DEN,DF,Go Ahead Eag,21-176,2003,12.6,18,12,11,5,2,15,24,62.5,9,11,4,7,9,27,42,0,Matches
6,Shawn Adewoye,be BEL,DF,Fortuna Sittard,24-310,2000,19.4,30,17,25,3,2,23,31,74.2,8,30,19,11,29,59,115,0,Matches
7,Olivier Aertssen,nl NED,DF,Zwolle,20-271,2004,12.4,29,20,20,5,4,14,22,63.6,8,17,9,8,14,43,69,0,Matches
8,Amar Ahmed,se SWE,"FW,MF",Willem II,21-075,2004,7.6,11,4,4,4,3,7,14,50.0,7,12,5,7,10,21,6,0,Matches
9,Isaiah Ahmed,cw CUW,MF,Heerenveen,19-128,2005,0.1,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches
10,Makan Aiko,fr FRA,FW,Fortuna Sittard,24-118,2001,13.1,9,3,2,1,6,2,4,50.0,2,12,2,10,9,18,6,0,Matches
11,Chuba Akpom,eng ENG,FW,Ajax,29-208,1995,9.2,9,7,5,2,2,4,8,50.0,4,8,0,8,0,9,11,0,Matches
12,Hamdi Akujobi,nl NED,DF,Almere City,25-105,2000,26.0,54,40,38,13,3,22,34,64.7,12,27,17,10,28,82,86,0,Matches
13,Gerald Alders,nl NED,DF,Twente,19-363,2005,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,3,0,Matches
14,Hussein Ali,iq IRQ,DF,Heerenveen,23-065,2002,2.4,9,6,6,3,0,6,6,100.0,0,2,0,2,1,10,12,0,Matches
15,Jaydon Amauri Banel,nl NED,FW,Ajax,20-198,2004,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
16,Jamal Amofa,nl NED,DF,Go Ahead Eag,26-161,1998,1.8,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,4,0,Matches
17,Silas Andersen,dk DEN,MF,Utrecht,20-326,2004,0.0,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,Matches
18,Oliver Antman,fi FIN,"FW,MF",Go Ahead Eag,23-263,2001,24.8,27,17,15,9,3,15,24,62.5,9,22,2,20,10,37,33,0,Matches
19,Anouar El Azzouzi,nl NED,"MF,DF",Zwolle,23-341,2001,30.0,87,51,36,43,8,40,67,59.7,27,25,10,15,38,125,98,3,Matches
20,Julian Baas,nl NED,MF,Sparta R'dam,23-019,2002,9.4,18,12,7,10,1,13,20,65.0,7,12,3,9,12,30,20,0,Matches
21,Youri Baas,nl NED,DF,Ajax,22-049,2003,22.7,27,12,14,11,2,15,25,60.0,10,19,10,9,33,60,86,2,Matches
22,Isaac Babadi,nl NED,MF,PSV Eindhoven,20-029,2005,1.9,5,5,2,1,2,2,3,66.7,1,5,0,5,3,8,0,0,Matches
23,Leandro Bacuna,cw CUW,"DF,MF",Groningen,33-257,1991,23.2,31,21,15,12,4,19,35,54.3,16,28,7,21,20,51,62,1,Matches
24,Thibo Baeten,be BEL,"MF,FW",Go Ahead Eag,22-335,2002,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
25,Esmir Bajraktarevic,ba BIH,"FW,DF",PSV Eindhoven,20-056,2005,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,Saïd Bakari,km COM,DF,Sparta R'dam,30-225,1994,20.8,47,29,29,17,1,31,63,49.2,32,32,11,21,24,71,79,0,Matches
27,Johan Bakayoko,be BEL,FW,PSV Eindhoven,22-015,2003,17.0,19,14,4,6,9,9,16,56.3,7,9,1,8,8,27,10,0,Matches
28,Nordin Bakker,nl NED,GK,Almere City,27-186,1997,31.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,35,3,Matches
29,Max Balard,au AUS,MF,NAC Breda,24-166,2000,29.6,63,32,32,28,3,25,46,54.3,21,45,16,29,43,106,79,2,Matches
30,Alex Balboa,gq EQG,MF,Almere City,24-060,2001,4.5,7,2,5,0,2,3,12,25.0,9,6,1,5,2,9,14,0,Matches
31,Théo Barbet,fr FRA,DF,Almere City,24-060,2001,8.8,13,6,7,5,1,3,8,37.5,5,16,12,4,11,24,67,0,Matches
32,Vasilios Barkas,gr GRE,GK,Utrecht,30-340,1994,29.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,11,0,Matches
33,Samuel Bastien,cd COD,"MF,FW",Fortuna Sittard,28-221,1996,14.4,16,10,4,7,5,7,16,43.8,9,9,1,8,3,19,15,0,Matches
34,Riechedly Bazoer,nl NED,MF,AZ Alkmaar,28-205,1996,0.0,2,1,0,2,0,0,0,,0,0,0,0,1,3,0,0,Matches
35,Guus Beaumont,nl NED,MF,Almere City,22-360,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
36,Thomas Beelen,nl NED,DF,Feyenoord,23-328,2001,18.9,20,15,9,8,3,8,12,66.7,4,14,12,2,31,51,69,2,Matches
37,Raffael Behounek,at AUT,DF,Willem II,28-019,1997,29.9,33,18,22,11,0,22,42,52.4,20,39,31,8,32,65,177,1,Matches
38,Kristijan Belic,rs SRB,MF,AZ Alkmaar,24-041,2001,6.5,28,20,11,13,4,8,19,42.1,11,11,6,5,12,40,9,2,Matches
39,Mimeirhel Benita,nl NED,DF,Heracles Almelo,21-169,2003,19.7,57,32,37,16,4,32,55,58.2,23,23,9,14,36,93,77,2,Matches
40,Walter Benítez,ar ARG,GK,PSV Eindhoven,32-106,1993,30.5,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,16,2,Matches
41,Mitchell van Bergen,nl NED,FW,Sparta R'dam,25-251,1999,9.6,10,5,3,4,3,6,8,75.0,2,8,0,8,6,16,5,0,Matches
42,Mitchell van Bergen,nl NED,FW,Twente,25-251,1999,8.9,7,4,1,4,2,2,5,40.0,3,8,0,8,0,7,6,0,Matches
43,Thom van Bergen,nl NED,FW,Groningen,21-119,2004,24.7,36,22,14,17,5,10,20,50.0,10,21,2,19,9,45,30,0,Matches
44,Steven Berghuis,nl NED,"FW,MF",Ajax,33-137,1991,13.7,17,10,8,7,2,9,19,47.4,10,5,0,5,6,23,4,0,Matches
45,Steven Bergwijn,nl NED,FW,Ajax,27-209,1997,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
46,Gijs Besselink,nl NED,MF,Twente,20-323,2004,3.6,7,4,3,3,1,3,5,60.0,2,3,1,2,3,10,6,0,Matches
47,Daniel Bielica,pl POL,GK,NAC Breda,26-005,1999,30.0,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,14,2,Matches
48,Justin Bijlow,nl NED,GK,Feyenoord,27-103,1998,4.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,Matches
