Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Saminu Abdullahi,ng NGA,MF,FC Juárez,24-122,2001,0.5,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,1,0,Matches
2,José Abella,mx MEX,DF,Santos,31-084,1994,16.8,35,22,15,16,4,15,33,45.5,18,16,8,8,20,55,69,1,Matches
3,José Abella,mx MEX,DF,FC Juárez,31-084,1994,11.3,22,14,14,8,0,14,26,53.8,12,8,5,3,14,36,32,1,Matches
4,Diego Abitia,mx MEX,FW,Atlético,22-019,2003,3.6,3,1,1,1,1,1,2,50.0,1,0,0,0,1,4,3,0,Matches
5,Carlos Acevedo,mx MEX,GK,Santos,29-016,1996,33.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,18,3,Matches
6,Alonso Aceves,mx MEX,DF,Pachuca,24-038,2001,14.8,36,21,26,10,0,17,19,89.5,2,19,8,11,12,48,70,1,Matches
7,Gilberto Adame,mx MEX,"DF,MF",Mazatlán,20-185,2004,4.6,8,7,6,2,0,3,6,50.0,3,6,1,5,0,8,15,0,Matches
8,Sergio Aguayo,us USA,FW,Pachuca,22-162,2002,1.8,4,2,0,1,3,0,2,0.0,2,0,0,0,0,4,2,0,Matches
9,Eduardo Águila,mx MEX,DF,Atlético,22-353,2002,30.0,41,26,29,11,1,25,36,69.4,11,34,20,14,33,74,148,0,Matches
10,Eduardo Aguirre,mx MEX,"FW,MF",Atlas,26-275,1998,24.4,19,11,4,7,8,6,18,33.3,12,19,3,16,4,23,18,0,Matches
11,Érick Aguirre,mx MEX,DF,Monterrey,28-071,1997,10.4,26,19,14,10,2,16,24,66.7,8,14,1,13,18,44,23,0,Matches
12,Gaddi Aguirre,mx MEX,DF,Atlas,29-035,1996,11.7,18,13,12,6,0,10,26,38.5,16,13,7,6,27,45,65,0,Matches
13,Rodrigo Aguirre,uy URU,"FW,MF",América,30-216,1994,9.8,21,14,7,9,5,7,15,46.7,8,12,2,10,2,23,7,0,Matches
14,Jorge Agustín Rodríguez,ar ARG,"MF,DF",Monterrey,29-232,1995,26.5,82,50,38,43,1,39,65,60.0,26,37,15,22,33,115,68,0,Matches
15,Arnaud Ake,ci CIV,FW,Querétaro,27-034,1998,2.6,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,1,0,Matches
16,Jesús Alberto Angulo,mx MEX,DF,UANL,27-095,1998,26.3,62,43,34,20,8,29,55,52.7,26,30,15,15,36,98,94,1,Matches
17,Gil Alcalá,mx MEX,GK,UNAM,32-280,1992,4.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,3,0,Matches
18,Jesús Alcantar,mx MEX,DF,Necaxa,21-279,2003,6.8,10,5,8,1,1,4,10,40.0,6,14,7,7,13,23,43,0,Matches
19,Jordy Alcivar,ec ECU,"MF,FW",León,25-273,1999,4.4,2,1,1,1,0,0,5,0.0,5,6,1,5,5,7,5,1,Matches
20,Luis Alfonso Rodríguez,mx MEX,DF,Pachuca,34-104,1991,15.3,42,26,20,20,2,23,47,48.9,24,13,3,10,24,66,30,2,Matches
21,Guillermo Allison,mx MEX,GK,Querétaro,34-222,1990,25.0,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,15,3,Matches
22,Facundo Almada,ar ARG,DF,Mazatlán,26-299,1998,19.5,29,16,23,6,0,20,29,69.0,9,16,7,9,16,45,91,3,Matches
23,Carlos Alonso Vargas,mx MEX,"DF,FW",Cruz Azul,26-080,1999,0.6,5,1,4,1,0,2,5,40.0,3,2,0,2,1,6,0,0,Matches
24,Alfonso Alvarado,mx MEX,"FW,MF",Monterrey,25-051,2000,4.1,3,2,0,1,2,1,4,25.0,3,2,0,2,1,4,1,0,Matches
25,Alfonso Alvarado,mx MEX,"FW,MF",León,25-051,2000,8.4,13,8,1,10,2,5,7,71.4,2,2,0,2,0,13,5,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,Daniel Alvarado,mx MEX,MF,América,20-229,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
27,Roberto Alvarado,mx MEX,"MF,FW",Guadalajara,26-240,1998,26.3,38,21,13,21,4,15,36,41.7,21,18,2,16,11,49,18,1,Matches
28,Ventura Alvarado,us USA,DF,Mazatlán,32-262,1992,4.4,3,2,2,1,0,2,3,66.7,1,2,2,0,6,9,13,0,Matches
29,Alek Álvarez,mx MEX,MF,Necaxa,22-033,2003,3.6,,6,,,,,,,,,,,0,,,,Matches
30,Antonio Álvarez,mx MEX,"FW,MF",América,21-130,2003,1.3,2,1,1,1,0,0,0,,0,3,1,2,0,2,0,0,Matches
31,Daniel Álvarez,mx MEX,"MF,FW",Puebla,30-287,1994,5.9,7,4,3,2,2,3,10,30.0,7,3,0,3,0,7,11,0,Matches
32,Efrain Alvarez,mx MEX,"FW,MF",Tijuana,22-320,2002,24.9,26,20,12,7,7,12,24,50.0,12,12,0,12,8,34,1,0,Matches
33,Gael Álvarez,mx MEX,FW,Pachuca,19-057,2006,2.5,7,5,5,1,1,3,10,30.0,7,6,1,5,1,8,1,0,Matches
34,Jaime Alvarez,mx MEX,"FW,MF",FC Juárez,22-074,2003,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
35,Jaime Alvarez,mx MEX,"FW,MF",Tijuana,22-074,2003,3.8,1,1,0,1,0,0,3,0.0,3,3,0,3,0,1,0,0,Matches
36,Kevin Álvarez,mx MEX,DF,América,26-110,1999,15.2,28,18,18,9,1,15,30,50.0,15,11,1,10,13,41,28,0,Matches
37,Luis Amarilla,py PAR,FW,Mazatlán,29-253,1995,15.5,18,13,6,6,6,6,13,46.2,7,6,2,4,5,23,12,0,Matches
38,Frankie Amaya,us USA,MF,Toluca,24-221,2000,4.0,15,9,3,11,1,9,15,60.0,6,3,0,3,10,25,9,0,Matches
39,Fidel Ambríz,mx MEX,MF,Monterrey,22-045,2003,13.3,37,20,11,22,4,20,32,62.5,12,18,4,14,15,52,30,2,Matches
40,Fidel Ambríz,mx MEX,MF,León,22-045,2003,4.7,15,10,5,7,3,6,10,60.0,4,6,3,3,6,21,5,0,Matches
41,Bruno Amione,ar ARG,DF,Santos,23-122,2002,16.9,41,21,31,10,0,28,38,73.7,10,30,14,16,23,64,63,0,Matches
42,Esteban Andrada,ar ARG,GK,Monterrey,34-099,1991,24.0,1,1,1,0,0,0,2,0.0,2,1,0,1,0,1,12,1,Matches
43,Alejandro Andrade,mx MEX,"DF,MF",Necaxa,23-262,2001,5.7,13,6,9,3,1,6,8,75.0,2,7,2,5,4,17,21,0,Matches
44,Luis Ángel Malagón,mx MEX,GK,América,28-064,1997,28.5,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,16,2,Matches
45,Brayan Angulo,co COL,"DF,MF",Puebla,35-184,1989,28.1,63,41,33,24,6,36,56,64.3,20,18,4,14,34,97,66,0,Matches
46,Jesús Angulo,mx MEX,"MF,FW",Toluca,28-074,1997,20.1,21,19,7,11,3,9,22,40.9,13,9,1,8,6,27,3,0,Matches
47,José Antonio Rodríguez,mx MEX,GK,Tijuana,32-305,1992,20.9,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,14,2,Matches
48,Uriel Antuna,mx MEX,"FW,MF",Cruz Azul,27-257,1997,2.6,0,0,0,0,0,0,0,,0,5,0,5,0,0,0,0,Matches
49,Uriel Antuna,mx MEX,"FW,MF",UANL,27-257,1997,8.7,14,9,2,8,4,4,12,33.3,8,7,1,6,5,19,6,0,Matches
50,Javier Aquino,mx MEX,DF,UANL,35-083,1990,29.0,89,57,48,36,5,49,77,63.6,28,37,7,30,61,150,66,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Pedro Aquino,pe PER,MF,Santos,30-022,1995,7.4,12,6,6,6,0,5,14,35.7,9,14,8,6,9,21,20,0,Matches
52,Diego Araujo,mx MEX,MF,Querétaro,22-076,2003,1.2,3,2,1,2,0,2,3,66.7,1,2,1,1,2,5,1,0,Matches
53,Maximiliano Araújo,uy URU,FW,Toluca,25-079,2000,1.1,2,1,0,1,1,1,2,50.0,1,1,0,1,0,2,1,0,Matches
54,Néstor Araujo,mx MEX,DF,América,33-249,1991,13.4,20,15,13,7,0,12,13,92.3,1,11,8,3,18,38,74,0,Matches
55,Fernando Arce Jr.,us USA,"MF,FW",Puebla,28-159,1996,2.2,5,2,1,3,1,3,6,50.0,3,1,0,1,2,7,3,0,Matches
56,Fernando Arce Jr.,us USA,MF,Necaxa,28-159,1996,11.5,32,24,15,17,0,13,19,68.4,6,12,6,6,25,57,19,0,Matches
57,Ramiro Árciga,mx MEX,"MF,FW",Tijuana,20-248,2004,3.3,7,2,2,3,2,4,10,40.0,6,5,0,5,5,12,3,0,Matches
58,Ramiro Árciga,mx MEX,"MF,FW",Mazatlán,20-248,2004,10.6,33,21,12,14,7,9,23,39.1,14,24,1,23,3,36,5,0,Matches
59,Eduardo Armenta,mx MEX,MF,Querétaro,23-140,2001,2.3,12,9,4,8,0,3,8,37.5,5,2,0,2,0,12,2,0,Matches
60,Aarón Arredondo,mx MEX,MF,América,22-065,2003,2.0,3,2,1,2,0,1,2,50.0,1,2,1,1,2,5,3,0,Matches
61,Diego Arriaga,mx MEX,"FW,MF",América,21-005,2004,1.6,1,1,0,0,1,1,3,33.3,2,1,0,1,0,1,0,0,Matches
62,Gerardo Arteaga,mx MEX,DF,Monterrey,26-240,1998,25.5,45,33,26,14,5,27,42,64.3,15,25,4,21,27,72,48,0,Matches
63,Víctor Arteaga,mx MEX,MF,Toluca,21-068,2004,9.2,19,11,11,6,2,12,23,52.2,11,5,1,4,15,34,9,1,Matches
64,Ali Ávila,mx MEX,"FW,MF",UNAM,21-224,2003,2.5,3,3,2,1,0,2,6,33.3,4,0,0,0,0,3,1,0,Matches
65,Ettson Ayon,mx MEX,FW,León,24-040,2001,5.8,4,3,1,1,2,1,3,33.3,2,1,0,1,1,5,1,0,Matches
66,Angel Azuaje,ve VEN,DF,UNAM,20-222,2004,2.4,2,2,2,0,0,1,2,50.0,1,2,1,1,0,2,18,0,Matches
67,Tomás Badaloni,ar ARG,FW,Necaxa,25-003,2000,10.3,5,1,1,4,0,1,5,20.0,4,7,2,5,3,8,11,0,Matches
68,Claudio Baeza,cl CHI,"MF,DF",Toluca,31-133,1993,11.3,12,8,5,7,0,7,23,30.4,16,18,8,10,15,27,19,1,Matches
69,Kevin Balanta,co COL,DF,Tijuana,28-007,1997,7.6,19,11,13,6,0,11,13,84.6,2,9,5,4,8,27,34,1,Matches
70,Fidel Barajas,mx MEX,"MF,FW",Guadalajara,19-030,2006,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
71,Víctor Barajas,mx MEX,DF,León,22-053,2003,0.0,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
72,Diego Barbosa,mx MEX,DF,Toluca,28-222,1996,10.8,60,40,31,28,1,36,51,70.6,15,7,2,5,19,79,20,0,Matches
73,Diego Barbosa,mx MEX,DF,Tijuana,28-222,1996,2.7,9,6,4,5,0,8,13,61.5,5,5,1,4,3,12,7,0,Matches
74,Jaine Barreiro,co COL,DF,León,30-320,1994,33.7,76,47,53,21,2,45,64,70.3,19,45,20,25,60,136,180,3,Matches
75,Pablo Barrera,mx MEX,"MF,FW",Querétaro,37-318,1987,23.4,22,17,10,11,1,7,23,30.4,16,17,2,15,6,28,13,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Sergio Barreto,ar ARG,DF,Pachuca,26-015,1999,18.2,27,16,18,7,2,17,28,60.7,11,13,6,7,21,48,99,0,Matches
