Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Rodrigo Abascal,uy URU,DF,Boavista,31-111,1994,25.9,51,30,37,13,1,28,52,53.8,24,38,24,14,37,88,129,2,Matches
2,Nelson Abbey,eng ENG,DF,Rio Ave,21-250,2003,7.1,12,7,7,2,3,7,8,87.5,1,10,4,6,5,17,46,1,Matches
3,Bilal Abdelrahman Zeeni,eg EGY,MF,Estrela,22-104,2003,0.1,1,1,0,0,1,0,0,,0,0,0,0,0,1,1,0,Matches
4,Giorgi Aburjania,ge GEO,MF,AVS Futebol,30-123,1995,3.4,11,6,3,6,2,7,13,53.8,6,3,0,3,3,14,5,0,Matches
5,Adriano,br BRA,MF,Santa Clara,25-182,1999,27.2,36,18,12,21,3,18,34,52.9,16,23,6,17,16,52,42,1,Matches
6,Lucas Áfrico,br BRA,DF,Farense,30-089,1995,18.5,25,15,13,11,1,14,20,70.0,6,17,13,4,12,37,94,0,Matches
7,Salvador Agra,pt POR,"MF,DF",Boavista,33-175,1991,27.7,30,20,13,9,8,13,31,41.9,18,9,1,8,14,44,18,3,Matches
8,Brandon Aguilera,cr CRC,"MF,FW",Rio Ave,21-311,2003,15.3,35,22,17,12,6,13,35,37.1,22,10,0,10,12,47,6,0,Matches
9,Jorge Aguirre,es ESP,FW,Gil Vicente FC,25-120,2000,14.6,3,2,0,1,2,2,13,15.4,11,7,1,6,3,6,9,0,Matches
10,Babatunde Akinsola,ng NGA,"MF,FW",AVS Futebol,22-056,2003,10.3,14,12,6,8,0,9,15,60.0,6,16,2,14,6,20,16,0,Matches
11,Kerem Aktürkoğlu,tr TUR,"FW,MF",Benfica,26-196,1998,20.7,21,16,9,7,5,5,24,20.8,19,19,0,19,17,38,8,0,Matches
12,Léo Alaba,br BRA,DF,AVS Futebol,25-308,1999,3.7,8,5,4,3,1,3,9,33.3,6,5,1,4,7,15,10,0,Matches
13,Alan,br BRA,MF,Moreirense,25-058,2000,25.9,25,9,6,12,7,8,25,32.0,17,13,1,12,6,31,6,0,Matches
14,Gonçalo Almeida,pt POR,"DF,MF",Boavista,21-364,2003,9.0,14,11,4,8,2,7,20,35.0,13,10,1,9,6,20,13,0,Matches
