Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25-120,2000,1.0,2,2.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,25-120,2000,1.2,1,0.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21-357,2003,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21-108,2004,1.0,1,1.02,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,19-029,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-218,1987,10.9,6,0.55,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25-168,1999,28.6,82,2.86,68,2,5,1,3,3,4,0.14,2,0,2,0,0,0,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,26-092,1999,9.5,8,0.84,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-135,1993,14.9,42,2.82,30,3,4,4,0,1,3,0.20,1,1,0,1,0,0,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25-290,1999,2.3,6,2.65,5,0,0,0,1,0,1,0.44,1,0,0,0,0,0,Matches
11,Abel,es ESP,DF,Osasuna,es La Liga,24-256,2000,22.4,36,1.61,27,2,5,0,1,1,4,0.18,2,0,1,0,0,1,Matches
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,22-254,2002,2.9,3,1.03,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28-328,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,22-037,2003,27.8,56,2.02,39,0,8,5,3,1,8,0.29,6,0,2,0,0,0,Matches
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24-342,2000,12.1,25,2.07,21,3,0,1,0,0,1,0.08,1,0,0,0,0,0,Matches
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,25-075,2000,20.5,33,1.61,19,0,4,5,4,1,7,0.34,3,0,1,0,3,0,Matches
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,26-055,1999,27.4,25,0.91,20,0,0,2,1,2,3,0.11,2,0,0,0,1,0,Matches
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,27-214,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,27-214,1997,13.1,33,2.51,28,0,0,4,1,0,9,0.68,7,0,0,1,1,0,Matches
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,21-088,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-083,1988,17.5,19,1.08,19,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18-364,2006,1.9,2,1.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-095,2000,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
24,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,25-095,2000,11.9,25,2.09,18,0,4,1,2,0,5,0.42,2,0,1,0,2,0,Matches
25,Che Adams,sct SCO,FW,Torino,it Serie A,28-295,1996,26.5,60,2.27,48,1,0,6,5,0,5,0.19,4,0,0,1,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
26,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26-079,1999,19.0,37,1.95,32,0,0,1,0,4,4,0.21,3,0,0,0,0,1,Matches
27,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23-332,2001,14.4,26,1.81,19,0,1,3,3,0,3,0.21,2,0,0,1,0,0,Matches
28,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,27-222,1997,13.7,12,0.88,7,0,0,5,0,0,1,0.07,0,0,0,1,0,0,Matches
29,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,21-153,2003,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
30,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,23-106,2002,14.3,51,3.56,30,1,11,6,2,1,10,0.70,6,0,3,1,0,0,Matches
