Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Saminu Abdullahi,ng NGA,MF,FC Juárez,24-122,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2,José Abella,mx MEX,DF,Santos,31-084,1994,16.8,43,2.56,32,9,0,0,1,1,4,0.24,2,2,0,0,0,0,Matches
3,José Abella,mx MEX,DF,FC Juárez,31-084,1994,11.3,16,1.42,10,4,0,1,1,0,2,0.18,1,1,0,0,0,0,Matches
4,Diego Abitia,mx MEX,FW,Atlético,22-019,2003,3.6,6,1.69,2,0,1,1,2,0,1,0.28,0,0,0,0,1,0,Matches
5,Carlos Acevedo,mx MEX,GK,Santos,29-016,1996,33.0,5,0.15,2,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Alonso Aceves,mx MEX,DF,Pachuca,24-038,2001,14.8,10,0.67,9,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,Gilberto Adame,mx MEX,"DF,MF",Mazatlán,20-185,2004,4.6,9,1.94,5,2,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
8,Sergio Aguayo,us USA,FW,Pachuca,22-162,2002,1.8,4,2.22,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
9,Eduardo Águila,mx MEX,DF,Atlético,22-353,2002,30.0,19,0.63,13,0,1,3,0,2,3,0.10,2,0,0,1,0,0,Matches
10,Eduardo Aguirre,mx MEX,"FW,MF",Atlas,26-275,1998,24.4,57,2.34,34,3,3,6,9,2,8,0.33,4,1,0,1,2,0,Matches
11,Érick Aguirre,mx MEX,DF,Monterrey,28-071,1997,10.4,20,1.92,15,2,1,0,0,2,4,0.38,3,1,0,0,0,0,Matches
12,Gaddi Aguirre,mx MEX,DF,Atlas,29-035,1996,11.7,8,0.68,6,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
13,Rodrigo Aguirre,uy URU,"FW,MF",América,30-216,1994,9.8,19,1.94,13,0,4,1,1,0,4,0.41,3,0,1,0,0,0,Matches
14,Jorge Agustín Rodríguez,ar ARG,"MF,DF",Monterrey,29-232,1995,26.5,41,1.55,37,0,0,1,1,2,2,0.08,2,0,0,0,0,0,Matches
15,Arnaud Ake,ci CIV,FW,Querétaro,27-034,1998,2.6,4,1.54,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
