Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Liel Abada,il ISR,"FW,MF",Charlotte,23-214,2001,7.3,16,2.19,11,0,1,4,0,0,2,0.27,1,0,0,1,0,0,Matches
2,Luis Abram,pe PER,DF,Atlanta Utd,29-067,1996,6.8,2,0.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Lalas Abubakar,gh GHA,DF,FC Dallas,30-131,1994,2.0,2,0.99,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
4,Kellyn Acosta,us USA,MF,Chicago Fire,29-285,1995,4.3,5,1.16,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Luciano Acosta,ar ARG,MF,FC Dallas,30-339,1994,10.2,51,5.02,35,13,0,0,2,1,2,0.20,2,0,0,0,0,0,Matches
6,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-109,1995,1.9,5,2.63,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,Leonardo Afonso,br BRA,FW,Inter Miami,23-296,2001,0.8,2,2.47,1,0,0,1,0,0,2,2.47,1,0,0,1,0,0,Matches
8,Stephen Afrifa,ca CAN,"FW,MF",Sporting KC,24-075,2001,0.1,2,22.50,0,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
9,William Agada,ng NGA,FW,Sporting KC,25-230,1999,1.1,2,1.82,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
10,William Agada,ng NGA,FW,Real Salt Lake,25-230,1999,0.8,1,1.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
11,Patrick Agyemang,us USA,FW,Charlotte,24-179,2000,8.6,26,3.01,18,0,1,0,7,0,4,0.46,1,0,0,0,3,0,Matches
12,Ali Ahmed,ca CAN,FW,Vancouver W'caps,24-207,2000,5.9,35,5.94,31,0,3,0,0,1,7,1.19,7,0,0,0,0,0,Matches
13,Forster Ajago,gh GHA,FW,Real Salt Lake,23-262,2001,2.9,4,1.39,4,0,0,0,0,0,1,0.35,1,0,0,0,0,0,Matches
14,Jordi Alba,es ESP,DF,Inter Miami,36-045,1989,8.4,19,2.27,17,0,0,1,0,1,4,0.48,4,0,0,0,0,0,Matches
15,Noah Allen,us USA,DF,Inter Miami,21-007,2004,7.3,4,0.55,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
16,Tadeo Allende,ar ARG,"FW,MF",Inter Miami,26-074,1999,4.5,9,2.01,6,0,2,1,0,0,1,0.22,1,0,0,0,0,0,Matches
17,Miguel Almirón,py PAR,"FW,MF",Atlanta Utd,31-084,1994,9.9,43,4.36,30,2,3,3,3,2,2,0.20,2,0,0,0,0,0,Matches
18,Alejandro Alvarado Jr.,us USA,MF,San Diego FC,21-280,2003,2.1,4,1.95,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
19,Fernando Álvarez,co COL,DF,CF Montréal,21-254,2003,4.6,5,1.09,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,Pedro Amador,pt POR,DF,Atlanta Utd,26-138,1998,6.7,13,1.94,13,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,Frankie Amaya,us USA,MF,LAFC,24-221,2000,0.2,1,5.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
22,Malte Amundsen,dk DEN,DF,Columbus Crew,27-083,1998,7.2,8,1.10,6,0,1,0,0,1,2,0.28,1,0,0,0,0,1,Matches
23,Tomas Ángel,co COL,"FW,MF",San Diego FC,22-074,2003,3.3,13,3.90,9,1,0,2,1,0,2,0.60,2,0,0,0,0,0,Matches
24,Iván Angulo,co COL,"FW,MF",Orlando City,26-044,1999,9.4,23,2.45,21,0,1,0,0,1,1,0.11,1,0,0,0,0,0,Matches
25,Conner Antley,us USA,"DF,MF",D.C. United,30-044,1995,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
26,Antony,br BRA,"FW,MF",Portland Timbers,23-239,2001,9.9,31,3.13,28,0,1,1,1,0,8,0.81,7,0,1,0,0,0,Matches
27,Brian Anunga,cm CMR,MF,FC Cincinnati,28-268,1996,7.0,6,0.86,5,1,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
28,Chris Applewhite,us USA,DF,Nashville SC,17-255,2007,0.2,1,6.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
29,Cristian Arango,co COL,"MF,FW",SJ Earthquakes,30-057,1995,10.8,38,3.53,28,1,2,3,3,1,5,0.46,5,0,0,0,0,0,Matches
30,César Araujo,uy URU,MF,Orlando City,24-033,2001,6.0,16,2.67,9,0,0,1,4,2,2,0.33,1,0,0,0,1,0,Matches
31,Maximilian Arfsten,us USA,"MF,DF",Columbus Crew,24-016,2001,10.0,26,2.60,20,1,4,0,1,0,4,0.40,4,0,0,0,0,0,Matches
32,Daniel Armando Ríos,mx MEX,FW,Vancouver W'caps,30-072,1995,4.6,10,2.17,5,0,1,4,0,0,1,0.22,1,0,0,0,0,0,Matches
33,Paul Arriola,us USA,"FW,DF",Seattle Sounders,30-089,1995,0.8,1,1.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
34,Artur,br BRA,MF,Houston Dynamo,29-055,1996,11.0,16,1.46,16,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
35,Joshua Atencio,us USA,MF,Colorado Rapids,23-094,2002,8.4,20,2.38,19,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
