Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Lucas Abascia,ar ARG,DF,Cen. Córdoba–SdE,29-146,1995,5.8,3,0.52,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
2,Luciano Abecasis,ar ARG,DF,Ind. Rivadavia,34-335,1990,1.0,3,3.00,3,0,0,0,0,0,1,1.00,1,0,0,0,0,0,Matches
3,Ramón Ábila,ar ARG,FW,Huracán,35-203,1989,1.7,5,2.98,4,0,0,0,1,0,1,0.60,1,0,0,0,0,0,Matches
4,Ignacio Abraham,sy SYR,DF,Banfield,27-113,1998,4.1,2,0.49,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Gonzalo Abrego,ar ARG,MF,Godoy Cruz,25-118,2000,9.3,37,3.76,26,10,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Jonás Acevedo,ar ARG,"MF,FW",Instituto,28-088,1997,7.1,22,3.09,15,2,1,3,1,0,1,0.14,0,0,0,0,1,0,Matches
7,Juan Achetoni,ar ARG,FW,Aldosivi,20-055,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Guillermo Acosta,ar ARG,MF,Atlé Tucumán,36-186,1988,9.9,19,1.91,18,0,1,0,0,0,6,0.60,6,0,0,0,0,0,Matches
9,Lautaro Acosta,ar ARG,FW,Lanús,37-052,1988,0.2,1,4.09,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
10,Lucas Acosta,ar ARG,"FW,DF",San Martín de San Juan,19-351,2005,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
11,Lucas Acosta,ar ARG,GK,Sarmiento,30-054,1995,16.0,5,0.31,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
12,Marcos Acuña,ar ARG,DF,River Plate,33-189,1991,11.2,44,3.92,24,15,2,2,1,0,2,0.18,1,1,0,0,0,0,Matches
13,Valentino Acuña,ar ARG,"FW,DF",Newell's OB,19-098,2006,1.1,2,1.86,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,Tomás Adoryán,ar ARG,MF,Banfield,23-225,2001,5.3,11,2.06,8,1,1,0,1,0,1,0.19,1,0,0,0,0,0,Matches
15,Luis Advíncula,pe PER,DF,Boca Juniors,35-064,1990,8.3,11,1.33,11,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
16,Alan Aguerre,ar ARG,GK,Cen. Córdoba–SdE,34-255,1990,14.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,Emanuel Aguilera,ar ARG,DF,Defensa y Just,35-328,1989,11.1,4,0.36,4,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
18,Brian Aguirre,ar ARG,FW,Boca Juniors,21-338,2003,1.3,2,1.48,0,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
19,Manuel Agustín Duarte,ar ARG,"MF,FW",Barracas Central,23-255,2001,4.3,10,2.31,9,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
20,Gabriel Alanís,ar ARG,FW,Huracán,31-050,1994,10.3,12,1.17,8,0,0,3,1,0,2,0.19,0,0,0,2,0,0,Matches
21,Agustín Alaniz,uy URU,"FW,MF",Banfield,22-354,2002,11.1,21,1.88,11,2,4,2,2,0,3,0.27,2,0,1,0,0,0,Matches
22,Fernando Alarcón,ar ARG,DF,Instituto,30-323,1994,16.0,6,0.37,5,0,0,1,0,0,2,0.12,1,0,0,1,0,0,Matches
23,William Alarcón,cl CHI,MF,Boca Juniors,24-166,2000,4.9,18,3.71,12,6,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
24,Lucas Alario,ar ARG,FW,Estudiantes–LP,32-209,1992,6.7,18,2.70,14,0,1,1,1,1,1,0.15,1,0,0,0,0,0,Matches
25,Franco Alfonso,ar ARG,"FW,MF",Cen. Córdoba–SdE,23-001,2002,2.2,8,3.64,7,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
26,Rodrigo Aliendro,ar ARG,MF,River Plate,34-078,1991,5.4,16,2.99,14,0,0,1,1,0,2,0.37,2,0,0,0,0,0,Matches
27,Agustín Almendra,ar ARG,MF,Racing Club,25-083,2000,9.2,23,2.51,19,1,0,2,0,1,1,0.11,1,0,0,0,0,0,Matches
28,Antony Alonso,ar ARG,"MF,FW",Deportivo Riestra,26-359,1998,6.3,11,1.75,9,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
29,Facundo Altamira,,"FW,MF",Godoy Cruz,,,5.8,11,2.06,8,1,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
30,Pablo Altamirano,ar ARG,MF,Newell's OB,20-095,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
31,Francisco Álvarez,ar ARG,DF,Arg Juniors,25-068,2000,15.9,19,1.19,17,0,0,0,0,2,3,0.19,3,0,0,0,0,0,Matches
32,Franco Amarfil,ar ARG,MF,Ind. Rivadavia,24-055,2001,14.5,28,1.93,20,0,4,3,0,1,3,0.21,2,0,1,0,0,0,Matches
33,Fabricio Amato,ar ARG,MF,Ind. Rivadavia,20-335,2004,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
34,Santino Andino,ar ARG,"MF,FW",Godoy Cruz,19-192,2005,7.0,13,1.86,9,0,2,0,2,0,0,0.00,0,0,0,0,0,0,Matches
