Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Unnamed: 11_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 27_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Adrián,es ESP,GK,Betis,es La Liga,38-121,1987,14,14,1260,14.0,18,1.29,47,29,63.8,9,2,3,3,21.4,1,1,0,0,0.0,Matches
2,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,24-129,2000,14,14,1206,13.4,9,0.67,34,24,76.5,9,4,1,5,35.7,2,1,1,0,50.0,Matches
3,Ben Alexander Voll,de GER,"GK,MF",St. Pauli,de Bundesliga,24-146,2000,1,0,1,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches
4,Alisson,br BRA,GK,Liverpool,eng Premier League,32-214,1992,24,24,2148,23.9,20,0.84,71,52,71.8,18,5,1,9,37.5,0,0,0,0,,Matches
5,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,32-066,1993,23,22,1990,22.1,38,1.72,103,68,63.1,4,6,12,4,18.2,0,0,0,0,,Matches
6,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,30-213,1994,28,28,2520,28.0,35,1.25,126,91,75.4,12,7,9,7,25.0,4,4,0,0,0.0,Matches
7,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22-344,2002,24,24,2127,23.6,33,1.40,111,76,70.3,11,6,7,10,41.7,2,0,2,0,100.0,Matches
8,Emil Audero,id IDN,GK,Como,it Serie A,28-106,1997,8,8,720,8.0,18,2.25,34,16,58.8,2,2,4,0,0.0,4,4,0,0,0.0,Matches
9,Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,26-116,1999,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
10,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,29-004,1996,28,28,2520,28.0,36,1.29,120,83,73.3,8,10,10,6,21.4,6,4,2,0,33.3,Matches
11,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,34-336,1990,26,26,2340,26.0,47,1.81,128,79,64.8,6,7,13,4,15.4,5,2,3,0,60.0,Matches
12,Altay Bayındır,tr TUR,GK,Manchester Utd,eng Premier League,27-020,1998,1,1,90,1.0,4,4.00,6,2,33.3,0,0,1,0,0.0,0,0,0,0,,Matches
13,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,31-295,1993,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
14,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,26-332,1998,3,3,270,3.0,8,2.67,16,8,56.3,1,0,2,0,0.0,1,1,0,0,0.0,Matches
15,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,34-055,1991,29,29,2610,29.0,48,1.66,116,68,64.7,12,5,12,8,27.6,9,7,1,1,12.5,Matches
16,Jean Butez,fr FRA,GK,Como,it Serie A,29-330,1995,17,17,1530,17.0,18,1.06,62,44,74.2,8,3,6,5,29.4,2,2,0,0,0.0,Matches
17,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,25-212,1999,32,32,2880,32.0,39,1.22,156,117,76.3,16,9,7,7,21.9,3,2,1,0,33.3,Matches
18,Elia Caprile,it ITA,GK,Cagliari,it Serie A,23-252,2001,16,16,1440,16.0,19,1.19,60,41,70.0,4,4,8,4,25.0,1,1,0,0,0.0,Matches
19,Elia Caprile,it ITA,GK,Napoli,it Serie A,23-252,2001,4,3,325,3.6,1,0.28,8,7,87.5,3,0,0,3,100.0,0,0,0,0,,Matches
20,Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,28-037,1997,6,6,540,6.0,6,1.00,20,14,70.0,3,1,2,2,33.3,0,0,0,0,,Matches
