Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Anthoni,br BRA,GK,Internacional,23-102,2002,7,6,585,6.5,8,1.23,21,14,66.7,2,2,2,2,33.3,1,1,0,0,0.0,Matches
2,Lucas Arcanjo,br BRA,GK,Vitória,26-270,1998,6,6,540,6.0,8,1.33,42,34,81.0,1,3,2,0,0.0,0,0,0,0,,Matches
3,Gabriel Brazão,br BRA,GK,Santos,24-212,2000,7,7,630,7.0,10,1.43,28,18,64.3,1,1,5,1,14.3,0,0,0,0,,Matches
4,Cássio,br BRA,GK,Cruzeiro,37-333,1987,7,7,630,7.0,7,1.00,34,26,79.4,4,1,2,2,28.6,1,0,1,0,100.0,Matches
5,Matheus Donelli,br BRA,GK,Corinthians,22-353,2002,5,5,450,5.0,6,1.20,19,13,73.7,2,1,2,1,20.0,1,1,0,0,0.0,Matches
6,Éverson,br BRA,GK,Atlético Mineiro,34-287,1990,6,6,540,6.0,8,1.33,26,18,69.2,1,3,2,2,33.3,0,0,0,0,,Matches
7,Fábio,br BRA,GK,Fluminense,44-217,1980,7,7,630,7.0,7,1.00,26,19,73.1,4,1,2,2,28.6,0,0,0,0,,Matches
8,Marcos Felipe,br BRA,GK,Bahia,29-022,1996,4,3,342,3.8,3,0.79,13,10,76.9,3,0,0,3,100.0,0,0,0,0,,Matches
9,Bruno Ferreira,br BRA,GK,Ceará,31-050,1994,4,4,333,3.7,4,1.08,13,9,69.2,2,1,1,1,25.0,0,0,0,0,,Matches
10,Caíque França,br BRA,GK,Sport Recife,29-336,1995,7,7,630,7.0,10,1.43,33,23,75.8,0,2,5,2,28.6,3,2,0,1,0.0,Matches
11,Gabriel,br BRA,GK,Vitória,32-220,1992,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
12,Gustavo,br BRA,GK,Juventude,32-056,1993,4,4,360,4.0,12,3.00,23,10,52.2,1,1,2,0,0.0,2,1,1,0,50.0,Matches
13,Léo Jardim,br BRA,GK,Vasco da Gama,30-046,1995,7,7,630,7.0,9,1.29,22,15,59.1,2,1,4,1,14.3,0,0,0,0,,Matches
14,John,br BRA,GK,Botafogo (RJ),29-081,1996,7,7,630,7.0,5,0.71,22,17,77.3,2,2,3,3,42.9,0,0,0,0,,Matches
15,Lucão,br BRA,GK,RB Bragantino,24-068,2001,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
16,Marcão,br BRA,GK,Juventude,33-060,1992,2,2,180,2.0,2,1.00,11,9,81.8,1,0,1,1,50.0,0,0,0,0,,Matches
17,Fernando Miguel,br BRA,GK,Ceará,40-092,1985,4,3,297,3.3,3,0.91,14,11,85.7,1,1,1,1,33.3,1,1,0,0,0.0,Matches
18,Alex Muralha,br BRA,GK,Mirassol,35-176,1989,6,6,540,6.0,9,1.50,25,16,68.0,1,4,1,0,0.0,1,1,0,0,0.0,Matches
19,Rafael Pires,br BRA,GK,São Paulo,35-316,1989,7,7,630,7.0,5,0.71,23,18,82.6,1,6,0,3,42.9,1,1,0,0,0.0,Matches
20,João Ricardo Riedi,br BRA,GK,Fortaleza,36-241,1988,7,7,630,7.0,5,0.71,30,24,83.3,1,4,2,4,57.1,1,0,1,0,100.0,Matches
21,Sergio Rochet,uy URU,GK,Internacional,32-043,1993,1,1,45,0.5,,,2,2,,,1,,,,,,,,,Matches
22,Ronaldo,br BRA,GK,Bahia,28-256,1996,4,4,288,3.2,4,1.25,14,9,71.4,0,3,1,0,0.0,1,0,1,0,100.0,Matches
23,Agustín Rossi,ar ARG,GK,Flamengo,29-257,1995,7,7,630,7.0,4,0.57,21,16,81.0,4,2,1,4,57.1,1,0,1,0,100.0,Matches
24,Cleiton Schwengber,br BRA,GK,RB Bragantino,27-259,1997,5,5,450,5.0,5,1.00,21,16,76.2,3,1,1,2,40.0,0,0,0,0,,Matches
25,Hugo Souza,br BRA,GK,Corinthians,26-094,1999,2,2,180,2.0,6,3.00,10,4,50.0,1,0,1,0,0.0,1,1,0,0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Tiago Volpi,br BRA,GK,Grêmio,34-137,1990,7,7,630,7.0,11,1.57,32,21,75.0,2,2,3,1,14.3,3,3,0,0,0.0,Matches
27,Wéverton,br BRA,GK,Palmeiras,37-143,1987,7,7,630,7.0,3,0.43,23,19,87.0,5,1,1,4,57.1,1,0,1,0,100.0,Matches
