Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Andrew,br BRA,GK,Gil Vicente FC,23-308,2001,32,32,2880,32.0,45,1.41,121,77,67.8,8,8,16,7,21.9,7,6,0,1,0.0,Matches
2,Gabriel Batista,br BRA,GK,Santa Clara,26-336,1998,32,32,2880,32.0,30,0.94,108,77,75.0,15,6,11,11,34.4,5,3,1,1,25.0,Matches
3,Ricardo Batista,pt POR,GK,Casa Pia,38-167,1986,1,1,90,1.0,1,1.00,2,1,100.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
4,Simão Bertelli,br BRA,GK,AVS Futebol,31-337,1993,11,11,990,11.0,15,1.36,57,41,77.2,1,6,4,2,18.2,3,2,1,0,33.3,Matches
5,Bruno Brigido,br BRA,GK,Estrela,34-057,1991,18,18,1575,17.5,30,1.71,83,54,66.3,4,4,10,1,5.6,2,2,0,0,0.0,Matches
6,Lazar Carević,me MNE,GK,Famalicão,26-050,1999,18,18,1620,18.0,21,1.17,73,52,75.3,7,4,7,7,38.9,4,3,1,0,25.0,Matches
7,César,br BRA,GK,Boavista,33-098,1992,16,16,1440,16.0,30,1.87,79,51,65.8,1,4,11,2,12.5,3,3,0,0,0.0,Matches
8,Kevin Chamorro,cr CRC,GK,Estoril,25-027,2000,3,3,270,3.0,3,1.00,9,6,77.8,1,1,1,1,33.3,1,1,0,0,0.0,Matches
9,Diogo Costa,pt POR,GK,Porto,25-228,1999,30,30,2700,30.0,26,0.87,76,50,71.1,19,5,6,15,50.0,5,4,1,0,20.0,Matches
10,João Paulo Santos Costa,pt POR,GK,Estrela,29-092,1996,11,11,990,11.0,10,0.91,40,29,80.0,3,3,5,4,36.4,3,2,1,0,33.3,Matches
11,Rui Encarnação,pt POR,GK,Nacional,27-030,1998,1,0,45,0.5,1,2.00,3,2,100.0,0,0,0,0,,1,1,0,0,0.0,Matches
12,Daniel Figueira,pt POR,GK,Estoril,26-289,1998,1,1,90,1.0,4,4.00,7,3,57.1,0,0,1,0,0.0,1,1,0,0,0.0,Matches
13,Lucas França,br BRA,GK,Nacional,29-106,1996,32,32,2835,31.5,43,1.37,142,99,74.6,9,6,17,8,25.0,9,7,0,2,0.0,Matches
14,João Gonçalves,pt POR,GK,Boavista,24-181,2000,4,4,360,4.0,2,0.50,8,6,75.0,1,1,2,2,50.0,0,0,0,0,,Matches
15,Marko Gudžulić,rs SRB,GK,Estrela,22-304,2002,2,2,180,2.0,3,1.50,9,6,66.7,0,1,1,1,50.0,1,0,1,0,100.0,Matches
16,Lukáš Horníček,cz CZE,GK,Braga,22-296,2002,15,15,1350,15.0,8,0.53,53,45,86.8,10,4,1,8,53.3,1,1,0,0,0.0,Matches
17,Franco Israel,uy URU,GK,Sporting CP,25-013,2000,11,11,990,11.0,9,0.82,25,16,64.0,9,2,0,7,63.6,0,0,0,0,,Matches
18,Jhonatan,br BRA,GK,Rio Ave,33-362,1991,8,8,720,8.0,13,1.62,43,30,69.8,2,2,4,2,25.0,0,0,0,0,,Matches
19,Luiz Lúcio Reis Júnior,br BRA,GK,Famalicão,24-111,2001,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
20,Kaique,br BRA,GK,Farense,22-019,2003,4,4,360,4.0,3,0.75,12,8,75.0,2,0,2,1,25.0,1,0,1,0,100.0,Matches
21,Kewin,br BRA,GK,Moreirense,29-192,1995,29,29,2610,29.0,42,1.45,114,72,65.8,9,7,13,6,20.7,3,3,0,0,0.0,Matches
22,Vladen Kovačević,ba BIH,GK,Sporting CP,27-024,1998,6,6,540,6.0,5,0.83,16,11,68.8,4,0,2,2,33.3,0,0,0,0,,Matches
23,Nico Mantl,de GER,GK,Arouca,25-088,2000,29,29,2610,29.0,43,1.48,120,79,70.8,8,8,13,7,24.1,8,8,0,0,0.0,Matches
24,Matheus,br BRA,GK,Braga,32-290,1992,17,17,1530,17.0,19,1.12,65,47,73.8,9,4,4,7,41.2,2,2,0,0,0.0,Matches
25,Francisco Meixedo,pt POR,GK,Estrela,23-351,2001,1,0,45,0.5,0,0.00,3,3,100.0,0,0,0,1,,0,0,0,0,,Matches
