Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Luis Barraza,us USA,GK,D.C. United,28-178,1996,4,4,360,4.0,6,1.50,16,10,62.5,2,0,2,0,0.0,0,0,0,0,,Matches
2,Adam Beaudry,us USA,GK,Colorado Rapids,19-017,2006,1,1,90,1.0,3,3.00,5,3,40.0,0,0,1,0,0.0,0,0,0,0,,Matches
3,Andre Blake,jm JAM,GK,Philadelphia Union,34-165,1990,9,9,810,9.0,9,1.00,30,21,73.3,6,1,2,4,44.4,1,1,0,0,0.0,Matches
4,Jonathan Bond,eng ENG,GK,Houston Dynamo,31-351,1993,3,3,270,3.0,4,1.33,15,11,80.0,1,1,1,1,33.3,1,1,0,0,0.0,Matches
5,Christopher Brady,us USA,GK,Chicago Fire,21-063,2004,11,11,935,10.4,22,2.12,56,34,66.1,3,4,4,1,9.1,5,3,1,1,25.0,Matches
6,Sebastian Breza,ca CAN,GK,CF Montréal,27-051,1998,1,1,90,1.0,1,1.00,6,5,83.3,0,0,1,0,0.0,0,0,0,0,,Matches
7,Roman Bürki,ch SUI,GK,St. Louis,34-172,1990,3,3,270,3.0,0,0.00,9,9,100.0,1,2,0,3,100.0,0,0,0,0,,Matches
8,Evan Bush,us USA,GK,Columbus Crew,39-060,1986,1,1,90,1.0,0,0.00,0,0,,0,1,0,1,100.0,0,0,0,0,,Matches
9,Rafael Cabral,br BRA,GK,Real Salt Lake,34-350,1990,11,11,990,11.0,17,1.55,52,33,71.2,4,0,7,2,18.2,4,2,2,0,50.0,Matches
10,Drake Callender,us USA,GK,Inter Miami,27-210,1997,3,2,185,2.1,5,2.43,13,8,61.5,0,1,1,0,0.0,0,0,0,0,,Matches
11,Roman Celentano,us USA,GK,FC Cincinnati,24-233,2000,11,11,990,11.0,13,1.18,43,30,72.1,7,1,3,4,36.4,3,1,1,1,50.0,Matches
12,Michael Collodi,us USA,GK,FC Dallas,23-345,2001,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
13,Carlos Coronel,py PAR,GK,NY Red Bulls,28-127,1996,10,10,900,10.0,12,1.20,48,36,77.1,3,3,4,4,40.0,1,1,0,0,0.0,Matches
14,Maxime Crépeau,ca CAN,GK,Portland Timbers,30-359,1994,2,2,180,2.0,8,4.00,18,10,55.6,0,0,2,0,0.0,0,0,0,0,,Matches
15,Daniel,br BRA,GK,SJ Earthquakes,30-364,1994,10,10,830,9.2,13,1.41,53,40,77.4,4,1,5,1,10.0,1,1,0,0,0.0,Matches
16,C.J. dos Santos,us USA,GK,San Diego FC,24-254,2000,11,11,990,11.0,15,1.36,51,36,76.5,5,2,4,4,36.4,3,3,0,0,0.0,Matches
17,Earl Edwards Jr.,us USA,GK,SJ Earthquakes,33-101,1992,2,1,160,1.8,7,3.94,9,2,22.2,0,0,1,0,0.0,0,0,0,0,,Matches
18,Matt Freese,us USA,GK,NYCFC,26-245,1998,11,11,990,11.0,13,1.18,49,38,73.5,5,2,4,4,36.4,0,0,0,0,,Matches
19,Stefan Frei,ch SUI,GK,Seattle Sounders,39-015,1986,10,10,900,10.0,11,1.10,32,23,68.8,3,4,3,3,30.0,1,1,0,0,0.0,Matches
20,Jeffrey Gal,us USA,GK,Chicago Fire,32-029,1993,1,0,51,0.6,0,0.00,2,2,100.0,0,0,0,1,,0,0,0,0,,Matches
21,Pedro Gallese,pe PER,GK,Orlando City,35-071,1990,10,10,900,10.0,11,1.10,45,34,77.8,3,5,2,5,50.0,1,1,0,0,0.0,Matches
22,Blake Gillingham,us USA,GK,Houston Dynamo,22-206,2002,4,3,294,3.3,4,1.22,15,11,73.3,1,1,1,2,66.7,0,0,0,0,,Matches
23,Brad Guzan,us USA,GK,Atlanta Utd,40-238,1984,11,11,990,11.0,20,1.82,56,36,69.6,2,4,5,1,9.1,3,3,0,0,0.0,Matches
