Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Saminu Abdullahi,ng NGA,MF,FC Juárez,24-122,2001,0.5,1,0,0,3,1,0,0,1,1,0,0,0,2,0,1,0.0,Matches
2,José Abella,mx MEX,DF,Santos,31-084,1994,16.8,2,0,0,10,17,1,74,20,22,0,0,0,64,27,18,60.0,Matches
3,José Abella,mx MEX,DF,FC Juárez,31-084,1994,11.3,3,0,0,10,8,0,15,14,14,0,0,0,43,13,8,61.9,Matches
4,Diego Abitia,mx MEX,FW,Atlético,22-019,2003,3.6,2,0,0,10,7,5,3,1,1,1,0,0,5,2,12,14.3,Matches
5,Carlos Acevedo,mx MEX,GK,Santos,29-016,1996,33.0,1,0,0,0,2,0,0,0,0,0,0,0,38,6,0,100.0,Matches
6,Alonso Aceves,mx MEX,DF,Pachuca,24-038,2001,14.8,2,0,0,12,9,0,17,12,21,0,0,0,86,25,22,53.2,Matches
7,Gilberto Adame,mx MEX,"DF,MF",Mazatlán,20-185,2004,4.6,0,0,0,4,5,0,23,0,7,0,0,0,19,3,2,60.0,Matches
8,Sergio Aguayo,us USA,FW,Pachuca,22-162,2002,1.8,1,0,0,2,4,2,0,0,2,0,0,0,4,6,6,50.0,Matches
9,Eduardo Águila,mx MEX,DF,Atlético,22-353,2002,30.0,4,0,0,22,8,0,1,33,26,0,0,0,109,52,44,54.2,Matches
10,Eduardo Aguirre,mx MEX,"FW,MF",Atlas,26-275,1998,24.4,4,0,0,27,48,7,26,4,11,1,0,0,42,46,76,37.7,Matches
11,Érick Aguirre,mx MEX,DF,Monterrey,28-071,1997,10.4,3,0,0,12,4,3,33,18,19,0,2,0,44,12,10,54.5,Matches
12,Gaddi Aguirre,mx MEX,DF,Atlas,29-035,1996,11.7,7,1,1,25,9,0,6,27,13,0,0,0,43,33,15,68.8,Matches
13,Rodrigo Aguirre,uy URU,"FW,MF",América,30-216,1994,9.8,7,0,0,26,10,2,6,2,14,0,0,0,27,28,22,56.0,Matches
14,Jorge Agustín Rodríguez,ar ARG,"MF,DF",Monterrey,29-232,1995,26.5,5,0,0,31,14,0,3,33,50,0,0,0,133,36,29,55.4,Matches
15,Arnaud Ake,ci CIV,FW,Querétaro,27-034,1998,2.6,0,0,0,3,3,2,0,1,1,0,0,0,6,4,6,40.0,Matches
16,Jesús Alberto Angulo,mx MEX,DF,UANL,27-095,1998,26.3,6,0,0,46,47,1,31,36,43,0,0,0,139,35,25,58.3,Matches
17,Gil Alcalá,mx MEX,GK,UNAM,32-280,1992,4.0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,100.0,Matches
18,Jesús Alcantar,mx MEX,DF,Necaxa,21-279,2003,6.8,1,0,0,6,1,0,0,13,5,0,0,0,17,16,8,66.7,Matches
19,Jordy Alcivar,ec ECU,"MF,FW",León,25-273,1999,4.4,0,0,0,6,2,0,10,5,1,0,1,0,28,1,2,33.3,Matches
20,Luis Alfonso Rodríguez,mx MEX,DF,Pachuca,34-104,1991,15.3,3,0,0,21,14,1,36,24,26,0,1,0,75,8,11,42.1,Matches
21,Guillermo Allison,mx MEX,GK,Querétaro,34-222,1990,25.0,4,0,0,2,2,0,0,0,1,0,2,0,40,7,1,87.5,Matches
22,Facundo Almada,ar ARG,DF,Mazatlán,26-299,1998,19.5,3,1,0,24,5,0,4,16,16,0,1,0,79,25,22,53.2,Matches
23,Carlos Alonso Vargas,mx MEX,"DF,FW",Cruz Azul,26-080,1999,0.6,0,0,0,3,2,0,3,1,1,0,0,0,2,1,1,50.0,Matches
24,Alfonso Alvarado,mx MEX,"FW,MF",Monterrey,25-051,2000,4.1,0,0,0,3,4,0,1,1,2,0,0,0,6,7,17,29.2,Matches
25,Alfonso Alvarado,mx MEX,"FW,MF",León,25-051,2000,8.4,1,0,0,10,2,2,4,0,8,0,0,0,22,24,20,54.5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
26,Daniel Alvarado,mx MEX,MF,América,20-229,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
27,Roberto Alvarado,mx MEX,"MF,FW",Guadalajara,26-240,1998,26.3,5,0,0,32,36,5,138,11,21,0,0,0,100,16,20,44.4,Matches
28,Ventura Alvarado,us USA,DF,Mazatlán,32-262,1992,4.4,0,0,0,1,0,0,0,6,2,0,0,0,11,6,2,75.0,Matches
29,Alek Álvarez,mx MEX,MF,Necaxa,22-033,2003,3.6,0,0,0,2,2,1,20,0,6,,,0,,,,,Matches
30,Antonio Álvarez,mx MEX,"FW,MF",América,21-130,2003,1.3,0,0,0,1,3,0,3,0,1,0,0,0,2,0,0,,Matches
31,Daniel Álvarez,mx MEX,"MF,FW",Puebla,30-287,1994,5.9,1,0,0,5,7,1,23,0,4,0,0,0,20,6,11,35.3,Matches
32,Efrain Alvarez,mx MEX,"FW,MF",Tijuana,22-320,2002,24.9,1,0,0,10,14,2,105,8,20,0,0,0,112,2,10,16.7,Matches
33,Gael Álvarez,mx MEX,FW,Pachuca,19-057,2006,2.5,0,0,0,2,5,1,9,1,5,0,0,0,15,0,1,0.0,Matches
34,Jaime Alvarez,mx MEX,"FW,MF",FC Juárez,22-074,2003,0.5,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,,Matches
35,Jaime Alvarez,mx MEX,"FW,MF",Tijuana,22-074,2003,3.8,0,0,0,3,2,1,18,0,1,0,0,0,12,1,0,100.0,Matches
36,Kevin Álvarez,mx MEX,DF,América,26-110,1999,15.2,2,1,0,19,13,1,41,13,18,1,0,0,44,8,13,38.1,Matches
37,Luis Amarilla,py PAR,FW,Mazatlán,29-253,1995,15.5,2,0,0,13,15,5,3,5,13,1,0,0,39,43,35,55.1,Matches
38,Frankie Amaya,us USA,MF,Toluca,24-221,2000,4.0,1,0,0,4,5,0,4,10,9,0,0,0,12,4,3,57.1,Matches
39,Fidel Ambríz,mx MEX,MF,Monterrey,22-045,2003,13.3,2,0,0,24,12,0,2,15,20,0,1,0,56,20,16,55.6,Matches
40,Fidel Ambríz,mx MEX,MF,León,22-045,2003,4.7,0,0,0,5,0,0,1,6,10,0,1,0,19,5,10,33.3,Matches
41,Bruno Amione,ar ARG,DF,Santos,23-122,2002,16.9,2,0,0,10,25,0,9,23,21,0,0,0,67,39,16,70.9,Matches
42,Esteban Andrada,ar ARG,GK,Monterrey,34-099,1991,24.0,5,0,0,0,2,0,0,0,1,0,0,0,38,11,2,84.6,Matches
43,Alejandro Andrade,mx MEX,"DF,MF",Necaxa,23-262,2001,5.7,1,1,0,9,3,1,4,4,6,0,0,0,23,10,4,71.4,Matches
44,Luis Ángel Malagón,mx MEX,GK,América,28-064,1997,28.5,1,0,0,0,3,0,0,0,0,0,0,0,65,7,0,100.0,Matches
45,Brayan Angulo,co COL,"DF,MF",Puebla,35-184,1989,28.1,6,2,1,35,24,0,54,34,41,0,0,0,166,23,26,46.9,Matches
46,Jesús Angulo,mx MEX,"MF,FW",Toluca,28-074,1997,20.1,1,0,0,11,22,1,57,6,19,0,0,0,82,3,9,25.0,Matches
47,José Antonio Rodríguez,mx MEX,GK,Tijuana,32-305,1992,20.9,1,0,0,0,1,0,0,0,1,0,0,0,35,4,0,100.0,Matches
48,Uriel Antuna,mx MEX,"FW,MF",Cruz Azul,27-257,1997,2.6,0,0,0,1,1,2,7,0,0,0,0,0,6,0,4,0.0,Matches
49,Uriel Antuna,mx MEX,"FW,MF",UANL,27-257,1997,8.7,1,0,0,6,14,9,52,5,9,1,0,0,36,8,10,44.4,Matches
50,Javier Aquino,mx MEX,DF,UANL,35-083,1990,29.0,7,1,1,33,31,1,82,61,57,0,0,0,140,27,24,52.9,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
51,Pedro Aquino,pe PER,MF,Santos,30-022,1995,7.4,4,1,0,11,17,0,2,9,6,0,1,0,49,10,8,55.6,Matches
52,Diego Araujo,mx MEX,MF,Querétaro,22-076,2003,1.2,0,0,0,0,2,0,0,2,2,0,0,0,9,1,2,33.3,Matches
53,Maximiliano Araújo,uy URU,FW,Toluca,25-079,2000,1.1,1,0,0,1,5,0,2,0,1,0,0,0,5,1,0,100.0,Matches
54,Néstor Araujo,mx MEX,DF,América,33-249,1991,13.4,1,0,0,11,1,2,0,18,15,0,0,0,43,39,18,68.4,Matches
55,Fernando Arce Jr.,us USA,"MF,FW",Puebla,28-159,1996,2.2,2,0,0,5,2,0,1,2,2,1,0,0,1,2,1,66.7,Matches
56,Fernando Arce Jr.,us USA,MF,Necaxa,28-159,1996,11.5,5,0,0,17,6,0,4,25,24,0,0,0,39,10,11,47.6,Matches
57,Ramiro Árciga,mx MEX,"MF,FW",Tijuana,20-248,2004,3.3,3,0,0,8,4,2,24,5,2,0,1,0,14,1,4,20.0,Matches
58,Ramiro Árciga,mx MEX,"MF,FW",Mazatlán,20-248,2004,10.6,2,0,0,17,10,8,47,3,21,0,0,0,57,3,11,21.4,Matches
59,Eduardo Armenta,mx MEX,MF,Querétaro,23-140,2001,2.3,0,0,0,4,0,0,1,0,9,0,0,0,5,1,1,50.0,Matches
60,Aarón Arredondo,mx MEX,MF,América,22-065,2003,2.0,0,0,0,1,1,0,2,2,2,0,0,0,10,0,1,0.0,Matches
61,Diego Arriaga,mx MEX,"FW,MF",América,21-005,2004,1.6,1,0,0,1,1,3,0,0,1,0,0,0,3,0,0,,Matches
62,Gerardo Arteaga,mx MEX,DF,Monterrey,26-240,1998,25.5,3,0,0,14,26,2,56,27,33,0,0,0,86,26,11,70.3,Matches
63,Víctor Arteaga,mx MEX,MF,Toluca,21-068,2004,9.2,5,1,1,13,2,0,4,15,11,0,0,0,40,4,6,40.0,Matches
64,Ali Ávila,mx MEX,"FW,MF",UNAM,21-224,2003,2.5,0,0,0,9,4,0,2,0,3,1,0,0,18,2,8,20.0,Matches
65,Ettson Ayon,mx MEX,FW,León,24-040,2001,5.8,0,0,0,13,9,7,2,1,3,1,0,0,8,9,19,32.1,Matches
66,Angel Azuaje,ve VEN,DF,UNAM,20-222,2004,2.4,2,0,0,6,0,0,0,0,2,0,1,0,7,6,3,66.7,Matches
