Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Lucas Abascia,ar ARG,DF,Cen. Córdoba–SdE,29-146,1995,5.8,2,0,0,3,5,0,0,22,10,0,0,0,43,14,14,50.0,Matches
2,Luciano Abecasis,ar ARG,DF,Ind. Rivadavia,34-335,1990,1.0,0,0,0,0,0,0,3,0,2,0,0,0,5,1,0,100.0,Matches
3,Ramón Ábila,ar ARG,FW,Huracán,35-203,1989,1.7,0,0,0,2,3,2,1,0,0,0,0,0,3,2,3,40.0,Matches
4,Ignacio Abraham,sy SYR,DF,Banfield,27-113,1998,4.1,0,0,0,8,1,1,11,2,6,0,0,0,8,1,7,12.5,Matches
5,Gonzalo Abrego,ar ARG,MF,Godoy Cruz,25-118,2000,9.3,2,0,0,10,4,0,40,4,14,0,0,0,63,33,25,56.9,Matches
6,Jonás Acevedo,ar ARG,"MF,FW",Instituto,28-088,1997,7.1,1,0,0,6,7,5,31,2,10,0,0,0,26,5,11,31.3,Matches
7,Juan Achetoni,ar ARG,FW,Aldosivi,20-055,2005,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
8,Guillermo Acosta,ar ARG,MF,Atlé Tucumán,36-186,1988,9.9,3,0,0,13,9,0,10,17,16,0,0,1,54,20,12,62.5,Matches
9,Lautaro Acosta,ar ARG,FW,Lanús,37-052,1988,0.2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0.0,Matches
10,Lucas Acosta,ar ARG,"FW,DF",San Martín de San Juan,19-351,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
11,Lucas Acosta,ar ARG,GK,Sarmiento,30-054,1995,16.0,1,0,0,0,1,0,0,0,1,0,0,0,15,4,0,100.0,Matches
12,Marcos Acuña,ar ARG,DF,River Plate,33-189,1991,11.2,4,0,0,17,13,2,82,14,13,0,0,0,79,17,19,47.2,Matches
13,Valentino Acuña,ar ARG,"FW,DF",Newell's OB,19-098,2006,1.1,0,0,0,4,1,0,0,1,1,0,0,0,3,0,0,,Matches
14,Tomás Adoryán,ar ARG,MF,Banfield,23-225,2001,5.3,3,0,0,10,12,0,14,2,8,0,0,0,46,9,8,52.9,Matches
15,Luis Advíncula,pe PER,DF,Boca Juniors,35-064,1990,8.3,2,0,0,17,7,1,20,5,12,0,0,0,26,5,6,45.5,Matches
16,Alan Aguerre,ar ARG,GK,Cen. Córdoba–SdE,34-255,1990,14.0,0,0,0,0,5,0,0,0,0,0,0,0,11,3,0,100.0,Matches
17,Emanuel Aguilera,ar ARG,DF,Defensa y Just,35-328,1989,11.1,1,0,0,5,4,0,1,7,2,0,0,0,50,43,15,74.1,Matches
