Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Abner,br BRA,DF,Juventude,21-016,2004,5.5,1,0,0,2,2,1,0,8,2,0,0,0,15,16,4,80.0,Matches
2,Nicolás Acevedo,uy URU,MF,Bahia,26-021,1999,1.7,0,0,0,2,2,0,1,2,3,0,0,0,12,2,2,50.0,Matches
3,Adson,br BRA,"FW,MF",Vasco da Gama,24-211,2000,1.5,0,0,0,1,3,0,4,0,0,0,0,0,4,1,5,16.7,Matches
4,Braian Aguirre,ar ARG,DF,Internacional,24-281,2000,5.9,0,0,0,6,0,1,13,6,10,0,0,0,18,2,6,25.0,Matches
5,Carlos Alberto,br BRA,"FW,DF",Sport Recife,23-021,2002,2.2,1,0,0,4,0,0,3,7,2,0,0,0,8,2,4,33.3,Matches
6,Yuri Alberto,br BRA,FW,Corinthians,24-048,2001,6.5,2,0,0,6,7,3,0,1,1,0,0,0,15,9,9,50.0,Matches
7,José Aldo,br BRA,MF,Mirassol,26-284,1998,2.9,1,0,0,5,2,1,0,6,6,0,0,0,12,5,6,45.5,Matches
8,Caio Alexandre,br BRA,MF,Bahia,26-070,1999,4.9,3,0,0,16,5,0,4,8,8,0,0,0,26,1,3,25.0,Matches
9,Matheus Alexandre,br BRA,DF,Sport Recife,26-028,1999,1.5,3,0,0,5,1,0,3,1,3,0,1,0,1,4,2,66.7,Matches
10,Alisson,br BRA,MF,São Paulo,31-314,1993,6.3,2,0,0,7,8,0,1,5,4,0,0,0,33,1,5,16.7,Matches
11,Allan,br BRA,MF,Flamengo,28-063,1997,1.2,0,0,0,2,0,0,0,1,0,0,0,0,3,1,2,33.3,Matches
12,Allan,br BRA,MF,Palmeiras,21-016,2004,0.7,0,0,0,0,1,0,2,1,6,0,0,0,3,5,1,83.3,Matches
13,Allan,br BRA,MF,Botafogo (RJ),34-117,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
14,Allanzinho,br BRA,"MF,FW",Fortaleza,25-031,2000,1.2,1,0,0,4,3,1,4,2,1,0,0,0,5,2,4,33.3,Matches
15,Júnior Alonso,py PAR,DF,Atlético Mineiro,32-085,1993,5.7,0,0,0,5,3,0,3,7,3,0,0,0,27,14,7,66.7,Matches
16,Matheus Alves,br BRA,"MF,FW",São Paulo,20-061,2005,3.2,3,0,0,8,6,1,4,3,2,0,0,0,14,2,2,50.0,Matches
17,Francis Amuzu,be BEL,FW,Grêmio,25-255,1999,3.1,1,0,0,2,7,2,20,0,2,0,0,0,12,0,1,0.0,Matches
18,Felipe Anderson,br BRA,"DF,MF",Palmeiras,32-020,1993,4.6,0,0,0,8,2,1,8,5,4,0,0,0,23,4,1,80.0,Matches
19,Kervin Andrade,ve VEN,"FW,MF",Fortaleza,20-022,2005,0.7,1,0,0,2,2,1,8,1,2,0,0,0,4,0,2,0.0,Matches
20,José Andrés Martínez,ve VEN,MF,Corinthians,30-271,1994,2.4,3,0,0,7,6,0,5,1,3,0,1,0,10,0,4,0.0,Matches
21,Wilker Ángel,ve VEN,DF,Juventude,32-048,1993,1.0,1,0,0,3,0,0,0,0,1,0,0,0,2,3,0,100.0,Matches
22,Fabrizio Angileri,ar ARG,DF,Corinthians,31-051,1994,3.3,0,0,0,4,1,0,13,2,6,0,0,0,13,6,4,60.0,Matches
23,Anthoni,br BRA,GK,Internacional,23-102,2002,6.5,0,0,0,0,2,0,0,0,0,0,0,1,6,3,0,100.0,Matches
24,Marcos Antônio,br BRA,MF,São Paulo,24-326,2000,4.9,3,0,0,7,9,0,2,5,2,0,0,0,21,1,5,16.7,Matches
25,Guilherme Arana,br BRA,DF,Atlético Mineiro,28-021,1997,2.8,1,0,0,3,1,0,14,2,4,0,0,0,15,3,2,60.0,Matches
