Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Brenden Aaronson,us USA,MF,Leeds United,24-194,2000,39.5,1,0,0,43,67,5,61,8,33,0,0,0,122,23,57,28.8,Matches
2,Thelo Aasgaard,no NOR,"MF,FW",Luton Town,23-002,2002,16.8,1,0,0,12,33,0,27,9,10,0,0,0,60,23,25,47.9,Matches
3,James Abankwah,ie IRL,DF,Watford,21-108,2004,15.4,4,1,1,18,26,1,4,9,22,0,0,0,76,23,32,41.8,Matches
4,Salis Abdul Samed,gh GHA,MF,Sunderland,25-039,2000,3.1,0,0,0,6,5,0,0,2,0,0,0,0,21,2,2,50.0,Matches
5,Azeem Abdulai,sct SCO,"FW,MF",Swansea City,22-146,2002,3.9,1,0,0,5,9,0,18,2,5,0,1,0,13,7,19,26.9,Matches
6,Ebou Adams,gm GAM,MF,Derby County,29-109,1996,42.1,12,0,0,87,98,3,30,56,99,0,0,0,245,83,54,60.6,Matches
7,Elijah Adebayo,eng ENG,FW,Luton Town,27-117,1998,26.9,1,0,0,57,29,27,10,7,11,0,0,0,64,61,94,39.4,Matches
8,Michael Adu-Poku,eng ENG,FW,Watford,19-224,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
9,Enock Agyei,be BEL,"FW,MF",Burnley,20-111,2005,0.6,0,0,0,1,1,0,3,0,0,0,0,0,2,1,3,25.0,Matches
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,26-039,1999,34.8,11,1,0,26,28,4,7,40,43,0,1,0,132,65,56,53.7,Matches
11,Semi Ajayi,ng NGA,DF,West Brom,31-176,1993,13.6,4,0,0,10,5,0,3,11,6,0,0,0,42,30,21,58.8,Matches
12,Milan Aleksić,rs SRB,"MF,FW",Sunderland,19-247,2005,3.2,1,0,0,7,2,0,6,4,4,0,0,0,18,0,2,0.0,Matches
13,Ajibola Alese,eng ENG,DF,Sunderland,24-107,2001,7.8,2,0,0,8,3,1,10,6,4,0,0,0,28,11,14,44.0,Matches
14,Jamie Allen,eng ENG,MF,Coventry City,30-095,1995,11.2,1,0,0,12,7,0,0,9,16,0,0,0,55,12,12,50.0,Matches
15,Joe Allen,wls WAL,MF,Swansea City,35-051,1990,7.9,2,0,0,16,8,0,13,7,8,0,0,0,37,9,14,39.1,Matches
16,Millenic Alli,ie IRL,"FW,DF",Luton Town,25-087,2000,8.5,1,0,0,12,12,3,31,1,5,0,0,0,29,22,14,61.1,Matches
17,Jak Alnwick,eng ENG,GK,Cardiff City,31-321,1993,29.0,2,0,0,0,7,0,0,0,1,0,0,0,33,8,3,72.7,Matches
18,Will Alves,eng ENG,"FW,MF",Cardiff City,20-090,2005,7.4,0,0,0,0,8,0,24,3,11,0,0,0,34,3,11,21.4,Matches
19,Steven Alzate,co COL,MF,Hull City,26-238,1998,21.6,2,0,0,20,20,1,24,27,50,0,0,0,162,30,18,62.5,Matches
20,Zeki Amdouni,ch SUI,MF,Burnley,24-151,2000,0.4,0,0,0,1,2,0,0,0,1,0,0,0,3,0,0,,Matches
21,Ethan Ampadu,wls WAL,"DF,MF",Leeds United,24-232,2000,25.4,7,0,0,38,36,0,5,25,27,0,0,0,129,61,25,70.9,Matches
22,Nordin Amrabat,ma MAR,"FW,MF",Hull City,38-034,1987,3.2,0,0,0,11,6,6,30,0,5,0,0,0,13,1,5,16.7,Matches
23,Lucas Andersen,dk DEN,"MF,FW",QPR,30-233,1994,12.9,1,0,0,11,13,3,74,9,14,0,0,0,50,5,7,41.7,Matches
24,Joe Anderson,eng ENG,DF,Sunderland,24-087,2001,1.1,1,0,0,3,1,0,4,0,2,0,0,0,9,1,1,50.0,Matches
25,Ryan Andrews,eng ENG,"DF,MF",Watford,20-251,2004,23.2,3,0,0,33,22,1,56,23,26,0,0,0,77,21,30,41.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
26,Jaidon Anthony,eng ENG,"FW,MF",Burnley,25-154,1999,40.7,4,0,0,38,37,14,251,31,33,0,0,0,165,20,35,36.4,Matches
27,Adil Aouchiche,fr FRA,"MF,FW",Portsmouth,22-293,2002,7.6,2,0,0,6,7,0,24,10,7,0,0,0,47,6,20,23.1,Matches
28,Adil Aouchiche,fr FRA,"FW,MF",Sunderland,22-293,2002,3.3,0,0,0,7,4,1,32,0,2,0,0,0,15,3,5,37.5,Matches
29,Oliver Arblaster,eng ENG,MF,Sheffield Utd,20-364,2004,10.9,3,0,0,8,11,0,18,9,7,1,0,0,63,8,11,42.1,Matches
30,Jordan Archer,sct SCO,GK,Portsmouth,32-022,1993,1.7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
31,Adam Armstrong,eng ENG,FW,West Brom,28-083,1997,11.2,0,0,0,16,7,8,9,0,7,0,0,0,25,4,14,22.2,Matches
32,Harrison Armstrong,eng ENG,MF,Derby County,18-105,2007,12.3,3,0,0,11,10,1,2,23,18,0,0,0,57,14,18,43.8,Matches
33,Sinclair Armstrong,ie IRL,FW,Bristol City,21-316,2003,17.3,1,0,0,26,28,11,4,3,1,2,0,0,28,19,48,28.4,Matches
34,Stuart Armstrong,sct SCO,"MF,FW",Sheffield Weds,33-035,1992,6.0,0,0,0,3,2,1,10,2,6,0,0,0,15,2,4,33.3,Matches
35,Harrison Ashby,sct SCO,"DF,FW",QPR,23-171,2001,17.6,6,0,0,18,27,3,26,11,35,0,0,0,74,12,15,44.4,Matches
36,Cian Ashford,wls WAL,"FW,MF",Cardiff City,20-222,2004,16.9,0,0,0,17,22,1,38,8,12,0,0,0,68,11,28,28.2,Matches
37,Robert Atkinson,eng ENG,DF,Portsmouth,26-295,1998,12.2,4,0,0,4,16,1,0,9,3,0,0,1,45,63,22,74.1,Matches
38,Luke Ayling,eng ENG,DF,Middlesbrough,33-252,1991,21.7,4,0,0,12,21,1,57,23,42,0,0,0,102,31,39,44.3,Matches
