Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Patrick van Aanholt,nl NED,DF,Sparta R'dam,34-249,1990,17.4,4,0,0,14,4,2,24,19,16,0,0,0,82,6,5,54.5,Matches
2,Paxten Aaronson,us USA,"MF,FW",Utrecht,21-252,2003,27.7,8,0,0,36,30,1,44,36,64,0,1,0,136,17,32,34.7,Matches
3,Jayden Addai,nl NED,"FW,DF",AZ Alkmaar,19-252,2005,3.4,1,0,0,2,11,1,4,1,3,1,0,0,18,1,6,14.3,Matches
4,Bobby Adekanye,nl NED,"FW,MF",Go Ahead Eag,26-080,1999,8.6,2,0,0,9,13,1,33,0,4,0,0,0,29,1,12,7.7,Matches
5,Aske Adelgaard,dk DEN,DF,Go Ahead Eag,21-176,2003,12.6,5,0,0,15,14,0,57,9,12,0,0,0,54,7,12,36.8,Matches
6,Shawn Adewoye,be BEL,DF,Fortuna Sittard,24-310,2000,19.4,3,0,0,29,13,0,2,29,17,0,1,0,67,34,27,55.7,Matches
7,Olivier Aertssen,nl NED,DF,Zwolle,20-271,2004,12.4,0,0,0,12,6,0,7,14,20,0,0,0,56,21,15,58.3,Matches
8,Amar Ahmed,se SWE,"FW,MF",Willem II,21-075,2004,7.6,3,0,0,10,12,0,29,10,4,0,1,0,42,12,8,60.0,Matches
9,Isaiah Ahmed,cw CUW,MF,Heerenveen,19-128,2005,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
10,Makan Aiko,fr FRA,FW,Fortuna Sittard,24-118,2001,13.1,4,0,0,20,16,8,14,9,3,2,0,0,30,14,40,25.9,Matches
11,Chuba Akpom,eng ENG,FW,Ajax,29-208,1995,9.2,0,0,0,10,22,4,6,0,7,1,0,0,21,26,16,61.9,Matches
