Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Rodrigo Abascal,uy URU,DF,Boavista,31-111,1994,25.9,7,1,0,33,2,4,25,37,30,0,1,1,84,35,28,55.6,Matches
2,Nelson Abbey,eng ENG,DF,Rio Ave,21-250,2003,7.1,1,0,0,5,5,0,7,5,7,0,0,0,30,6,6,50.0,Matches
3,Bilal Abdelrahman Zeeni,eg EGY,MF,Estrela,22-104,2003,0.1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,50.0,Matches
4,Giorgi Aburjania,ge GEO,MF,AVS Futebol,30-123,1995,3.4,0,0,0,3,5,0,2,3,6,0,0,0,13,4,2,66.7,Matches
5,Adriano,br BRA,MF,Santa Clara,25-182,1999,27.2,7,1,0,39,19,2,14,16,18,0,1,0,144,16,23,41.0,Matches
6,Lucas Áfrico,br BRA,DF,Farense,30-089,1995,18.5,6,0,0,30,11,2,2,12,15,0,1,2,46,50,34,59.5,Matches
7,Salvador Agra,pt POR,"MF,DF",Boavista,33-175,1991,27.7,9,1,0,26,42,7,147,14,20,0,2,0,108,9,16,36.0,Matches
8,Brandon Aguilera,cr CRC,"MF,FW",Rio Ave,21-311,2003,15.3,4,0,0,32,31,2,64,12,22,0,0,0,89,14,13,51.9,Matches
9,Jorge Aguirre,es ESP,FW,Gil Vicente FC,25-120,2000,14.6,2,1,0,24,22,4,5,3,2,0,0,0,35,24,47,33.8,Matches
10,Babatunde Akinsola,ng NGA,"MF,FW",AVS Futebol,22-056,2003,10.3,0,0,0,7,19,2,36,6,12,0,0,0,54,10,9,52.6,Matches
11,Kerem Aktürkoğlu,tr TUR,"FW,MF",Benfica,26-196,1998,20.7,2,0,0,16,27,12,49,17,16,0,0,0,101,20,11,64.5,Matches
12,Léo Alaba,br BRA,DF,AVS Futebol,25-308,1999,3.7,1,0,0,3,3,0,13,7,5,0,0,0,22,7,1,87.5,Matches
13,Alan,br BRA,MF,Moreirense,25-058,2000,25.9,5,0,0,30,51,4,75,6,9,0,0,0,94,5,21,19.2,Matches
14,Gonçalo Almeida,pt POR,"DF,MF",Boavista,21-364,2003,9.0,1,0,0,10,8,4,18,6,11,0,0,0,44,7,10,41.2,Matches
15,Pedro Álvaro,pt POR,DF,Estoril,25-064,2000,28.6,8,0,0,46,16,1,1,45,14,0,1,0,104,75,38,66.4,Matches
16,Pedro Amaral,pt POR,"DF,MF",Estoril,27-253,1997,24.8,3,0,0,22,24,2,65,22,19,0,0,0,110,22,16,57.9,Matches
17,Zeki Amdouni,ch SUI,"MF,FW",Benfica,24-152,2000,9.5,1,0,0,19,21,2,3,3,11,0,0,0,39,12,20,37.5,Matches
18,Artur Jorge Marques Amorim,pt POR,DF,Farense,30-264,1994,14.2,8,0,0,17,5,0,3,17,7,0,1,0,29,21,21,50.0,Matches
19,Andrew,br BRA,GK,Gil Vicente FC,23-308,2001,32.0,2,0,0,1,4,0,0,0,2,0,1,0,34,7,4,63.6,Matches
20,Jeremy Antonisse,cw CUW,"FW,MF",Moreirense,23-037,2002,9.0,2,0,0,8,16,5,29,3,7,0,0,0,45,10,15,40.0,Matches
21,Arvin Appiah,eng ENG,"DF,FW",Nacional,24-120,2001,14.4,3,0,0,24,24,6,21,15,15,0,1,0,59,10,9,52.6,Matches
22,Óscar Aranda,es ESP,FW,Famalicão,23-006,2002,27.2,5,0,0,18,80,6,54,8,19,1,0,0,118,31,36,46.3,Matches
23,Henrique Araújo,pt POR,FW,Arouca,23-106,2002,10.6,3,0,0,19,18,11,4,2,4,2,0,0,22,17,36,32.1,Matches
24,Maximiliano Araújo,uy URU,"DF,MF",Sporting CP,25-079,2000,17.8,7,1,0,31,28,4,70,15,30,1,0,0,86,15,11,57.7,Matches
25,Tomás Araújo,pt POR,DF,Benfica,22-354,2002,24.1,1,0,0,23,4,2,17,26,40,0,0,0,144,44,30,59.5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
26,Telmo Arcanjo,cv CPV,FW,Vitória,23-318,2001,13.7,5,0,0,18,28,0,78,7,12,0,0,0,46,8,13,38.1,Matches
27,Gboly Ariyibi,us USA,"FW,MF",Boavista,30-107,1995,3.1,0,0,0,3,7,2,7,0,0,0,0,0,6,1,7,12.5,Matches
28,Henrique Arreiol,pt POR,MF,Sporting CP,19-318,2005,0.3,0,0,0,1,0,0,0,1,0,0,0,0,3,0,2,0.0,Matches
29,Bright Arrey-Mbi,de GER,DF,Braga,22-040,2003,12.6,3,1,0,18,2,0,0,8,11,0,1,0,61,15,8,65.2,Matches
30,Afonso Assis,pt POR,MF,Moreirense,18-294,2006,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
31,Gustavo Assuncao,pt POR,MF,AVS Futebol,25-036,2000,15.2,12,1,1,36,26,0,15,8,22,1,0,0,84,15,17,46.9,Matches
32,Otavio Ataide,br BRA,DF,Porto,23-014,2002,18.1,5,0,0,21,29,0,5,23,15,0,2,0,73,26,24,52.0,Matches
33,João Aurélio,pt POR,"FW,DF",Nacional,36-261,1988,2.8,1,0,0,6,2,0,8,2,6,0,0,0,6,7,1,87.5,Matches
34,Fredrik Aursnes,no NOR,"MF,FW",Benfica,29-146,1995,25.1,1,0,0,10,12,0,45,11,25,0,0,0,87,15,23,39.5,Matches
35,Felix Bacher,at AUT,DF,Estoril,24-192,2000,21.0,5,0,0,37,15,0,0,32,31,0,1,0,89,63,48,56.8,Matches
36,Miguel Baeza,es ESP,"MF,FW",Nacional,25-039,2000,2.3,0,0,0,1,0,0,9,0,2,0,0,0,5,1,6,14.3,Matches
37,Alexander Bah,dk DEN,DF,Benfica,27-147,1997,15.7,2,0,0,15,24,0,56,20,34,0,0,0,68,24,18,57.1,Matches
38,Adrian Bajrami,al ALB,DF,Benfica,23-030,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
39,Theofanis Bakoulas,gr GRE,MF,Rio Ave,20-121,2005,2.3,2,0,0,3,5,0,0,4,2,0,0,1,16,3,8,27.3,Matches
40,Elves Baldé,gw GNB,"MF,FW",Farense,25-215,1999,11.6,1,1,0,8,12,5,53,6,8,0,0,0,51,8,26,23.5,Matches
41,Mohamed Bamba,ci CIV,MF,Gil Vicente FC,20-209,2004,8.6,3,0,0,12,6,0,4,13,10,0,0,0,47,13,16,44.8,Matches
42,Robson Bambu,br BRA,DF,Braga,27-174,1997,11.2,6,0,0,19,8,5,1,6,5,0,0,0,49,20,17,54.1,Matches
43,Chico Banza,ao ANG,FW,Estrela,26-139,1998,6.3,4,0,0,22,9,12,11,1,5,0,0,0,15,14,22,38.9,Matches
44,Simon Banza,cd COD,FW,Braga,28-265,1996,0.2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0.0,Matches
45,Rafael Barbosa,pt POR,"MF,FW",Farense,29-037,1996,4.0,2,0,0,4,4,0,29,2,1,0,0,0,30,0,5,0.0,Matches
46,Leandro Barreiro Martins,lu LUX,MF,Benfica,25-122,2000,12.5,5,0,0,28,28,1,7,8,16,3,0,0,56,19,22,46.3,Matches
47,Afonso Bastardo,pt POR,FW,Sporting CP,20-047,2005,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
48,Gil Bastião Dias,pt POR,"FW,MF",Famalicão,28-219,1996,14.5,6,0,0,19,17,3,32,11,19,0,0,0,86,14,18,43.8,Matches
49,Gabriel Batista,br BRA,GK,Santa Clara,26-336,1998,32.0,4,0,0,1,8,0,0,0,1,0,1,0,40,13,1,92.9,Matches
50,Gilberto Batista,gw GNB,DF,Moreirense,21-127,2003,3.2,1,0,0,4,1,0,0,3,3,0,0,0,13,9,8,52.9,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
51,Ricardo Batista,pt POR,GK,Casa Pia,38-167,1986,1.0,0,0,0,1,0,0,0,0,0,0,1,0,5,1,0,100.0,Matches
52,Yanis Begraoui,ma MAR,"FW,MF",Estoril,23-305,2001,19.5,1,0,0,17,19,12,14,6,9,1,0,0,56,12,48,20.0,Matches
53,Gui Beleza,pt POR,MF,Gil Vicente FC,18-147,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
54,Bachir Belloumi,dz ALG,FW,Farense,22-338,2002,3.0,0,0,0,4,0,2,8,3,4,0,0,0,14,3,3,50.0,Matches
55,Andrea Belotti,it ITA,FW,Benfica,31-136,1993,4.5,0,0,0,9,17,5,2,1,4,1,0,0,8,8,9,47.1,Matches
56,Fahem Benaissa Yahia,fr FRA,"DF,MF",Casa Pia,23-006,2002,2.5,1,0,0,5,1,0,7,9,2,0,0,0,9,3,4,42.9,Matches
57,Beni,ao ANG,MF,Vitória,22-349,2002,0.5,1,0,0,3,1,0,0,0,2,0,0,0,6,0,1,0.0,Matches
58,Beni,ao ANG,MF,Casa Pia,22-349,2002,8.3,3,0,0,17,15,0,0,11,13,0,0,0,58,16,11,59.3,Matches
59,Álex Bermejo,es ESP,"MF,FW",Farense,26-145,1998,6.3,3,0,0,9,10,2,25,2,5,0,0,0,21,6,17,26.1,Matches
60,Sergio Bermejo,es ESP,"MF,FW",Gil Vicente FC,27-261,1997,4.5,0,0,0,7,13,0,2,3,5,0,0,0,21,1,1,50.0,Matches
