Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Liel Abada,il ISR,"FW,MF",Charlotte,23-214,2001,7.3,1,0,0,8,8,1,12,4,5,0,1,0,32,0,8,0.0,Matches
2,Luis Abram,pe PER,DF,Atlanta Utd,29-067,1996,6.8,0,0,0,4,2,0,3,1,2,0,0,0,29,10,8,55.6,Matches
3,Lalas Abubakar,gh GHA,DF,FC Dallas,30-131,1994,2.0,0,0,0,2,2,0,0,5,4,0,0,0,3,2,2,50.0,Matches
4,Kellyn Acosta,us USA,MF,Chicago Fire,29-285,1995,4.3,1,0,0,5,8,1,0,5,2,0,1,0,18,3,1,75.0,Matches
5,Luciano Acosta,ar ARG,MF,FC Dallas,30-339,1994,10.2,4,0,0,15,22,2,52,3,12,1,0,0,35,1,5,16.7,Matches
6,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-109,1995,1.9,0,0,0,2,1,0,4,3,1,0,0,0,5,6,4,60.0,Matches
7,Leonardo Afonso,br BRA,FW,Inter Miami,23-296,2001,0.8,1,0,0,3,1,0,0,0,0,0,0,0,1,0,1,0.0,Matches
8,Stephen Afrifa,ca CAN,"FW,MF",Sporting KC,24-075,2001,0.1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0.0,Matches
9,William Agada,ng NGA,FW,Sporting KC,25-230,1999,1.1,0,0,0,5,1,0,0,0,0,0,0,0,3,3,1,75.0,Matches
10,William Agada,ng NGA,FW,Real Salt Lake,25-230,1999,0.8,0,0,0,2,1,0,0,0,0,0,0,0,1,0,3,0.0,Matches
11,Patrick Agyemang,us USA,FW,Charlotte,24-179,2000,8.6,2,0,0,19,26,5,1,1,2,1,0,0,16,9,16,36.0,Matches
12,Ali Ahmed,ca CAN,FW,Vancouver W'caps,24-207,2000,5.9,1,0,0,6,9,1,19,1,7,0,0,0,17,7,6,53.8,Matches
13,Forster Ajago,gh GHA,FW,Real Salt Lake,23-262,2001,2.9,2,0,0,7,4,4,0,0,3,0,0,0,0,3,18,14.3,Matches
14,Jordi Alba,es ESP,DF,Inter Miami,36-045,1989,8.4,3,0,0,6,8,1,32,5,5,0,0,0,39,2,1,66.7,Matches
15,Noah Allen,us USA,DF,Inter Miami,21-007,2004,7.3,1,0,0,4,4,0,2,6,11,0,0,0,30,7,4,63.6,Matches
16,Tadeo Allende,ar ARG,"FW,MF",Inter Miami,26-074,1999,4.5,0,0,0,4,5,6,4,1,1,0,0,0,10,11,5,68.8,Matches
17,Miguel Almirón,py PAR,"FW,MF",Atlanta Utd,31-084,1994,9.9,1,0,0,12,18,4,15,3,8,0,0,0,45,2,1,66.7,Matches
18,Alejandro Alvarado Jr.,us USA,MF,San Diego FC,21-280,2003,2.1,1,0,0,7,4,0,0,5,4,0,0,0,6,0,0,,Matches
19,Fernando Álvarez,co COL,DF,CF Montréal,21-254,2003,4.6,1,0,0,8,5,1,1,6,5,0,0,0,19,17,17,50.0,Matches
20,Pedro Amador,pt POR,DF,Atlanta Utd,26-138,1998,6.7,1,0,0,4,4,2,20,6,1,0,0,0,22,5,5,50.0,Matches
21,Frankie Amaya,us USA,MF,LAFC,24-221,2000,0.2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,Matches
22,Malte Amundsen,dk DEN,DF,Columbus Crew,27-083,1998,7.2,1,1,0,9,3,0,0,7,9,0,0,0,29,8,6,57.1,Matches
23,Tomas Ángel,co COL,"FW,MF",San Diego FC,22-074,2003,3.3,1,0,0,4,2,1,2,1,0,0,0,0,11,2,4,33.3,Matches
24,Iván Angulo,co COL,"FW,MF",Orlando City,26-044,1999,9.4,2,0,0,9,9,0,11,6,10,0,0,0,57,0,6,0.0,Matches
25,Conner Antley,us USA,"DF,MF",D.C. United,30-044,1995,0.8,0,0,0,2,1,0,2,3,0,0,0,0,7,0,1,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
26,Antony,br BRA,"FW,MF",Portland Timbers,23-239,2001,9.9,3,0,0,20,14,6,11,6,13,0,1,0,54,2,11,15.4,Matches
27,Brian Anunga,cm CMR,MF,FC Cincinnati,28-268,1996,7.0,1,0,0,6,1,0,1,5,11,0,0,0,43,4,2,66.7,Matches
28,Chris Applewhite,us USA,DF,Nashville SC,17-255,2007,0.2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0.0,Matches
29,Cristian Arango,co COL,"MF,FW",SJ Earthquakes,30-057,1995,10.8,1,0,0,17,18,5,15,5,8,0,0,0,38,16,10,61.5,Matches
30,César Araujo,uy URU,MF,Orlando City,24-033,2001,6.0,1,0,0,10,23,1,0,5,9,0,0,0,29,0,4,0.0,Matches
31,Maximilian Arfsten,us USA,"MF,DF",Columbus Crew,24-016,2001,10.0,3,0,0,15,16,4,21,9,13,0,0,0,44,5,6,45.5,Matches
32,Daniel Armando Ríos,mx MEX,FW,Vancouver W'caps,30-072,1995,4.6,1,0,0,6,2,1,1,2,0,0,0,0,9,5,10,33.3,Matches
33,Paul Arriola,us USA,"FW,DF",Seattle Sounders,30-089,1995,0.8,0,0,0,4,0,1,5,0,0,0,0,0,4,0,1,0.0,Matches
34,Artur,br BRA,MF,Houston Dynamo,29-055,1996,11.0,1,0,0,15,10,0,3,19,13,0,0,0,81,5,3,62.5,Matches
35,Joshua Atencio,us USA,MF,Colorado Rapids,23-094,2002,8.4,0,0,0,6,3,0,4,13,9,0,0,1,66,8,9,47.1,Matches
36,Eduard Atuesta,co COL,MF,Orlando City,27-321,1997,6.8,3,0,0,18,12,1,9,6,7,1,0,0,29,4,6,40.0,Matches
37,Julián Aude,ar ARG,DF,LA Galaxy,22-042,2003,5.6,0,0,0,7,10,0,8,5,4,0,0,0,19,4,5,44.4,Matches
38,Tomás Avilés,ar ARG,"DF,MF",Inter Miami,21-091,2004,4.6,1,1,0,5,0,0,1,7,5,0,0,0,20,1,2,33.3,Matches
39,Chidozie Awaziem,ng NGA,DF,Colorado Rapids,28-124,1997,10.7,3,0,0,13,8,0,0,12,8,0,0,0,56,16,20,44.4,Matches
40,Obafemi Awodesu,us USA,DF,Houston Dynamo,24-030,2001,11.0,2,0,0,12,8,1,0,9,4,0,1,0,44,20,7,74.1,Matches
41,David Ayala,ar ARG,MF,Portland Timbers,22-283,2002,9.5,2,0,0,6,6,0,6,14,20,0,0,0,54,9,6,60.0,Matches
42,Dominique Badji,sn SEN,"FW,MF",D.C. United,32-201,1992,3.6,1,0,0,10,10,0,5,0,2,0,0,0,7,21,22,48.8,Matches
43,Jeevan Badwal,ca CAN,"MF,FW",Vancouver W'caps,19-055,2006,1.4,1,0,0,1,4,0,3,3,4,0,0,0,9,1,4,20.0,Matches
44,Corey Baird,us USA,"FW,MF",FC Cincinnati,29-095,1996,3.3,1,0,0,1,4,1,3,1,4,0,0,0,17,1,4,20.0,Matches
45,Cody Baker,us USA,MF,Seattle Sounders,21-118,2004,0.2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,Matches
46,Reed Baker-Whiting,us USA,"FW,MF",Seattle Sounders,20-035,2005,0.3,0,0,0,1,1,0,1,0,0,0,0,0,2,1,0,100.0,Matches
47,Monsef Bakrar,dz ALG,"FW,MF",NYCFC,24-112,2001,3.2,1,0,0,7,7,0,1,3,4,0,0,0,12,14,10,58.3,Matches
48,Jonathan Bamba,ci CIV,FW,Chicago Fire,29-040,1996,9.6,0,0,0,10,15,4,18,8,3,0,0,0,47,5,4,55.6,Matches
49,Fidel Barajas,mx MEX,FW,D.C. United,19-030,2006,0.2,0,0,0,0,1,0,2,0,1,0,0,0,3,0,0,,Matches
50,Jesús Barea,es ESP,FW,Real Salt Lake,23-007,2002,2.0,0,0,0,2,8,0,0,0,2,0,0,0,4,1,2,33.3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
51,Tai Baribo,il ISR,FW,Philadelphia Union,27-110,1998,7.9,2,0,0,10,7,3,0,5,4,0,0,0,30,13,34,27.7,Matches
52,Tom Barlow,us USA,"FW,MF",Chicago Fire,29-301,1995,2.1,1,0,0,5,0,4,0,1,0,0,1,0,4,3,8,27.3,Matches
53,Luis Barraza,us USA,GK,D.C. United,28-178,1996,4.0,2,0,0,0,1,0,0,0,0,0,0,0,11,0,0,,Matches
54,Leonardo Barroso,pt POR,DF,Chicago Fire,19-327,2005,3.0,0,0,0,0,2,0,6,2,5,0,0,0,16,2,5,28.6,Matches
55,Jacob Bartlett,us USA,MF,Sporting KC,19-210,2005,6.5,3,0,0,5,3,0,6,13,4,0,0,0,21,0,5,0.0,Matches
56,Lucas Bartlett,us USA,DF,D.C. United,27-283,1997,10.0,2,0,0,11,5,1,3,16,8,0,0,0,45,33,20,62.3,Matches
57,Ethan Bartlow,us USA,DF,Houston Dynamo,25-092,2000,4.3,1,0,0,5,0,0,5,1,5,0,0,0,12,8,5,61.5,Matches
58,Cole Bassett,us USA,"MF,FW",Colorado Rapids,23-281,2001,9.4,2,0,0,10,3,0,12,1,7,0,0,0,46,14,3,82.4,Matches
59,Sam Bassett,us USA,MF,Colorado Rapids,22-022,2003,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Matches
60,Amine Bassi,fr FRA,"MF,FW",Houston Dynamo,27-159,1997,10.0,1,0,0,18,22,5,10,7,8,0,0,0,32,3,6,33.3,Matches
61,Zorhan Bassong,ca CAN,MF,Sporting KC,25-363,1999,3.5,0,0,0,5,4,1,1,4,4,0,0,0,11,5,2,71.4,Matches
62,Andy Batioja,co COL,FW,Houston Dynamo,19-094,2006,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
