Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Lucas Abascia,ar ARG,DF,Cen. Córdoba–SdE,29-146,1995,5.8,317,303,14,8,0,2,0,6,0,0,0,0,249,0,4,Matches
2,Luciano Abecasis,ar ARG,DF,Ind. Rivadavia,34-335,1990,1.0,52,45,7,0,0,0,3,7,0,0,0,0,37,0,0,Matches
3,Ramón Ábila,ar ARG,FW,Huracán,35-203,1989,1.7,41,38,2,0,0,1,1,0,0,0,0,0,25,1,1,Matches
4,Ignacio Abraham,sy SYR,DF,Banfield,27-113,1998,4.1,145,110,35,1,0,0,11,34,0,0,0,0,96,0,9,Matches
5,Gonzalo Abrego,ar ARG,MF,Godoy Cruz,25-118,2000,9.3,458,409,47,20,0,7,40,5,20,7,13,0,317,2,15,Matches
6,Jonás Acevedo,ar ARG,"MF,FW",Instituto,28-088,1997,7.1,230,208,20,7,2,0,31,2,11,3,7,0,154,2,16,Matches
7,Juan Achetoni,ar ARG,FW,Aldosivi,20-055,2005,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
8,Guillermo Acosta,ar ARG,MF,Atlé Tucumán,36-186,1988,9.9,466,444,20,17,2,2,10,2,0,0,0,0,367,2,7,Matches
9,Lautaro Acosta,ar ARG,FW,Lanús,37-052,1988,0.2,10,9,1,1,0,0,0,0,0,0,0,0,9,0,0,Matches
10,Lucas Acosta,ar ARG,"FW,DF",San Martín de San Juan,19-351,2005,0.1,8,8,0,0,0,0,0,0,0,0,0,0,4,0,1,Matches
11,Lucas Acosta,ar ARG,GK,Sarmiento,30-054,1995,16.0,467,302,161,36,0,1,0,0,0,0,0,0,298,4,0,Matches
12,Marcos Acuña,ar ARG,DF,River Plate,33-189,1991,11.2,756,593,162,40,0,4,82,107,15,0,15,0,577,1,15,Matches
13,Valentino Acuña,ar ARG,"FW,DF",Newell's OB,19-098,2006,1.1,22,22,0,0,0,0,0,0,0,0,0,0,15,0,2,Matches
14,Tomás Adoryán,ar ARG,MF,Banfield,23-225,2001,5.3,219,207,12,5,0,3,14,2,5,4,1,0,166,0,5,Matches
15,Luis Advíncula,pe PER,DF,Boca Juniors,35-064,1990,8.3,420,330,90,9,0,5,20,80,0,0,0,0,354,0,7,Matches
16,Alan Aguerre,ar ARG,GK,Cen. Córdoba–SdE,34-255,1990,14.0,306,152,151,51,0,0,0,0,0,0,0,0,182,3,0,Matches
17,Emanuel Aguilera,ar ARG,DF,Defensa y Just,35-328,1989,11.1,548,514,34,28,0,1,1,1,0,0,0,0,470,0,2,Matches
18,Brian Aguirre,ar ARG,FW,Boca Juniors,21-338,2003,1.3,44,42,2,0,0,1,4,1,1,0,0,0,32,0,1,Matches
19,Manuel Agustín Duarte,ar ARG,"MF,FW",Barracas Central,23-255,2001,4.3,136,128,8,4,0,2,5,0,1,0,1,0,112,0,3,Matches
20,Gabriel Alanís,ar ARG,FW,Huracán,31-050,1994,10.3,175,172,0,0,1,1,21,0,0,0,0,0,123,3,9,Matches
21,Agustín Alaniz,uy URU,"FW,MF",Banfield,22-354,2002,11.1,253,222,30,8,0,0,31,5,9,3,5,0,172,1,14,Matches
22,Fernando Alarcón,ar ARG,DF,Instituto,30-323,1994,16.0,601,523,77,62,0,2,0,0,0,0,0,0,457,1,12,Matches
23,William Alarcón,cl CHI,MF,Boca Juniors,24-166,2000,4.9,227,206,19,11,1,1,12,2,6,1,5,0,188,2,4,Matches
24,Lucas Alario,ar ARG,FW,Estudiantes–LP,32-209,1992,6.7,130,117,13,1,0,0,0,0,0,0,0,0,99,0,3,Matches
25,Franco Alfonso,ar ARG,"FW,MF",Cen. Córdoba–SdE,23-001,2002,2.2,82,75,7,0,0,0,13,5,2,2,0,0,58,0,5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
26,Rodrigo Aliendro,ar ARG,MF,River Plate,34-078,1991,5.4,285,272,13,7,2,0,6,6,0,0,0,0,226,0,7,Matches
27,Agustín Almendra,ar ARG,MF,Racing Club,25-083,2000,9.2,369,340,28,12,2,3,10,3,7,3,0,0,278,1,4,Matches
28,Antony Alonso,ar ARG,"MF,FW",Deportivo Riestra,26-359,1998,6.3,89,87,0,0,0,0,5,0,0,0,0,0,47,2,3,Matches
29,Facundo Altamira,,"FW,MF",Godoy Cruz,,,5.8,114,109,5,1,0,0,18,3,1,0,1,0,82,0,3,Matches
30,Pablo Altamirano,ar ARG,MF,Newell's OB,20-095,2005,0.2,13,13,0,0,0,0,0,0,0,0,0,0,9,0,2,Matches
31,Francisco Álvarez,ar ARG,DF,Arg Juniors,25-068,2000,15.9,956,915,40,25,0,9,4,4,0,0,0,0,840,1,8,Matches
32,Franco Amarfil,ar ARG,MF,Ind. Rivadavia,24-055,2001,14.5,560,545,12,9,2,12,4,2,1,0,0,0,457,3,10,Matches
33,Fabricio Amato,ar ARG,MF,Ind. Rivadavia,20-335,2004,0.3,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
34,Santino Andino,ar ARG,"MF,FW",Godoy Cruz,19-192,2005,7.0,130,125,4,0,0,1,24,2,2,2,0,0,71,1,7,Matches
35,Isaías Andrada,ar ARG,"DF,MF",Vélez Sarsfield,22-082,2003,1.8,108,89,17,1,0,0,4,16,0,0,0,0,90,2,4,Matches
36,Juan Andrada,ar ARG,MF,Sarmiento,30-121,1995,1.1,60,58,2,1,0,1,2,1,0,0,0,0,49,0,2,Matches
37,Álvaro Angulo,co COL,DF,Independiente,27-336,1997,8.7,430,357,72,5,0,6,17,67,0,0,0,0,312,1,15,Matches
38,Luis Angulo,co COL,"FW,MF",Cen. Córdoba–SdE,21-043,2004,11.0,285,279,4,0,5,0,22,3,1,0,0,0,190,2,16,Matches
39,Federico Anselmo,ar ARG,FW,San Martín de San Juan,31-018,1994,8.9,118,106,11,0,0,0,5,0,0,0,0,0,57,1,5,Matches
40,Mateo Antoni,uy URU,MF,Arg Juniors,22-013,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
41,Dylan Aquino,ar ARG,FW,Lanús,19-335,2005,7.1,247,235,11,5,2,2,23,1,5,2,2,0,185,1,8,Matches
42,Ignacio Arce,ar ARG,GK,Deportivo Riestra,33-027,1992,16.0,539,297,240,98,0,0,0,0,0,0,0,0,254,2,0,Matches
43,Lucas Arce,ar ARG,DF,Godoy Cruz,27-264,1997,9.7,494,379,112,2,1,1,36,110,0,0,0,0,333,3,15,Matches
44,Joaquín Ardaiz,uy URU,FW,Arg Juniors,26-114,1999,0.1,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,Matches
45,Facundo Ardiles,ar ARG,DF,Godoy Cruz,26-225,1998,0.5,20,11,9,0,0,0,0,9,0,0,0,0,14,0,2,Matches
46,Gabriel Arias,cl CHI,GK,Racing Club,37-234,1987,11.3,337,209,127,27,0,0,0,0,0,0,0,0,236,1,0,Matches
47,Ramón Arias,uy URU,DF,Tigre,32-282,1992,2.3,78,74,4,4,0,1,0,0,0,0,0,0,64,0,0,Matches
48,Franco Armani,ar ARG,GK,River Plate,38-201,1986,16.0,375,242,133,35,0,0,0,0,0,0,0,0,302,0,0,Matches
49,Blas Armoa,py PAR,FW,Tigre,25-091,2000,3.1,62,61,0,0,0,0,7,0,0,0,0,0,31,1,4,Matches
50,Marcos Arturia,ar ARG,FW,Banfield,27-086,1998,5.2,85,76,8,1,0,0,1,0,0,0,0,0,57,1,8,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
51,Santiago Arzamendia,py PAR,DF,Estudiantes–LP,27-000,1998,9.8,466,367,97,7,1,2,26,90,0,0,0,0,345,2,18,Matches
52,Santiago Ascacíbar,ar ARG,MF,Estudiantes–LP,28-069,1997,13.0,668,645,22,16,3,10,8,6,0,0,0,0,549,1,11,Matches
53,Jorge de Asís,ar ARG,MF,Gimnasia–LP,19-096,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
54,Agustín Auzmendi,ar ARG,FW,Godoy Cruz,28-093,1997,2.9,54,52,2,0,0,0,2,0,0,0,0,0,32,0,1,Matches
55,Carlos Auzqui,ar ARG,MF,Atlé Tucumán,34-050,1991,6.0,206,199,6,1,0,1,25,5,0,0,0,0,137,1,9,Matches
