Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25-120,2000,1.0,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1,Matches
2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,25-120,2000,1.2,42,35,7,0,0,0,2,7,0,0,0,0,29,0,1,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21-357,2003,0.7,29,21,8,0,0,0,1,8,0,0,0,0,17,0,2,Matches
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21-108,2004,1.0,46,45,1,1,0,0,0,0,0,0,0,0,36,0,0,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,19-029,2006,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-218,1987,10.9,502,458,42,20,0,0,0,3,0,0,0,0,436,2,1,Matches
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25-168,1999,28.6,1532,1426,98,38,23,12,39,14,8,4,2,0,1264,8,29,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,26-092,1999,9.5,521,493,28,21,0,7,2,5,0,0,0,0,471,0,2,Matches
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-135,1993,14.9,645,531,110,12,0,2,49,98,0,0,0,0,480,4,20,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25-290,1999,2.3,136,103,33,1,0,0,7,32,0,0,0,0,118,0,3,Matches
11,Abel,es ESP,DF,Osasuna,es La Liga,24-256,2000,22.4,1035,817,214,13,3,2,83,201,0,0,0,0,749,4,46,Matches
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,22-254,2002,2.9,61,58,2,2,0,1,0,0,0,0,0,0,36,1,3,Matches
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28-328,1996,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,22-037,2003,27.8,473,447,25,1,3,4,29,1,0,0,0,0,308,1,24,Matches
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24-342,2000,12.1,674,575,97,9,1,5,31,82,6,6,0,0,568,2,18,Matches
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,25-075,2000,20.5,341,325,13,1,0,0,33,7,3,2,0,0,215,3,14,Matches
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,26-055,1999,27.4,939,888,48,40,1,17,5,7,0,0,0,0,719,3,6,Matches
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,27-214,1997,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,27-214,1997,13.1,221,203,17,0,5,0,3,0,0,0,0,0,152,1,6,Matches
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,21-088,2004,0.1,6,6,0,0,0,0,1,0,0,0,0,0,4,0,1,Matches
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-083,1988,17.5,1191,1152,37,24,0,1,10,8,0,0,0,0,1102,2,5,Matches
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18-364,2006,1.9,124,121,3,2,0,0,0,1,0,0,0,0,104,0,2,Matches
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-095,2000,1.5,27,24,3,0,0,0,0,0,0,0,0,0,20,0,0,Matches
24,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,25-095,2000,11.9,179,160,17,0,1,2,5,0,0,0,0,0,112,2,7,Matches
25,Che Adams,sct SCO,FW,Torino,it Serie A,28-295,1996,26.5,497,457,39,3,4,5,10,1,0,0,0,0,368,1,17,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
26,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26-079,1999,19.0,905,865,35,31,2,0,3,4,0,0,0,0,757,5,11,Matches
27,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23-332,2001,14.4,274,259,13,0,1,0,5,2,0,0,0,0,170,2,11,Matches
28,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,27-222,1997,13.7,1081,1044,35,19,2,3,0,4,0,0,0,0,988,2,3,Matches
29,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,21-153,2003,0.3,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
30,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,23-106,2002,14.3,370,358,10,1,3,2,24,6,2,2,0,0,275,2,20,Matches
31,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,23-123,2002,9.9,310,300,9,0,1,0,34,8,1,0,0,0,232,1,10,Matches
32,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24-359,2000,7.0,311,298,12,0,0,2,32,8,3,2,1,0,231,1,12,Matches
33,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24-279,2000,13.4,858,766,87,42,3,13,59,5,39,17,19,0,694,5,11,Matches
34,Adrián,es ESP,GK,Betis,es La Liga,38-121,1987,14.0,447,335,110,42,0,0,0,0,0,0,0,0,334,2,3,Matches
35,Adryelson,br BRA,DF,Lyon,fr Ligue 1,27-042,1998,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
36,Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,18-357,2006,0.3,16,16,0,0,0,0,0,0,0,0,0,0,12,0,1,Matches
37,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,28-118,1997,7.2,357,332,23,12,1,5,11,0,8,2,4,0,312,2,3,Matches
38,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,27-081,1998,16.9,433,407,22,3,0,4,49,11,0,0,0,0,301,4,29,Matches
39,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27-321,1997,12.7,780,743,34,26,1,11,1,0,0,0,0,0,663,3,4,Matches
40,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27-321,1997,14.0,922,842,77,37,3,22,1,4,0,0,0,0,810,3,4,Matches
