Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Saminu Abdullahi,ng NGA,MF,FC Juárez,24-122,2001,0.5,17,16,0,0,0,0,0,0,0,0,0,0,11,1,0,Matches
2,José Abella,mx MEX,DF,Santos,31-084,1994,16.8,885,674,206,44,0,10,74,145,17,2,11,0,658,5,23,Matches
3,José Abella,mx MEX,DF,FC Juárez,31-084,1994,11.3,583,445,138,13,0,9,15,125,0,0,0,0,448,0,12,Matches
4,Diego Abitia,mx MEX,FW,Atlético,22-019,2003,3.6,65,57,8,0,0,1,3,0,0,0,0,0,48,0,5,Matches
5,Carlos Acevedo,mx MEX,GK,Santos,29-016,1996,33.0,1137,727,405,96,0,4,0,0,0,0,0,0,831,5,0,Matches
6,Alonso Aceves,mx MEX,DF,Pachuca,24-038,2001,14.8,760,700,60,16,1,13,17,44,0,0,0,0,629,0,10,Matches
7,Gilberto Adame,mx MEX,"DF,MF",Mazatlán,20-185,2004,4.6,147,126,21,0,0,0,23,19,2,0,2,0,96,0,9,Matches
8,Sergio Aguayo,us USA,FW,Pachuca,22-162,2002,1.8,38,38,0,0,0,0,0,0,0,0,0,0,26,0,1,Matches
9,Eduardo Águila,mx MEX,DF,Atlético,22-353,2002,30.0,1556,1510,44,37,1,11,1,4,0,0,0,0,1351,2,7,Matches
10,Eduardo Aguirre,mx MEX,"FW,MF",Atlas,26-275,1998,24.4,461,405,53,5,3,0,26,7,5,5,0,0,316,3,28,Matches
11,Érick Aguirre,mx MEX,DF,Monterrey,28-071,1997,10.4,640,549,91,4,1,1,33,86,1,1,0,0,510,0,13,Matches
12,Gaddi Aguirre,mx MEX,DF,Atlas,29-035,1996,11.7,565,456,108,9,0,3,6,84,0,0,0,0,424,1,10,Matches
13,Rodrigo Aguirre,uy URU,"FW,MF",América,30-216,1994,9.8,185,170,13,2,0,1,6,1,0,0,0,0,123,2,7,Matches
14,Jorge Agustín Rodríguez,ar ARG,"MF,DF",Monterrey,29-232,1995,26.5,1555,1499,55,46,1,11,3,3,1,0,0,0,1346,1,19,Matches
15,Arnaud Ake,ci CIV,FW,Querétaro,27-034,1998,2.6,51,43,7,0,0,0,0,1,0,0,0,0,35,1,3,Matches
16,Jesús Alberto Angulo,mx MEX,DF,UANL,27-095,1998,26.3,1572,1364,202,31,4,11,31,158,0,0,0,0,1279,6,23,Matches
17,Gil Alcalá,mx MEX,GK,UNAM,32-280,1992,4.0,147,124,23,5,0,0,0,0,0,0,0,0,124,0,0,Matches
18,Jesús Alcantar,mx MEX,DF,Necaxa,21-279,2003,6.8,240,207,33,2,0,1,0,29,0,0,0,0,195,0,1,Matches
19,Jordy Alcivar,ec ECU,"MF,FW",León,25-273,1999,4.4,184,172,11,3,1,2,10,1,7,3,3,1,138,1,3,Matches
20,Luis Alfonso Rodríguez,mx MEX,DF,Pachuca,34-104,1991,15.3,1004,799,202,18,4,8,36,184,0,0,0,0,810,3,17,Matches
21,Guillermo Allison,mx MEX,GK,Querétaro,34-222,1990,25.0,744,412,328,64,0,2,0,1,0,0,0,0,445,4,1,Matches
22,Facundo Almada,ar ARG,DF,Mazatlán,26-299,1998,19.5,835,766,67,29,0,15,4,32,0,0,0,0,672,2,9,Matches
23,Carlos Alonso Vargas,mx MEX,"DF,FW",Cruz Azul,26-080,1999,0.6,35,24,11,1,0,2,3,10,0,0,0,0,23,0,2,Matches
24,Alfonso Alvarado,mx MEX,"FW,MF",Monterrey,25-051,2000,4.1,76,68,8,0,0,1,1,1,0,0,0,0,54,0,2,Matches
25,Alfonso Alvarado,mx MEX,"FW,MF",León,25-051,2000,8.4,154,140,13,1,0,0,4,5,0,0,0,0,112,1,6,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
26,Daniel Alvarado,mx MEX,MF,América,20-229,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
27,Roberto Alvarado,mx MEX,"MF,FW",Guadalajara,26-240,1998,26.3,1246,1092,147,51,4,14,138,17,78,47,16,0,944,7,27,Matches
28,Ventura Alvarado,us USA,DF,Mazatlán,32-262,1992,4.4,173,164,9,7,0,1,0,1,0,0,0,0,152,0,0,Matches
29,Alek Álvarez,mx MEX,MF,Necaxa,22-033,2003,3.6,,,,,,,20,,,,,,,,,Matches
30,Antonio Álvarez,mx MEX,"FW,MF",América,21-130,2003,1.3,41,37,4,0,0,0,3,0,4,0,2,0,33,0,2,Matches
31,Daniel Álvarez,mx MEX,"MF,FW",Puebla,30-287,1994,5.9,174,161,12,1,1,0,23,11,0,0,0,0,109,1,9,Matches
32,Efrain Alvarez,mx MEX,"FW,MF",Tijuana,22-320,2002,24.9,1234,1120,109,31,6,16,105,35,42,11,11,0,951,5,33,Matches
33,Gael Álvarez,mx MEX,FW,Pachuca,19-057,2006,2.5,84,73,10,0,0,0,9,0,10,3,1,0,61,1,5,Matches
34,Jaime Alvarez,mx MEX,"FW,MF",FC Juárez,22-074,2003,0.5,4,4,0,0,0,0,1,0,0,0,0,0,3,0,0,Matches
