Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Rodrigo Abascal,uy URU,DF,Boavista,31-111,1994,25.9,1122,942,176,78,2,15,25,87,0,0,0,0,788,4,8,Matches
2,Nelson Abbey,eng ENG,DF,Rio Ave,21-250,2003,7.1,366,304,59,17,0,2,7,39,0,0,0,0,279,3,12,Matches
3,Bilal Abdelrahman Zeeni,eg EGY,MF,Estrela,22-104,2003,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
4,Giorgi Aburjania,ge GEO,MF,AVS Futebol,30-123,1995,3.4,138,129,8,7,0,2,2,0,1,1,0,0,115,1,2,Matches
5,Adriano,br BRA,MF,Santa Clara,25-182,1999,27.2,1133,1090,38,34,3,3,14,4,0,0,0,0,958,5,11,Matches
6,Lucas Áfrico,br BRA,DF,Farense,30-089,1995,18.5,695,641,51,40,0,14,2,8,0,0,0,0,553,3,12,Matches
7,Salvador Agra,pt POR,"MF,DF",Boavista,33-175,1991,27.7,917,734,174,56,2,6,147,62,56,42,9,0,622,9,26,Matches
8,Brandon Aguilera,cr CRC,"MF,FW",Rio Ave,21-311,2003,15.3,683,613,66,30,6,8,64,1,35,20,9,1,495,4,20,Matches
9,Jorge Aguirre,es ESP,FW,Gil Vicente FC,25-120,2000,14.6,286,259,26,1,1,5,5,0,0,0,0,0,201,1,7,Matches
10,Babatunde Akinsola,ng NGA,"MF,FW",AVS Futebol,22-056,2003,10.3,264,231,32,2,1,0,36,28,2,1,1,0,177,1,14,Matches
11,Kerem Aktürkoğlu,tr TUR,"FW,MF",Benfica,26-196,1998,20.7,633,576,51,6,4,5,49,20,15,3,10,0,445,6,26,Matches
12,Léo Alaba,br BRA,DF,AVS Futebol,25-308,1999,3.7,189,150,39,1,0,1,13,38,0,0,0,0,126,0,5,Matches
13,Alan,br BRA,MF,Moreirense,25-058,2000,25.9,1162,1025,131,72,3,7,75,5,39,16,18,1,933,6,31,Matches
14,Gonçalo Almeida,pt POR,"DF,MF",Boavista,21-364,2003,9.0,304,267,34,6,1,2,18,28,0,0,0,0,217,3,7,Matches
15,Pedro Álvaro,pt POR,DF,Estoril,25-064,2000,28.6,1289,1242,44,41,1,7,1,0,0,0,0,0,1099,3,11,Matches
16,Pedro Amaral,pt POR,"DF,MF",Estoril,27-253,1997,24.8,1189,976,210,26,0,8,65,184,0,0,0,0,911,3,30,Matches
17,Zeki Amdouni,ch SUI,"MF,FW",Benfica,24-152,2000,9.5,295,292,1,0,1,2,3,0,0,0,0,0,249,2,8,Matches
18,Artur Jorge Marques Amorim,pt POR,DF,Farense,30-264,1994,14.2,466,425,40,31,0,5,3,9,0,0,0,0,374,1,2,Matches
19,Andrew,br BRA,GK,Gil Vicente FC,23-308,2001,32.0,1205,856,346,76,0,7,0,0,0,0,0,0,938,3,2,Matches
20,Jeremy Antonisse,cw CUW,"FW,MF",Moreirense,23-037,2002,9.0,244,226,17,8,1,1,29,4,5,2,3,0,170,1,9,Matches
21,Arvin Appiah,eng ENG,"DF,FW",Nacional,24-120,2001,14.4,471,378,91,5,0,1,21,85,1,0,0,0,363,2,14,Matches
22,Óscar Aranda,es ESP,FW,Famalicão,23-006,2002,27.2,750,680,65,14,5,14,54,8,16,4,7,0,556,5,19,Matches
23,Henrique Araújo,pt POR,FW,Arouca,23-106,2002,10.6,181,165,14,1,1,0,4,0,0,0,0,0,126,2,7,Matches
24,Maximiliano Araújo,uy URU,"DF,MF",Sporting CP,25-079,2000,17.8,907,738,167,21,4,5,70,128,18,2,15,0,740,2,22,Matches
25,Tomás Araújo,pt POR,DF,Benfica,22-354,2002,24.1,1513,1375,137,36,2,19,17,94,0,0,0,0,1293,1,24,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
26,Telmo Arcanjo,cv CPV,FW,Vitória,23-318,2001,13.7,546,479,64,15,0,5,78,30,19,14,5,0,400,3,9,Matches
27,Gboly Ariyibi,us USA,"FW,MF",Boavista,30-107,1995,3.1,38,37,1,0,1,1,7,1,0,0,0,0,19,0,4,Matches
28,Henrique Arreiol,pt POR,MF,Sporting CP,19-318,2005,0.3,13,13,0,0,0,0,0,0,0,0,0,0,11,0,0,Matches
29,Bright Arrey-Mbi,de GER,DF,Braga,22-040,2003,12.6,882,868,13,12,0,1,0,1,0,0,0,0,822,1,2,Matches
30,Afonso Assis,pt POR,MF,Moreirense,18-294,2006,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
31,Gustavo Assuncao,pt POR,MF,AVS Futebol,25-036,2000,15.2,698,654,42,30,3,7,15,0,3,1,2,0,570,2,13,Matches
32,Otavio Ataide,br BRA,DF,Porto,23-014,2002,18.1,1404,1343,59,41,0,2,5,9,0,0,0,0,1236,2,17,Matches
33,João Aurélio,pt POR,"FW,DF",Nacional,36-261,1988,2.8,92,77,14,0,0,0,8,14,0,0,0,0,52,1,3,Matches
34,Fredrik Aursnes,no NOR,"MF,FW",Benfica,29-146,1995,25.1,1238,1184,47,10,5,12,45,27,10,4,6,0,1017,7,35,Matches
35,Felix Bacher,at AUT,DF,Estoril,24-192,2000,21.0,912,878,33,30,0,2,0,3,0,0,0,0,770,1,7,Matches
36,Miguel Baeza,es ESP,"MF,FW",Nacional,25-039,2000,2.3,61,50,11,5,2,0,9,0,6,2,3,0,39,0,4,Matches
37,Alexander Bah,dk DEN,DF,Benfica,27-147,1997,15.7,990,828,159,8,1,7,56,151,0,0,0,0,770,3,23,Matches
38,Adrian Bajrami,al ALB,DF,Benfica,23-030,2002,0.1,12,9,2,1,0,0,0,1,0,0,0,0,8,1,0,Matches
39,Theofanis Bakoulas,gr GRE,MF,Rio Ave,20-121,2005,2.3,76,75,1,1,1,1,0,0,0,0,0,0,57,0,2,Matches
40,Elves Baldé,gw GNB,"MF,FW",Farense,25-215,1999,11.6,267,230,36,6,0,3,53,18,11,4,7,0,166,1,17,Matches
41,Mohamed Bamba,ci CIV,MF,Gil Vicente FC,20-209,2004,8.6,416,402,13,12,2,4,4,1,0,0,0,0,343,1,3,Matches
42,Robson Bambu,br BRA,DF,Braga,27-174,1997,11.2,758,734,21,20,0,8,1,0,0,0,0,0,666,3,6,Matches
43,Chico Banza,ao ANG,FW,Estrela,26-139,1998,6.3,122,112,6,0,1,1,11,4,0,0,0,0,78,4,3,Matches
44,Simon Banza,cd COD,FW,Braga,28-265,1996,0.2,3,2,1,0,0,0,0,0,0,0,0,0,3,0,0,Matches
45,Rafael Barbosa,pt POR,"MF,FW",Farense,29-037,1996,4.0,157,122,33,13,2,0,29,1,11,6,4,0,107,2,9,Matches
46,Leandro Barreiro Martins,lu LUX,MF,Benfica,25-122,2000,12.5,563,546,16,9,1,0,7,7,0,0,0,0,487,1,13,Matches
47,Afonso Bastardo,pt POR,FW,Sporting CP,20-047,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
48,Gil Bastião Dias,pt POR,"FW,MF",Famalicão,28-219,1996,14.5,466,428,33,11,0,5,32,9,12,9,1,0,316,5,25,Matches
49,Gabriel Batista,br BRA,GK,Santa Clara,26-336,1998,32.0,981,630,347,85,0,3,0,0,0,0,0,0,604,4,0,Matches
50,Gilberto Batista,gw GNB,DF,Moreirense,21-127,2003,3.2,123,95,28,3,0,1,0,25,0,0,0,0,92,0,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
51,Ricardo Batista,pt POR,GK,Casa Pia,38-167,1986,1.0,35,30,4,1,0,0,0,0,0,0,0,0,31,1,0,Matches
52,Yanis Begraoui,ma MAR,"FW,MF",Estoril,23-305,2001,19.5,458,428,28,1,5,4,14,3,0,0,0,0,344,2,25,Matches
53,Gui Beleza,pt POR,MF,Gil Vicente FC,18-147,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
54,Bachir Belloumi,dz ALG,FW,Farense,22-338,2002,3.0,73,70,3,0,1,0,8,3,0,0,0,0,42,0,2,Matches
55,Andrea Belotti,it ITA,FW,Benfica,31-136,1993,4.5,88,79,9,0,2,0,2,0,0,0,0,0,67,0,5,Matches
56,Fahem Benaissa Yahia,fr FRA,"DF,MF",Casa Pia,23-006,2002,2.5,102,83,19,0,1,1,7,19,0,0,0,0,75,0,2,Matches
57,Beni,ao ANG,MF,Vitória,22-349,2002,0.5,40,36,4,4,0,0,0,0,0,0,0,0,37,0,0,Matches
