Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Liel Abada,il ISR,"FW,MF",Charlotte,23-214,2001,7.3,165,164,1,0,0,0,12,1,0,0,0,0,126,0,3,Matches
2,Luis Abram,pe PER,DF,Atlanta Utd,29-067,1996,6.8,369,361,8,4,0,4,3,4,0,0,0,0,324,0,0,Matches
3,Lalas Abubakar,gh GHA,DF,FC Dallas,30-131,1994,2.0,91,89,2,1,0,0,0,1,0,0,0,0,79,0,1,Matches
4,Kellyn Acosta,us USA,MF,Chicago Fire,29-285,1995,4.3,226,221,5,5,1,0,0,0,0,0,0,0,202,0,1,Matches
5,Luciano Acosta,ar ARG,MF,FC Dallas,30-339,1994,10.2,503,414,85,28,4,2,52,9,34,12,13,0,345,4,18,Matches
6,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-109,1995,1.9,153,142,10,0,0,0,4,10,0,0,0,0,134,1,1,Matches
7,Leonardo Afonso,br BRA,FW,Inter Miami,23-296,2001,0.8,15,14,1,0,0,0,0,0,0,0,0,0,11,0,0,Matches
8,Stephen Afrifa,ca CAN,"FW,MF",Sporting KC,24-075,2001,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
9,William Agada,ng NGA,FW,Sporting KC,25-230,1999,1.1,22,20,2,0,0,0,0,1,0,0,0,0,21,0,0,Matches
10,William Agada,ng NGA,FW,Real Salt Lake,25-230,1999,0.8,7,6,1,0,0,0,0,0,0,0,0,0,7,0,0,Matches
11,Patrick Agyemang,us USA,FW,Charlotte,24-179,2000,8.6,123,110,13,0,1,0,1,0,0,0,0,0,95,0,3,Matches
12,Ali Ahmed,ca CAN,FW,Vancouver W'caps,24-207,2000,5.9,287,278,9,2,1,0,19,7,0,0,0,0,233,0,18,Matches
13,Forster Ajago,gh GHA,FW,Real Salt Lake,23-262,2001,2.9,26,24,2,0,0,0,0,0,0,0,0,0,20,0,1,Matches
14,Jordi Alba,es ESP,DF,Inter Miami,36-045,1989,8.4,609,516,90,18,2,6,32,62,10,1,3,0,480,3,14,Matches
15,Noah Allen,us USA,DF,Inter Miami,21-007,2004,7.3,473,447,25,6,0,7,2,12,0,0,0,0,420,1,5,Matches
16,Tadeo Allende,ar ARG,"FW,MF",Inter Miami,26-074,1999,4.5,126,125,1,0,0,1,4,0,0,0,0,0,87,0,8,Matches
17,Miguel Almirón,py PAR,"FW,MF",Atlanta Utd,31-084,1994,9.9,404,383,18,7,2,4,15,3,7,5,0,0,322,3,13,Matches
18,Alejandro Alvarado Jr.,us USA,MF,San Diego FC,21-280,2003,2.1,152,146,5,5,1,0,0,0,0,0,0,0,135,1,2,Matches
19,Fernando Álvarez,co COL,DF,CF Montréal,21-254,2003,4.6,313,296,16,12,0,0,1,0,0,0,0,0,266,1,2,Matches
20,Pedro Amador,pt POR,DF,Atlanta Utd,26-138,1998,6.7,337,280,56,3,0,1,20,53,0,0,0,0,276,1,2,Matches
21,Frankie Amaya,us USA,MF,LAFC,24-221,2000,0.2,11,11,0,0,0,1,0,0,0,0,0,0,10,0,0,Matches
22,Malte Amundsen,dk DEN,DF,Columbus Crew,27-083,1998,7.2,496,443,51,26,1,2,0,25,0,0,0,0,428,2,7,Matches
23,Tomas Ángel,co COL,"FW,MF",San Diego FC,22-074,2003,3.3,85,77,6,1,2,0,2,0,0,0,0,0,67,2,2,Matches
24,Iván Angulo,co COL,"FW,MF",Orlando City,26-044,1999,9.4,302,290,11,1,1,1,11,10,0,0,0,0,243,1,6,Matches
25,Conner Antley,us USA,"DF,MF",D.C. United,30-044,1995,0.8,41,39,2,0,0,0,2,2,0,0,0,0,32,0,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
26,Antony,br BRA,"FW,MF",Portland Timbers,23-239,2001,9.9,349,335,13,1,1,0,11,12,0,0,0,0,265,1,15,Matches
27,Brian Anunga,cm CMR,MF,FC Cincinnati,28-268,1996,7.0,336,326,8,7,0,1,1,1,0,0,0,0,283,2,7,Matches
28,Chris Applewhite,us USA,DF,Nashville SC,17-255,2007,0.2,20,19,1,1,0,0,0,0,0,0,0,0,17,0,1,Matches
29,Cristian Arango,co COL,"MF,FW",SJ Earthquakes,30-057,1995,10.8,293,278,12,5,6,2,15,2,0,0,0,0,205,3,17,Matches
30,César Araujo,uy URU,MF,Orlando City,24-033,2001,6.0,311,301,10,7,0,6,0,3,0,0,0,0,292,0,3,Matches
31,Maximilian Arfsten,us USA,"MF,DF",Columbus Crew,24-016,2001,10.0,483,456,25,6,1,1,21,19,0,0,0,0,408,2,15,Matches
32,Daniel Armando Ríos,mx MEX,FW,Vancouver W'caps,30-072,1995,4.6,96,92,3,0,0,0,1,0,0,0,0,0,76,1,3,Matches
33,Paul Arriola,us USA,"FW,DF",Seattle Sounders,30-089,1995,0.8,41,39,2,0,0,0,5,2,0,0,0,0,29,0,2,Matches
34,Artur,br BRA,MF,Houston Dynamo,29-055,1996,11.0,685,649,35,32,1,3,3,2,0,0,0,0,616,1,8,Matches
35,Joshua Atencio,us USA,MF,Colorado Rapids,23-094,2002,8.4,461,426,32,12,2,4,4,3,0,0,0,0,374,3,6,Matches
36,Eduard Atuesta,co COL,MF,Orlando City,27-321,1997,6.8,384,364,17,13,4,5,9,0,4,1,3,0,313,3,6,Matches
37,Julián Aude,ar ARG,DF,LA Galaxy,22-042,2003,5.6,402,359,43,14,0,1,8,29,0,0,0,0,354,0,4,Matches
38,Tomás Avilés,ar ARG,"DF,MF",Inter Miami,21-091,2004,4.6,282,275,7,5,1,3,1,0,0,0,0,0,261,0,1,Matches
