Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Lucas Abascia,ar ARG,DF,Cen. Córdoba–SdE,29-146,1995,5.8,249,317,78.5,5335,1982,67,77,87.0,143,155,92.3,38,80,47.5,0,0.0,0.1,0.0,1,15,2,0,23,Matches
2,Luciano Abecasis,ar ARG,DF,Ind. Rivadavia,34-335,1990,1.0,37,52,71.2,587,266,23,24,95.8,11,17,64.7,3,11,27.3,1,0.2,0.2,+0.8,1,2,2,0,3,Matches
3,Ramón Ábila,ar ARG,FW,Huracán,35-203,1989,1.7,25,41,61.0,401,94,15,25,60.0,6,8,75.0,2,2,100.0,0,0.2,0.1,-0.2,3,1,1,0,4,Matches
4,Ignacio Abraham,sy SYR,DF,Banfield,27-113,1998,4.1,96,145,66.2,1672,927,42,53,79.2,40,55,72.7,10,26,38.5,0,0.1,0.2,-0.1,2,10,3,3,13,Matches
5,Gonzalo Abrego,ar ARG,MF,Godoy Cruz,25-118,2000,9.3,317,458,69.2,6414,2344,135,174,77.6,121,167,72.5,55,92,59.8,0,1.1,1.0,-1.1,20,46,13,5,59,Matches
6,Jonás Acevedo,ar ARG,"MF,FW",Instituto,28-088,1997,7.1,154,230,67.0,2602,872,78,92,84.8,57,78,73.1,14,35,40.0,0,0.9,0.8,-0.9,6,22,7,2,28,Matches
7,Juan Achetoni,ar ARG,FW,Aldosivi,20-055,2005,0.0,1,3,33.3,15,0,1,1,100.0,0,2,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
8,Guillermo Acosta,ar ARG,MF,Atlé Tucumán,36-186,1988,9.9,367,466,78.8,6756,2614,149,175,85.1,166,202,82.2,45,68,66.2,1,0.9,0.6,+0.1,5,44,8,1,61,Matches
9,Lautaro Acosta,ar ARG,FW,Lanús,37-052,1988,0.2,9,10,90.0,114,8,6,6,100.0,3,4,75.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches
10,Lucas Acosta,ar ARG,"FW,DF",San Martín de San Juan,19-351,2005,0.1,4,8,50.0,60,14,3,3,100.0,0,3,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,1,0,1,Matches
11,Lucas Acosta,ar ARG,GK,Sarmiento,30-054,1995,16.0,298,467,63.8,9840,7444,35,35,100.0,124,125,99.2,139,303,45.9,0,0.1,0.0,-0.1,1,13,1,0,1,Matches
12,Marcos Acuña,ar ARG,DF,River Plate,33-189,1991,11.2,577,756,76.3,10557,4193,262,288,91.0,232,295,78.6,73,138,52.9,1,1.5,2.0,-0.5,26,50,21,13,65,Matches
13,Valentino Acuña,ar ARG,"FW,DF",Newell's OB,19-098,2006,1.1,15,22,68.2,173,62,7,10,70.0,5,7,71.4,0,0,,0,0.0,0.0,0.0,0,3,0,0,2,Matches
14,Tomás Adoryán,ar ARG,MF,Banfield,23-225,2001,5.3,166,219,75.8,2850,867,78,91,85.7,66,79,83.5,14,33,42.4,0,0.2,0.2,-0.2,3,26,3,0,29,Matches
15,Luis Advíncula,pe PER,DF,Boca Juniors,35-064,1990,8.3,354,420,84.3,5973,1896,180,193,93.3,138,165,83.6,30,48,62.5,1,0.7,0.3,+0.3,7,18,5,3,30,Matches
16,Alan Aguerre,ar ARG,GK,Cen. Córdoba–SdE,34-255,1990,14.0,182,306,59.5,5268,3925,33,34,97.1,81,81,100.0,66,186,35.5,0,0.0,0.0,0.0,0,6,0,0,0,Matches
17,Emanuel Aguilera,ar ARG,DF,Defensa y Just,35-328,1989,11.1,470,548,85.8,9872,3869,131,150,87.3,265,283,93.6,71,104,68.3,0,0.0,0.1,0.0,0,38,0,0,38,Matches
18,Brian Aguirre,ar ARG,FW,Boca Juniors,21-338,2003,1.3,32,44,72.7,507,105,20,27,74.1,7,9,77.8,4,5,80.0,0,0.0,0.1,0.0,0,0,4,2,4,Matches
19,Manuel Agustín Duarte,ar ARG,"MF,FW",Barracas Central,23-255,2001,4.3,112,136,82.4,1905,538,51,62,82.3,44,48,91.7,11,15,73.3,0,0.4,0.4,-0.4,6,11,6,3,13,Matches
20,Gabriel Alanís,ar ARG,FW,Huracán,31-050,1994,10.3,123,175,70.3,1788,355,78,86,90.7,42,61,68.9,2,12,16.7,0,1.3,0.7,-1.3,8,4,7,5,7,Matches
21,Agustín Alaniz,uy URU,"FW,MF",Banfield,22-354,2002,11.1,172,253,68.0,2369,670,100,126,79.4,53,73,72.6,7,27,25.9,2,1.9,1.8,+0.1,8,13,5,1,23,Matches
22,Fernando Alarcón,ar ARG,DF,Instituto,30-323,1994,16.0,457,601,76.0,9287,4358,138,160,86.3,253,283,89.4,60,134,44.8,1,0.2,0.1,+0.8,4,33,0,0,35,Matches
23,William Alarcón,cl CHI,MF,Boca Juniors,24-166,2000,4.9,188,227,82.8,3500,1049,76,85,89.4,84,95,88.4,25,37,67.6,0,0.3,0.5,-0.3,8,20,3,1,31,Matches
24,Lucas Alario,ar ARG,FW,Estudiantes–LP,32-209,1992,6.7,99,130,76.2,1309,143,63,80,78.8,32,39,82.1,1,3,33.3,0,1.0,0.4,-1.0,11,2,3,0,6,Matches
25,Franco Alfonso,ar ARG,"FW,MF",Cen. Córdoba–SdE,23-001,2002,2.2,58,82,70.7,1013,262,30,37,81.1,19,24,79.2,9,13,69.2,0,0.1,0.1,-0.1,3,5,4,2,11,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Rodrigo Aliendro,ar ARG,MF,River Plate,34-078,1991,5.4,226,285,79.3,3685,1163,119,144,82.6,82,97,84.5,18,25,72.0,0,0.8,0.6,-0.8,7,37,6,1,44,Matches
27,Agustín Almendra,ar ARG,MF,Racing Club,25-083,2000,9.2,278,369,75.3,5435,1747,110,132,83.3,116,147,78.9,45,75,60.0,0,0.7,0.6,-0.7,7,62,13,1,63,Matches
28,Antony Alonso,ar ARG,"MF,FW",Deportivo Riestra,26-359,1998,6.3,47,89,52.8,654,319,33,49,67.3,10,22,45.5,3,6,50.0,1,0.7,0.6,+0.3,7,5,2,1,6,Matches
29,Facundo Altamira,,"FW,MF",Godoy Cruz,,,5.8,82,114,71.9,1090,203,58,68,85.3,19,30,63.3,3,8,37.5,0,0.2,0.1,-0.2,5,4,1,1,7,Matches
30,Pablo Altamirano,ar ARG,MF,Newell's OB,20-095,2005,0.2,9,13,69.2,118,22,6,7,85.7,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
31,Francisco Álvarez,ar ARG,DF,Arg Juniors,25-068,2000,15.9,840,956,87.9,16800,6068,255,286,89.2,474,507,93.5,103,143,72.0,2,0.1,0.3,+1.9,3,62,3,1,65,Matches
32,Franco Amarfil,ar ARG,MF,Ind. Rivadavia,24-055,2001,14.5,457,560,81.6,9096,2958,178,207,86.0,192,221,86.9,79,104,76.0,1,0.3,0.5,+0.7,9,60,4,1,70,Matches
33,Fabricio Amato,ar ARG,MF,Ind. Rivadavia,20-335,2004,0.3,4,7,57.1,86,71,1,2,50.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
34,Santino Andino,ar ARG,"MF,FW",Godoy Cruz,19-192,2005,7.0,71,130,54.6,1106,448,37,58,63.8,26,43,60.5,5,11,45.5,0,0.4,0.5,-0.4,4,8,8,2,14,Matches
35,Isaías Andrada,ar ARG,"DF,MF",Vélez Sarsfield,22-082,2003,1.8,90,108,83.3,1443,441,44,51,86.3,39,41,95.1,3,5,60.0,1,0.2,0.2,+0.8,2,7,4,1,12,Matches
36,Juan Andrada,ar ARG,MF,Sarmiento,30-121,1995,1.1,49,60,81.7,1000,256,16,17,94.1,25,31,80.6,7,9,77.8,0,0.0,0.0,0.0,0,9,1,0,9,Matches
37,Álvaro Angulo,co COL,DF,Independiente,27-336,1997,8.7,312,430,72.6,5350,2463,151,176,85.8,130,179,72.6,26,53,49.1,0,0.4,0.6,-0.4,7,29,8,2,49,Matches
38,Luis Angulo,co COL,"FW,MF",Cen. Córdoba–SdE,21-043,2004,11.0,190,285,66.7,2858,801,110,151,72.8,64,87,73.6,11,25,44.0,4,2.8,2.7,+1.2,16,10,14,4,23,Matches
39,Federico Anselmo,ar ARG,FW,San Martín de San Juan,31-018,1994,8.9,57,118,48.3,860,278,23,54,42.6,25,41,61.0,2,4,50.0,0,0.4,0.3,-0.4,5,5,4,2,12,Matches
40,Mateo Antoni,uy URU,MF,Arg Juniors,22-013,2003,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
