Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Abner,br BRA,DF,Juventude,21-016,2004,5.5,213,251,84.9,4230,1562,63,68,92.6,127,135,94.1,22,45,48.9,1,0.2,0.1,+0.8,1,5,1,0,4,Matches
2,Nicolás Acevedo,uy URU,MF,Bahia,26-021,1999,1.7,120,137,87.6,1676,587,74,78,94.9,37,45,82.2,4,6,66.7,0,0.0,0.1,0.0,0,11,1,0,13,Matches
3,Adson,br BRA,"FW,MF",Vasco da Gama,24-211,2000,1.5,76,92,82.6,935,191,47,54,87.0,16,22,72.7,3,3,100.0,0,0.1,0.2,-0.1,2,6,2,1,7,Matches
4,Braian Aguirre,ar ARG,DF,Internacional,24-281,2000,5.9,217,287,75.6,4191,1367,87,98,88.8,93,116,80.2,36,61,59.0,0,0.1,0.2,-0.1,2,20,4,2,21,Matches
5,Carlos Alberto,br BRA,"FW,DF",Sport Recife,23-021,2002,2.2,31,42,73.8,504,214,14,19,73.7,10,11,90.9,3,5,60.0,0,0.1,0.0,-0.1,2,2,0,0,8,Matches
6,Yuri Alberto,br BRA,FW,Corinthians,24-048,2001,6.5,88,112,78.6,1214,236,52,62,83.9,27,34,79.4,4,4,100.0,1,0.8,0.2,+0.2,6,6,3,0,9,Matches
7,José Aldo,br BRA,MF,Mirassol,26-284,1998,2.9,127,157,80.9,2221,734,59,72,81.9,48,59,81.4,15,16,93.8,0,0.1,0.3,-0.1,3,11,2,0,24,Matches
8,Caio Alexandre,br BRA,MF,Bahia,26-070,1999,4.9,300,334,89.8,4846,1104,150,164,91.5,123,130,94.6,19,24,79.2,0,0.1,0.1,-0.1,3,25,3,0,24,Matches
9,Matheus Alexandre,br BRA,DF,Sport Recife,26-028,1999,1.5,43,59,72.9,716,302,18,21,85.7,23,29,79.3,1,4,25.0,0,0.0,0.0,0.0,0,4,0,0,6,Matches
10,Alisson,br BRA,MF,São Paulo,31-314,1993,6.3,351,385,91.2,6645,1632,131,139,94.2,170,183,92.9,44,50,88.0,0,0.1,0.2,-0.1,3,30,3,0,39,Matches
11,Allan,br BRA,MF,Flamengo,28-063,1997,1.2,93,95,97.9,1686,371,46,46,100.0,36,36,100.0,11,13,84.6,0,0.0,0.1,0.0,0,13,2,0,9,Matches
12,Allan,br BRA,MF,Palmeiras,21-016,2004,0.7,17,22,77.3,226,59,11,14,78.6,4,4,100.0,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,2,Matches
13,Allan,br BRA,MF,Botafogo (RJ),34-117,1991,0.1,4,4,100.0,76,10,2,2,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
14,Allanzinho,br BRA,"MF,FW",Fortaleza,25-031,2000,1.2,18,28,64.3,277,76,11,16,68.8,3,5,60.0,3,5,60.0,1,0.3,0.2,+0.7,2,0,1,1,1,Matches
15,Júnior Alonso,py PAR,DF,Atlético Mineiro,32-085,1993,5.7,374,426,87.8,7344,3038,120,128,93.8,212,232,91.4,40,56,71.4,0,0.1,0.2,-0.1,2,42,2,1,37,Matches
16,Matheus Alves,br BRA,"MF,FW",São Paulo,20-061,2005,3.2,70,93,75.3,1021,180,41,48,85.4,20,27,74.1,5,11,45.5,1,0.7,0.3,+0.3,2,7,2,0,11,Matches
17,Francis Amuzu,be BEL,FW,Grêmio,25-255,1999,3.1,83,110,75.5,1394,305,43,52,82.7,31,37,83.8,8,15,53.3,0,0.5,0.5,-0.5,5,6,5,3,11,Matches
18,Felipe Anderson,br BRA,"DF,MF",Palmeiras,32-020,1993,4.6,156,189,82.5,2371,825,88,93,94.6,56,66,84.8,6,14,42.9,0,0.2,0.1,-0.2,3,13,5,1,15,Matches
19,Kervin Andrade,ve VEN,"FW,MF",Fortaleza,20-022,2005,0.7,14,28,50.0,211,50,10,15,66.7,2,10,20.0,2,3,66.7,0,0.0,0.0,0.0,0,2,1,0,3,Matches
20,José Andrés Martínez,ve VEN,MF,Corinthians,30-271,1994,2.4,93,109,85.3,1803,581,39,45,86.7,42,45,93.3,10,15,66.7,0,0.0,0.1,0.0,2,14,2,2,14,Matches
21,Wilker Ángel,ve VEN,DF,Juventude,32-048,1993,1.0,28,39,71.8,631,169,4,6,66.7,21,25,84.0,3,8,37.5,0,0.0,0.0,0.0,0,0,0,0,1,Matches
22,Fabrizio Angileri,ar ARG,DF,Corinthians,31-051,1994,3.3,168,206,81.6,2968,1137,75,82,91.5,73,86,84.9,19,27,70.4,0,0.1,0.1,-0.1,2,13,1,1,19,Matches
23,Anthoni,br BRA,GK,Internacional,23-102,2002,6.5,104,146,71.2,2533,1825,36,36,100.0,34,35,97.1,30,71,42.3,0,0.0,0.0,0.0,0,1,0,0,0,Matches
24,Marcos Antônio,br BRA,MF,São Paulo,24-326,2000,4.9,176,202,87.1,2922,620,76,84,90.5,85,89,95.5,9,13,69.2,0,0.1,0.2,-0.1,3,18,4,0,21,Matches
25,Guilherme Arana,br BRA,DF,Atlético Mineiro,28-021,1997,2.8,175,201,87.1,2831,829,98,101,97.0,65,78,83.3,11,15,73.3,0,1.0,1.1,-1.0,5,14,7,4,23,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
