Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Liel Abada,il ISR,"FW,MF",Charlotte,23-214,2001,7.3,126,165,76.4,1765,536,70,85,82.4,43,57,75.4,6,11,54.5,0,0.9,0.9,-0.9,10,10,7,1,21,Matches
2,Luis Abram,pe PER,DF,Atlanta Utd,29-067,1996,6.8,324,369,87.8,6206,2381,111,119,93.3,178,189,94.2,30,55,54.5,0,0.0,0.2,0.0,0,30,3,1,24,Matches
3,Lalas Abubakar,gh GHA,DF,FC Dallas,30-131,1994,2.0,79,91,86.8,1472,555,27,28,96.4,44,49,89.8,7,10,70.0,0,0.0,0.0,0.0,0,9,2,0,10,Matches
4,Kellyn Acosta,us USA,MF,Chicago Fire,29-285,1995,4.3,202,226,89.4,2962,756,118,130,90.8,71,74,95.9,8,12,66.7,0,0.4,0.1,-0.4,2,18,2,0,18,Matches
5,Luciano Acosta,ar ARG,MF,FC Dallas,30-339,1994,10.2,345,503,68.6,5681,2411,177,212,83.5,119,161,73.9,35,79,44.3,0,1.9,3.0,-1.9,25,54,21,1,67,Matches
6,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-109,1995,1.9,134,153,87.6,2013,610,81,86,94.2,49,59,83.1,4,4,100.0,0,0.3,0.2,-0.3,2,11,2,0,9,Matches
7,Leonardo Afonso,br BRA,FW,Inter Miami,23-296,2001,0.8,11,15,73.3,151,8,5,7,71.4,3,5,60.0,1,1,100.0,0,0.0,0.0,0.0,0,0,1,0,1,Matches
8,Stephen Afrifa,ca CAN,"FW,MF",Sporting KC,24-075,2001,0.1,2,4,50.0,21,0,1,3,33.3,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
9,William Agada,ng NGA,FW,Sporting KC,25-230,1999,1.1,21,22,95.5,306,45,13,13,100.0,6,6,100.0,2,3,66.7,0,0.2,0.4,-0.2,2,0,1,0,2,Matches
