Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Lucas Abascia,ar ARG,DF,Cen. Córdoba–SdE,29-146,1995,8,523,65,36.3,5.8,5,78,3,3,45,6,0.63,5,11,-6,-1.03,-1.52,9.2,9.0,+0.3,+0.05,-0.21,Matches
2,Luciano Abecasis,ar ARG,DF,Ind. Rivadavia,34-335,1990,1,90,90,6.3,1.0,1,90,1,0,,6,0.00,1,4,-3,-3.00,-3.40,1.8,2.6,-0.8,-0.79,-0.55,Matches
3,Ramón Ábila,ar ARG,FW,Huracán,35-203,1989,8,151,19,10.5,1.7,0,,0,8,19,7,1.25,1,2,-1,-0.60,-1.15,2.7,2.4,+0.2,+0.13,-0.11,Matches
4,Ignacio Abraham,sy SYR,DF,Banfield,27-113,1998,5,371,74,25.8,4.1,4,90,4,1,11,11,1.60,6,5,+1,+0.24,+0.75,5.0,4.5,+0.6,+0.14,+0.79,Matches
5,Gonzalo Abrego,ar ARG,MF,Godoy Cruz,25-118,2000,14,840,60,58.3,9.3,9,80,6,5,23,2,1.14,6,13,-7,-0.75,-0.30,7.3,11.2,-4.0,-0.40,+0.11,Matches
6,Jonás Acevedo,ar ARG,"MF,FW",Instituto,28-088,1997,11,640,58,44.4,7.1,7,77,3,4,26,1,1.00,4,9,-5,-0.70,-0.82,7.3,8.1,-0.8,-0.11,+0.03,Matches
7,Juan Achetoni,ar ARG,FW,Aldosivi,20-055,2005,1,3,3,0.2,0.0,0,,0,1,3,8,3.00,1,0,+1,+30.00,+30.69,0.2,0.3,0.0,-1.02,-0.79,Matches
8,Benjamin Acosta,ar ARG,FW,Lanús,19-085,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
9,Fabricio Acosta,ar ARG,DF,Lanús,21-062,2004,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
