Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25-120,2000,3,86,29,2.7,1.0,1,61,0,2,13,11,0.67,2,0,+2,+2.09,+1.77,2.3,0.3,+2.0,+2.12,+1.74,Matches
2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,25-120,2000,2,104,52,3.4,1.2,1,73,0,1,31,13,1.50,1,3,-2,-1.73,-1.46,1.3,3.4,-2.0,-1.76,-1.55,Matches
3,Álvaro Abajas,es ESP,GK,Leganés,es La Liga,21-357,2003,0,,,,,0,,0,0,,28,,,,,,,,,,,,Matches
4,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21-357,2003,1,65,65,2.1,0.7,1,65,0,0,,8,0.00,1,2,-1,-1.38,-1.08,1.4,0.7,+0.7,+0.93,+1.22,Matches
5,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21-108,2004,6,88,15,2.8,1.0,0,,0,6,15,12,1.67,2,0,+2,+2.05,+2.43,0.6,1.5,-0.9,-0.91,-0.58,Matches
6,Zach Abbott,eng ENG,DF,Nott'ham Forest,eng Premier League,18-356,2006,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
7,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,19-029,2006,1,3,3,0.1,0.0,0,,0,1,3,7,3.00,0,0,0,0.00,-0.74,0.0,0.0,0.0,-0.49,-0.92,Matches
8,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-218,1987,14,981,70,34.1,10.9,11,85,9,3,15,16,0.60,4,31,-27,-2.48,-1.81,8.0,26.3,-18.3,-1.68,-0.90,Matches
9,Jones El-Abdellaoui,no NOR,FW,Celta Vigo,es La Liga,19-112,2006,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
10,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25-168,1999,29,2577,89,92.4,28.6,29,89,23,0,,0,0.93,25,47,-22,-0.77,-1.19,28.5,49.0,-20.4,-0.71,-1.47,Matches
11,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,26-092,1999,12,855,71,29.7,9.5,10,83,8,2,12,12,1.92,15,14,+1,+0.11,-0.78,16.5,11.5,+5.0,+0.53,-0.05,Matches
12,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-135,1993,23,1342,58,46.6,14.9,16,79,6,7,10,1,1.83,25,15,+10,+0.67,+0.03,24.3,17.2,+7.2,+0.48,-0.16,Matches
13,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25-290,1999,4,205,51,6.7,2.3,2,62,0,2,41,23,1.50,4,1,+3,+1.32,+0.88,3.6,1.5,+2.1,+0.92,+0.58,Matches
14,Abel,es ESP,DF,Osasuna,es La Liga,24-256,2000,32,2019,63,66.0,22.4,20,86,13,12,26,2,1.38,27,35,-8,-0.36,-0.36,24.1,33.4,-9.3,-0.41,-0.31,Matches
15,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,22-254,2002,7,263,38,8.6,2.9,4,63,1,3,4,7,1.14,1,2,-1,-0.34,-0.37,1.8,1.6,+0.2,+0.07,+0.29,Matches
16,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28-328,1996,1,7,7,0.2,0.1,0,,0,1,7,0,0.00,0,0,0,0.00,+0.09,0.0,0.0,0.0,-0.61,-0.68,Matches
17,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,22-037,2003,31,2498,81,89.5,27.8,30,83,9,1,23,0,1.03,30,40,-10,-0.36,+1.18,30.9,44.8,-14.0,-0.50,+0.68,Matches
18,Abner,br BRA,DF,Lyon,fr Ligue 1,24-342,2000,18,1089,61,39.0,12.1,12,83,6,6,16,11,1.78,18,15,+3,+0.25,-0.65,21.2,15.5,+5.7,+0.47,+0.16,Matches
19,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,25-075,2000,24,1848,77,64.2,20.5,22,82,9,2,24,0,1.25,22,22,0,0.00,0.00,27.6,22.5,+5.1,+0.25,-0.19,Matches
20,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,26-055,1999,29,2463,85,80.5,27.4,29,85,24,0,,0,1.03,30,41,-11,-0.40,-0.40,32.0,33.4,-1.4,-0.05,+0.39,Matches
21,Tammy Abraham,eng ENG,FW,Roma,it Serie A,27-214,1997,1,1,1,0.0,0.0,0,,0,1,1,1,1.00,0,0,0,0.00,-0.50,0.0,0.1,0.0,-3.09,-3.47,Matches
22,Tammy Abraham,eng ENG,FW,Milan,it Serie A,27-214,1997,28,1183,42,38.7,13.1,12,70,2,16,22,3,1.75,27,14,+13,+0.99,+0.89,24.1,12.8,+11.3,+0.86,+0.47,Matches
23,Vicent Abril Sanz,es ESP,GK,Valencia,es La Liga,20-078,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
24,Mathieu Acapandié,mg MAD,DF,Nantes,fr Ligue 1,20-141,2004,0,,,,,0,,0,0,,14,,,,,,,,,,,,Matches
25,Federico Accornero,it ITA,MF,Genoa,it Serie A,21-088,2004,1,5,5,0.2,0.1,0,,0,1,5,11,0.00,0,0,0,0.00,+0.35,0.0,0.0,0.0,+0.71,+0.95,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
26,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-083,1988,20,1577,79,50.1,17.5,19,83,17,1,7,7,2.00,29,19,+10,+0.57,-1.15,28.8,20.3,+8.5,+0.49,-0.76,Matches
27,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,21-282,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
28,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18-364,2006,4,170,43,5.6,1.9,2,80,1,2,5,15,2.00,2,3,-1,-0.53,-1.15,3.6,2.1,+1.5,+0.82,+0.28,Matches
29,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-095,2000,4,134,34,4.5,1.5,1,90,1,3,15,0,0.25,1,3,-2,-1.34,-1.12,1.0,2.0,-1.0,-0.71,-0.49,Matches
30,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,25-095,2000,15,1075,72,38.5,11.9,13,79,7,2,22,1,0.53,12,29,-17,-1.42,+0.15,12.8,23.6,-10.8,-0.90,-0.08,Matches
