Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Abner,br BRA,DF,Juventude,21-016,2004,6,495,83,91.7,5.5,5,90,5,1,45,0,1.17,6,12,-6,-1.09,+0.91,4.8,9.5,-4.6,-0.84,+0.48,Matches
2,Nicolás Acevedo,uy URU,MF,Bahia,26-021,1999,4,150,38,23.8,1.7,1,90,1,3,20,3,2.50,2,1,+1,+0.60,+0.79,2.4,2.7,-0.3,-0.20,-0.41,Matches
3,Adson,br BRA,"FW,MF",Vasco da Gama,24-211,2000,5,136,27,21.6,1.5,0,,0,5,27,0,1.20,3,2,+1,+0.66,+1.39,2.2,1.6,+0.6,+0.41,+1.25,Matches
4,Braian Aguirre,ar ARG,DF,Internacional,24-281,2000,6,528,88,83.8,5.9,6,88,5,0,,1,1.00,7,7,0,0.00,-1.76,6.7,8.3,-1.7,-0.28,-1.45,Matches
5,Carlos Alberto,br BRA,"FW,DF",Sport Recife,23-021,2002,6,197,33,31.3,2.2,2,63,0,4,18,0,0.33,1,4,-3,-1.37,-0.75,2.4,4.1,-1.7,-0.78,+0.23,Matches
6,Yuri Alberto,br BRA,FW,Corinthians,24-048,2001,7,583,83,92.5,6.5,7,83,4,0,,0,1.43,8,12,-4,-0.62,-4.45,8.3,7.3,+1.0,+0.15,+0.68,Matches
7,José Aldo,br BRA,MF,Mirassol,26-284,1998,5,261,52,48.3,2.9,3,77,1,2,15,1,0.80,3,4,-1,-0.34,-1.31,3.6,4.0,-0.4,-0.13,-0.95,Matches
8,Caio Alexandre,br BRA,MF,Bahia,26-070,1999,6,440,73,69.8,4.9,6,73,1,0,,1,1.50,4,5,-1,-0.20,-0.68,5.6,5.5,+0.1,+0.03,-0.29,Matches
9,Matheus Alexandre,br BRA,DF,Sport Recife,26-028,1999,3,132,44,21.0,1.5,1,61,0,2,36,3,0.33,1,3,-2,-1.36,-0.64,0.8,3.5,-2.7,-1.84,-1.14,Matches
10,Alisson,br BRA,MF,São Paulo,31-314,1993,7,568,81,90.2,6.3,7,81,4,0,,0,1.29,5,4,+1,+0.16,+0.16,8.4,6.4,+2.0,+0.31,+1.23,Matches
11,Allan,br BRA,MF,Flamengo,28-063,1997,4,106,27,16.8,1.2,1,90,1,3,5,3,2.50,6,0,+6,+5.09,+4.06,3.6,0.2,+3.4,+2.89,+1.95,Matches
12,Allan,br BRA,MF,Palmeiras,21-016,2004,3,60,20,9.5,0.7,0,,0,3,20,4,3.00,1,0,+1,+1.50,+0.87,0.9,1.6,-0.6,-0.92,-1.65,Matches
13,Allan,br BRA,MF,Botafogo (RJ),34-117,1991,1,5,5,0.8,0.1,0,,0,1,5,4,3.00,1,0,+1,+18.00,+18.00,0.1,0.0,+0.1,+1.26,+1.33,Matches
14,Allanzinho,br BRA,"MF,FW",Fortaleza,25-031,2000,3,111,37,17.6,1.2,1,80,0,2,16,4,0.67,1,3,-2,-1.62,-1.97,0.6,2.5,-1.9,-1.58,-1.63,Matches
15,Júnior Alonso,py PAR,DF,Atlético Mineiro,32-085,1993,6,514,86,95.2,5.7,6,86,3,0,,0,1.00,5,7,-2,-0.35,-0.35,7.7,5.5,+2.2,+0.39,-2.47,Matches
16,Matheus Alves,br BRA,"MF,FW",São Paulo,20-061,2005,6,292,49,46.3,3.2,3,68,0,3,29,0,1.33,5,3,+2,+0.62,+0.88,4.8,3.8,+1.0,+0.31,+0.22,Matches
17,Francis Amuzu,be BEL,FW,Grêmio,25-255,1999,4,275,69,43.7,3.1,3,82,0,1,30,0,0.75,3,6,-3,-0.98,-0.47,2.2,4.9,-2.7,-0.90,-0.49,Matches
