Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Brenden Aaronson,us USA,MF,Leeds United,24-194,2000,46,3551,77,85.8,39.5,43,81,18,3,19,0,2.17,78,26,+52,+1.32,-0.67,73.5,26.3,+47.2,+1.20,-0.69,Matches
2,Thelo Aasgaard,no NOR,"MF,FW",Luton Town,23-002,2002,17,1513,89,36.5,16.8,17,89,14,0,,0,1.35,16,21,-5,-0.30,+0.35,16.8,20.2,-3.4,-0.20,-0.11,Matches
3,James Abankwah,ie IRL,DF,Watford,21-108,2004,19,1384,73,33.4,15.4,17,79,7,2,19,0,0.95,15,19,-4,-0.26,-0.13,15.8,19.9,-4.2,-0.27,-0.04,Matches
4,Nelson Abbey,eng ENG,DF,Swansea City,21-249,2003,0,,,,,0,,0,0,,18,,,,,,,,,,,,Matches
5,Salis Abdul Samed,gh GHA,MF,Sunderland,25-039,2000,10,283,28,6.8,3.1,3,61,0,7,14,4,1.10,3,7,-4,-1.27,-1.69,3.7,3.8,-0.1,-0.03,-0.24,Matches
6,Azeem Abdulai,sct SCO,"FW,MF",Swansea City,22-146,2002,17,348,20,8.4,3.9,2,65,0,15,15,9,1.47,4,4,0,0.00,+0.12,5.2,5.4,-0.2,-0.06,-0.04,Matches
7,Ken Aboh,eng ENG,FW,Norwich City,20-176,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
8,Ebou Adams,gm GAM,MF,Derby County,29-109,1996,44,3789,86,91.5,42.1,42,89,38,2,24,0,1.14,45,50,-5,-0.12,+0.65,43.0,43.6,-0.6,-0.01,+0.64,Matches
9,Elijah Adebayo,eng ENG,FW,Luton Town,27-117,1998,39,2425,62,58.6,26.9,31,73,10,8,20,1,0.97,27,44,-17,-0.63,-0.26,32.5,29.3,+3.2,+0.12,+0.61,Matches
10,Michael Adu-Poku,eng ENG,FW,Watford,19-224,2005,1,1,1,0.0,0.0,0,,0,1,1,2,0.00,0,0,0,0.00,+0.17,0.0,0.0,0.0,0.00,+0.24,Matches
11,Charles Agbawodikeizu,,FW,Derby County,,,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
12,Enock Agyei,be BEL,"FW,MF",Burnley,20-111,2005,3,58,19,1.4,0.6,0,,0,3,19,8,1.67,2,0,+2,+3.10,+1.98,1.5,0.3,+1.3,+1.98,+1.60,Matches
13,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,26-039,1999,38,3136,83,75.7,34.8,35,89,33,3,11,0,1.89,46,30,+16,+0.46,-0.53,45.9,35.9,+10.0,+0.29,-0.24,Matches
14,Semi Ajayi,ng NGA,DF,West Brom,31-176,1993,15,1228,82,29.7,13.6,14,85,11,1,38,2,1.80,16,9,+7,+0.51,+0.42,18.8,11.1,+7.8,+0.57,+0.47,Matches
15,Travis Akomeah,eng ENG,DF,Watford,18-337,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
16,Milan Aleksić,rs SRB,"MF,FW",Sunderland,19-247,2005,8,290,36,7.0,3.2,3,66,0,5,18,34,1.13,1,2,-1,-0.31,-0.66,4.2,2.6,+1.5,+0.48,+0.31,Matches
17,Ajibola Alese,eng ENG,DF,Sunderland,24-107,2001,12,703,59,17.0,7.8,8,79,5,4,17,2,2.00,12,6,+6,+0.77,+0.56,11.8,6.0,+5.8,+0.74,+0.66,Matches
18,Cruz Allen,wls WAL,MF,Derby County,18-068,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
19,Jamie Allen,eng ENG,MF,Coventry City,30-095,1995,21,1004,48,24.3,11.2,12,76,6,9,10,16,1.71,16,14,+2,+0.18,+0.06,16.2,12.9,+3.3,+0.29,-0.05,Matches
20,Joe Allen,wls WAL,MF,Swansea City,35-051,1990,25,709,28,17.1,7.9,8,60,0,17,13,8,1.40,14,12,+2,+0.25,+0.44,11.7,10.3,+1.3,+0.17,+0.24,Matches
21,Millenic Alli,ie IRL,"FW,DF",Luton Town,25-087,2000,16,766,48,18.5,8.5,6,84,3,10,26,1,1.44,9,11,-2,-0.23,+0.35,8.4,9.6,-1.3,-0.15,-0.02,Matches
22,Jak Alnwick,eng ENG,GK,Cardiff City,31-321,1993,29,2610,90,63.0,29.0,29,90,29,0,,4,1.10,35,45,-10,-0.34,+0.54,30.8,44.9,-14.1,-0.48,-0.30,Matches
23,Will Alves,eng ENG,"FW,MF",Cardiff City,20-090,2005,14,667,48,16.1,7.4,8,62,1,6,29,0,0.71,7,11,-4,-0.54,0.00,8.5,9.4,-0.9,-0.12,+0.31,Matches
24,Steven Alzate,co COL,MF,Hull City,26-238,1998,28,1941,69,46.9,21.6,21,82,12,7,32,4,1.29,20,23,-3,-0.14,+0.15,22.6,24.1,-1.5,-0.07,-0.09,Matches
25,Jaydon Amauri Banel,nl NED,"FW,MF",Burnley,20-197,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
26,Zeki Amdouni,ch SUI,MF,Burnley,24-151,2000,2,35,18,0.8,0.4,0,,0,2,18,0,1.50,2,0,+2,+5.14,+4.02,0.1,0.1,0.0,0.00,-0.41,Matches
27,Ethan Ampadu,wls WAL,"DF,MF",Leeds United,24-232,2000,29,2285,79,55.2,25.4,26,86,22,3,18,1,2.34,61,12,+49,+1.93,+1.15,58.1,14.8,+43.4,+1.71,+0.92,Matches
28,Nordin Amrabat,ma MAR,"FW,MF",Hull City,38-034,1987,10,288,29,7.0,3.2,2,82,0,8,16,8,0.70,3,2,+1,+0.31,+0.57,4.1,2.1,+2.0,+0.63,+0.71,Matches
29,Lucas Andersen,dk DEN,"MF,FW",QPR,30-233,1994,33,1165,35,28.1,12.9,13,63,1,20,17,2,1.03,15,20,-5,-0.39,-0.24,10.7,16.4,-5.7,-0.44,-0.42,Matches
