Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Uriel van Aalst,,MF,Willem II,,,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
2,Patrick van Aanholt,nl NED,DF,Sparta R'dam,34-249,1990,19,1565,82,56.1,17.4,19,82,13,0,,0,1.26,21,19,+2,+0.12,+0.63,22.9,22.8,+0.1,+0.01,-0.01,Matches
3,Paxten Aaronson,us USA,"MF,FW",Utrecht,21-252,2003,30,2490,83,89.2,27.7,28,87,22,2,24,0,2.07,52,34,+18,+0.65,+0.35,40.2,36.4,+3.8,+0.14,+0.02,Matches
4,Tay Abed,il ISR,MF,PSV Eindhoven,21-058,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
5,Jayden Addai,nl NED,"FW,DF",AZ Alkmaar,19-252,2005,16,308,19,11.0,3.4,3,45,0,13,13,7,1.19,11,5,+6,+1.75,+1.35,8.0,2.9,+5.1,+1.50,+1.10,Matches
6,Bobby Adekanye,nl NED,"FW,MF",Go Ahead Eag,26-080,1999,13,778,60,27.9,8.6,10,72,1,3,19,3,1.15,10,14,-4,-0.46,-0.78,15.0,8.6,+6.4,+0.74,+0.67,Matches
7,Aske Adelgaard,dk DEN,DF,Go Ahead Eag,21-176,2003,21,1134,54,40.6,12.6,13,76,4,8,18,7,1.43,17,19,-2,-0.16,-0.43,17.2,14.2,+3.1,+0.25,-0.01,Matches
8,Shawn Adewoye,be BEL,DF,Fortuna Sittard,24-310,2000,24,1748,73,62.7,19.4,20,83,17,4,21,1,1.08,21,30,-9,-0.46,+0.31,24.0,28.8,-4.8,-0.25,+0.11,Matches
9,Olivier Aertssen,nl NED,DF,Zwolle,20-271,2004,20,1116,56,40.0,12.4,14,73,7,6,16,2,1.25,21,20,+1,+0.08,+0.73,15.0,23.6,-8.6,-0.69,-0.09,Matches
10,Amar Ahmed,se SWE,"FW,MF",Willem II,21-075,2004,21,685,33,24.6,7.6,5,67,0,16,22,1,0.62,5,14,-9,-1.18,-0.71,5.5,13.0,-7.5,-0.99,-0.14,Matches
11,Isaiah Ahmed,cw CUW,MF,Heerenveen,19-128,2005,1,9,9,0.3,0.1,0,,0,1,9,10,3.00,1,0,+1,+10.00,+10.49,0.4,0.3,0.0,+0.47,+0.62,Matches
12,Makan Aiko,fr FRA,FW,Fortuna Sittard,24-118,2001,22,1179,54,42.3,13.1,13,69,2,9,31,0,1.14,12,21,-9,-0.69,-0.18,17.6,19.0,-1.4,-0.10,+0.32,Matches
13,Chuba Akpom,eng ENG,FW,Ajax,29-208,1995,16,832,52,29.8,9.2,9,72,3,7,26,3,2.38,22,10,+12,+1.30,+0.19,15.7,8.9,+6.9,+0.74,-0.38,Matches
14,Hamdi Akujobi,nl NED,DF,Almere City,25-105,2000,28,2344,84,84.0,26.0,27,86,23,1,32,0,0.64,18,53,-35,-1.34,-0.74,23.1,42.8,-19.7,-0.76,-1.44,Matches
15,Gerald Alders,nl NED,DF,Ajax,19-363,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
16,Gerald Alders,nl NED,DF,Twente,19-363,2005,1,12,12,0.4,0.1,0,,0,1,12,3,3.00,0,0,0,0.00,-0.45,0.1,0.3,-0.2,-1.52,-1.93,Matches
17,Hussein Ali,iq IRQ,DF,Heerenveen,23-065,2002,6,212,35,7.6,2.4,1,79,0,5,27,17,2.00,5,4,+1,+0.42,+0.95,4.6,4.2,+0.3,+0.14,+0.32,Matches
18,Jaydon Amauri Banel,nl NED,FW,Ajax,20-198,2004,1,64,64,2.3,0.7,1,64,0,0,,4,3.00,0,0,0,0.00,-1.19,0.7,0.0,+0.6,+0.88,-0.13,Matches
19,Jamal Amofa,nl NED,DF,Go Ahead Eag,26-161,1998,2,158,79,5.7,1.8,2,79,0,0,,9,0.00,0,4,-4,-2.28,-2.52,2.0,2.1,-0.1,-0.03,-0.30,Matches
20,Silas Andersen,dk DEN,MF,Utrecht,20-326,2004,1,1,1,0.0,0.0,0,,0,1,1,7,1.00,0,0,0,0.00,-0.61,0.0,0.0,0.0,-3.30,-3.44,Matches
21,Plamen Andreev,bg BUL,GK,Feyenoord,20-141,2004,0,,,,,0,,0,0,,25,,,,,,,,,,,,Matches
22,Oliver Antman,fi FIN,"FW,MF",Go Ahead Eag,23-263,2001,30,2230,74,79.9,24.8,26,81,10,4,30,0,1.57,41,36,+5,+0.20,+0.52,34.1,31.7,+2.4,+0.10,-0.78,Matches
23,D'Leanu Arts,nl NED,DF,NEC Nijmegen,21-343,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
24,Anouar El Azzouzi,nl NED,"MF,DF",Zwolle,23-341,2001,31,2696,87,96.6,30.0,31,87,21,0,,0,1.10,33,47,-14,-0.47,-3.34,31.6,51.4,-19.9,-0.66,-0.69,Matches
25,Julian Baas,nl NED,MF,Sparta R'dam,23-019,2002,13,850,65,30.5,9.4,9,83,5,4,26,7,1.00,10,13,-3,-0.32,-0.22,10.3,11.9,-1.6,-0.17,-0.26,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
26,Youri Baas,nl NED,DF,Ajax,22-049,2003,23,2040,89,73.1,22.7,23,89,22,0,,2,2.61,48,16,+32,+1.41,+0.93,45.2,18.8,+26.3,+1.16,+0.58,Matches
27,Isaac Babadi,nl NED,MF,PSV Eindhoven,20-029,2005,8,175,22,6.3,1.9,1,90,1,7,12,13,2.75,6,1,+5,+2.57,+0.75,5.0,1.3,+3.7,+1.88,+0.51,Matches
28,Leandro Bacuna,cw CUW,"DF,MF",Groningen,33-257,1991,28,2086,75,74.8,23.2,22,88,18,6,26,1,1.18,27,34,-7,-0.30,-0.17,24.4,31.9,-7.5,-0.32,-0.45,Matches
29,Thibo Baeten,be BEL,"MF,FW",Go Ahead Eag,22-335,2002,1,12,12,0.4,0.1,0,,0,1,12,2,0.00,0,0,0,0.00,-0.10,0.1,0.0,+0.1,+0.90,+0.64,Matches
30,Aymane Bais,nl NED,FW,Sparta R'dam,19-130,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
31,Esmir Bajraktarevic,ba BIH,"FW,DF",PSV Eindhoven,20-056,2005,3,17,6,0.6,0.2,0,,0,3,6,7,1.33,1,4,-3,-15.88,-17.86,0.8,2.7,-1.9,-9.89,-11.37,Matches
32,Saïd Bakari,km COM,DF,Sparta R'dam,30-225,1994,23,1874,81,67.2,20.8,21,86,16,2,30,8,1.22,25,25,0,0.00,+0.49,25.2,25.3,-0.2,-0.01,-0.06,Matches
33,Johan Bakayoko,be BEL,FW,PSV Eindhoven,22-015,2003,28,1530,55,54.8,17.0,17,76,4,11,22,2,2.29,51,17,+34,+2.00,+0.29,44.5,14.8,+29.6,+1.74,+0.75,Matches
34,Nordin Bakker,nl NED,GK,Almere City,27-186,1997,31,2790,90,100.0,31.0,31,90,31,0,,0,0.65,21,59,-38,-1.23,,31.2,47.5,-16.3,-0.53,,Matches
35,Max Balard,au AUS,MF,NAC Breda,24-166,2000,30,2667,89,95.6,29.6,30,89,28,0,,0,1.07,31,51,-20,-0.67,-0.67,32.2,49.0,-16.8,-0.57,-0.12,Matches
36,Alex Balboa,gq EQG,MF,Almere City,24-060,2001,10,405,41,14.5,4.5,4,80,0,6,14,14,0.80,4,11,-7,-1.56,-0.39,2.7,9.4,-6.6,-1.47,-1.11,Matches
37,Théo Barbet,fr FRA,DF,Almere City,24-060,2001,11,795,72,28.5,8.8,9,83,5,2,23,11,1.00,7,12,-5,-0.57,+0.92,7.4,13.2,-5.8,-0.65,-0.18,Matches
38,Vasilios Barkas,gr GRE,GK,Utrecht,30-340,1994,29,2610,90,93.5,29.0,29,90,29,0,,0,1.93,58,41,+17,+0.59,-0.41,42.9,37.9,+4.9,+0.17,+0.53,Matches
39,Dirk Baron,nl NED,GK,Groningen,24-262,2000,0,,,,,0,,0,0,,24,,,,,,,,,,,,Matches
40,Samuel Bastien,cd COD,"MF,FW",Fortuna Sittard,28-221,1996,23,1294,56,46.4,14.4,13,84,7,10,20,0,1.22,17,28,-11,-0.77,-0.34,20.1,20.7,-0.6,-0.04,+0.47,Matches
41,Ramazan Bayram,nl NED,GK,Fortuna Sittard,20-205,2004,0,,,,,0,,0,0,,20,,,,,,,,,,,,Matches
42,Riechedly Bazoer,nl NED,MF,AZ Alkmaar,28-205,1996,1,3,3,0.1,0.0,0,,0,1,3,3,3.00,0,0,0,0.00,-0.55,0.2,0.0,+0.2,+6.47,+5.96,Matches
43,Guus Beaumont,nl NED,MF,Almere City,22-360,2002,2,12,6,0.4,0.1,0,,0,2,6,2,0.50,0,0,0,0.00,+1.23,0.0,0.3,-0.3,-2.48,-1.96,Matches
44,Thomas Beelen,nl NED,DF,Feyenoord,23-328,2001,25,1698,68,60.9,18.9,18,84,14,7,27,4,2.32,50,17,+33,+1.75,+1.25,36.1,16.5,+19.6,+1.04,+0.66,Matches
