Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Saminu Abdullahi,ng NGA,MF,FC Juárez,24-122,2001,3,48,16,1.6,0.5,0,,0,3,16,8,2.00,1,2,-1,-1.87,-1.34,0.3,1.0,-0.7,-1.33,-0.82,Matches
2,José Abella,mx MEX,DF,Santos,31-084,1994,17,1510,89,49.3,16.8,17,89,16,0,,0,0.41,15,36,-21,-1.25,-0.21,19.0,29.0,-10.0,-0.60,+0.40,Matches
3,José Abella,mx MEX,DF,FC Juárez,31-084,1994,17,1014,60,33.1,11.3,11,76,3,6,29,0,1.00,14,18,-4,-0.36,+0.30,11.9,17.2,-5.4,-0.47,+0.07,Matches
4,Diego Abitia,mx MEX,FW,Atlético,22-019,2003,11,320,29,10.5,3.6,3,71,0,8,13,5,1.09,4,5,-1,-0.28,-0.15,3.8,3.4,+0.4,+0.11,+0.47,Matches
5,Carlos Acevedo,mx MEX,GK,Santos,29-016,1996,33,2970,90,97.1,33.0,33,90,33,0,,1,0.52,27,65,-38,-1.15,-0.15,34.7,60.8,-26.1,-0.79,+0.26,Matches
6,Alonso Aceves,mx MEX,DF,Pachuca,24-038,2001,17,1334,78,43.6,14.8,14,87,12,3,38,15,1.39,22,20,+2,+0.13,+0.40,20.3,12.7,+7.6,+0.51,+0.46,Matches
7,Israel Aceves,mx MEX,DF,UANL,19-295,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
8,Gilberto Adame,mx MEX,"DF,MF",Mazatlán,20-185,2004,12,417,35,13.6,4.6,3,69,1,9,23,4,1.08,5,8,-3,-0.65,-0.10,3.8,6.8,-3.0,-0.64,-0.47,Matches
9,Sergio Aguayo,us USA,FW,Pachuca,22-162,2002,6,162,27,5.3,1.8,0,,0,6,27,2,0.83,1,0,+1,+0.56,+0.68,1.8,1.6,+0.1,+0.08,-0.19,Matches
10,Eduardo Águila,mx MEX,DF,Atlético,22-353,2002,31,2701,87,88.3,30.0,30,90,30,1,1,2,1.37,40,47,-7,-0.23,-0.73,32.6,41.9,-9.3,-0.31,-0.03,Matches
11,Daniel Aguirre,us USA,MF,Guadalajara,25-307,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
