Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25-120,2000,1.0,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,Matches
2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,25-120,2000,1.2,59,1,17,12,30,0,59,4,1,25.0,2,50.0,30,95,41,0,3,0,2,1,33,8,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21-357,2003,0.7,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3,Matches
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21-108,2004,1.0,65,8,37,22,7,2,65,0,0,,0,,29,219,165,3,1,1,1,3,34,1,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,19-029,2006,0.0,4,0,3,1,0,0,4,0,0,,0,,1,10,9,1,0,0,1,0,3,0,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-218,1987,10.9,638,127,413,213,14,7,638,7,3,42.9,4,57.1,321,1725,837,4,1,0,8,3,392,3,Matches
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25-168,1999,28.6,1819,28,257,1068,536,44,1815,116,55,47.4,59,50.9,1080,6987,3968,97,80,16,48,46,1330,101,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,26-092,1999,9.5,635,70,260,331,46,3,635,4,1,25.0,2,50.0,342,1427,822,6,4,0,4,3,386,5,Matches
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-135,1993,14.9,844,47,216,332,303,46,844,27,12,44.4,15,55.6,373,1794,951,33,15,8,32,13,462,95,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25-290,1999,2.3,157,0,27,75,56,7,157,8,3,37.5,2,25.0,90,399,175,6,2,2,5,1,108,26,Matches
11,Abel,es ESP,DF,Osasuna,es La Liga,24-256,2000,22.4,1279,63,365,583,341,18,1279,35,18,51.4,13,37.1,586,3176,1721,49,43,7,27,18,655,88,Matches
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,22-254,2002,2.9,87,6,21,56,10,2,87,3,2,66.7,1,33.3,34,148,74,2,0,0,1,1,36,2,Matches
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28-328,1996,0.1,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,22-037,2003,27.8,794,30,70,348,392,126,793,82,32,39.0,47,57.3,534,3356,1585,67,38,38,87,57,614,152,Matches
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24-342,2000,12.1,790,40,206,361,225,22,790,12,6,50.0,6,50.0,426,1926,1239,31,16,5,14,8,513,55,Matches
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,25-075,2000,20.5,591,5,56,190,350,110,589,46,12,26.1,32,69.6,361,1822,825,31,22,18,62,25,438,158,Matches
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,26-055,1999,27.4,1251,160,659,545,58,25,1251,4,3,75.0,1,25.0,632,3531,2013,16,7,0,18,3,650,4,Matches
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,27-214,1997,0.0,4,0,0,2,2,1,4,0,0,,0,,3,2,1,0,0,0,1,0,4,2,Matches
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,27-214,1997,13.1,367,20,46,172,149,57,365,14,4,28.6,10,71.4,158,572,205,8,6,4,22,13,241,69,Matches
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,21-088,2004,0.1,8,1,2,3,3,0,8,0,0,,0,,5,25,18,0,1,0,2,0,5,0,Matches
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-083,1988,17.5,1368,125,595,682,96,17,1368,3,3,100.0,0,0.0,846,3778,1883,17,15,1,7,2,1008,20,Matches
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18-364,2006,1.9,137,7,48,81,8,3,137,2,1,50.0,0,0.0,106,709,409,0,2,0,2,0,111,0,Matches
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-095,2000,1.5,34,1,4,18,12,1,34,1,1,100.0,0,0.0,5,18,0,0,0,0,2,0,20,5,Matches
24,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,25-095,2000,11.9,251,5,19,118,117,49,251,14,7,50.0,6,42.9,126,661,279,11,5,7,16,14,174,45,Matches
25,Che Adams,sct SCO,FW,Torino,it Serie A,28-295,1996,26.5,716,15,49,355,321,86,715,37,11,29.7,22,59.5,456,1920,656,21,18,7,58,32,559,135,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
26,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26-079,1999,19.0,1151,53,308,661,194,17,1151,16,3,18.8,9,56.3,554,2703,1183,12,17,1,27,12,630,9,Matches
27,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23-332,2001,14.4,453,16,42,215,201,68,453,27,10,37.0,16,59.3,237,880,291,7,5,4,49,19,309,76,Matches
28,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,27-222,1997,13.7,1198,160,570,603,26,13,1198,5,4,80.0,0,0.0,713,2950,1690,5,2,0,3,0,916,1,Matches
29,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,21-153,2003,0.3,14,2,8,4,2,1,14,0,0,,0,,6,35,9,1,0,1,0,0,9,1,Matches
30,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,23-106,2002,14.3,585,9,49,219,327,80,585,81,38,46.9,40,49.4,383,2953,1443,64,33,37,40,30,430,139,Matches
31,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,23-123,2002,9.9,457,6,59,142,261,62,457,46,20,43.5,26,56.5,301,1999,968,35,17,19,33,10,316,114,Matches
32,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24-359,2000,7.0,407,4,36,129,251,48,407,29,14,48.3,14,48.3,218,1320,773,34,20,10,18,6,304,94,Matches
33,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24-279,2000,13.4,986,30,175,589,232,11,986,31,12,38.7,15,48.4,598,3511,1616,24,27,3,19,7,662,28,Matches
34,Adrián,es ESP,GK,Betis,es La Liga,38-121,1987,14.0,467,402,466,1,0,0,467,0,0,,0,,285,1275,797,0,0,0,0,0,220,0,Matches
35,Adryelson,br BRA,DF,Lyon,fr Ligue 1,27-042,1998,0.0,5,1,2,3,0,0,5,0,0,,0,,1,0,0,0,0,0,0,0,1,0,Matches
36,Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,18-357,2006,0.3,19,0,2,7,10,1,19,1,0,0.0,1,100.0,8,25,5,0,1,0,0,1,15,2,Matches
37,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,28-118,1997,7.2,418,10,62,263,97,9,418,4,2,50.0,1,25.0,247,1041,413,7,9,2,5,6,295,12,Matches
38,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,27-081,1998,16.9,692,12,79,291,334,55,692,94,47,50.0,40,42.6,458,3236,1343,51,43,25,54,40,514,100,Matches
39,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27-321,1997,12.7,924,155,527,381,22,5,924,10,7,70.0,2,20.0,572,2717,1230,3,3,0,3,3,615,1,Matches
40,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27-321,1997,14.0,1080,178,565,474,45,4,1080,12,9,75.0,3,25.0,621,3413,1974,10,9,0,9,6,701,0,Matches
41,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,19-218,2005,0.1,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53,23,2,0,0,0,1,5,1,Matches
42,Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,19-192,2005,3.3,131,1,22,39,72,16,131,20,9,45.0,10,50.0,84,627,283,13,2,10,11,6,92,36,Matches
43,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,24-129,2000,13.4,437,357,436,1,0,0,437,0,0,,0,,237,1238,682,0,0,0,1,0,211,0,Matches
44,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-084,2002,18.5,1145,50,300,697,161,12,1145,22,15,68.2,6,27.3,507,2373,1127,21,17,2,20,7,724,17,Matches
45,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,25-219,1999,17.8,939,47,285,414,245,32,939,30,7,23.3,18,60.0,478,2319,1147,29,12,8,31,9,538,95,Matches
