Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Patrick van Aanholt,nl NED,DF,Sparta R'dam,34-249,1990,17.4,952,59,276,447,242,20,952,19,7,36.8,12,63.2,465,2552,1345,37,38,4,27,3,523,64,Matches
2,Paxten Aaronson,us USA,"MF,FW",Utrecht,21-252,2003,27.7,1197,24,235,603,384,68,1197,50,25,50.0,23,46.0,634,3964,1558,47,30,11,30,36,653,72,Matches
3,Jayden Addai,nl NED,"FW,DF",AZ Alkmaar,19-252,2005,3.4,192,5,24,77,96,24,192,40,20,50.0,18,45.0,131,1072,569,18,12,13,14,8,139,41,Matches
4,Bobby Adekanye,nl NED,"FW,MF",Go Ahead Eag,26-080,1999,8.6,304,11,37,99,174,36,304,28,12,42.9,16,57.1,201,1634,859,31,14,12,16,12,214,60,Matches
5,Aske Adelgaard,dk DEN,DF,Go Ahead Eag,21-176,2003,12.6,765,45,255,274,244,9,765,14,10,71.4,3,21.4,376,1827,946,25,15,1,15,10,419,59,Matches
6,Shawn Adewoye,be BEL,DF,Fortuna Sittard,24-310,2000,19.4,1074,163,531,473,73,14,1074,0,0,,0,,558,2839,1419,13,15,1,13,4,643,0,Matches
7,Olivier Aertssen,nl NED,DF,Zwolle,20-271,2004,12.4,751,61,277,359,129,11,751,22,14,63.6,7,31.8,324,1904,988,13,13,4,18,8,358,19,Matches
8,Amar Ahmed,se SWE,"FW,MF",Willem II,21-075,2004,7.6,360,10,58,126,183,31,360,38,20,52.6,17,44.7,206,1696,948,34,21,14,22,13,227,53,Matches
9,Isaiah Ahmed,cw CUW,MF,Heerenveen,19-128,2005,0.1,5,0,2,3,0,0,5,0,0,,0,,3,23,12,0,0,0,0,0,3,0,Matches
10,Makan Aiko,fr FRA,FW,Fortuna Sittard,24-118,2001,13.1,299,6,26,120,158,47,299,23,10,43.5,12,52.2,182,1148,547,22,11,12,41,16,196,59,Matches
11,Chuba Akpom,eng ENG,FW,Ajax,29-208,1995,9.2,355,10,33,132,195,59,355,24,10,41.7,10,41.7,243,1438,626,25,17,13,27,13,294,93,Matches
12,Hamdi Akujobi,nl NED,DF,Almere City,25-105,2000,26.0,1350,115,443,560,360,24,1350,28,13,46.4,15,53.6,606,3695,1916,50,50,7,31,11,601,85,Matches
13,Gerald Alders,nl NED,DF,Twente,19-363,2005,0.1,9,4,7,2,0,0,9,0,0,,0,,1,0,0,0,0,0,0,0,1,0,Matches
14,Hussein Ali,iq IRQ,DF,Heerenveen,23-065,2002,2.4,129,10,42,71,16,0,129,2,0,0.0,1,50.0,52,197,76,1,2,0,1,1,75,4,Matches
15,Jaydon Amauri Banel,nl NED,FW,Ajax,20-198,2004,0.7,40,0,2,16,22,5,40,5,2,40.0,1,20.0,27,155,84,2,3,0,1,0,34,8,Matches
16,Jamal Amofa,nl NED,DF,Go Ahead Eag,26-161,1998,1.8,143,10,66,76,2,1,143,1,0,0.0,1,100.0,104,600,342,0,0,0,1,0,112,0,Matches
17,Silas Andersen,dk DEN,MF,Utrecht,20-326,2004,0.0,3,0,0,3,0,0,3,0,0,,0,,0,0,0,0,0,0,1,0,1,0,Matches
18,Oliver Antman,fi FIN,"FW,MF",Go Ahead Eag,23-263,2001,24.8,1040,24,199,394,463,109,1040,77,34,44.2,42,54.5,673,4630,2461,89,55,38,39,22,758,190,Matches
19,Anouar El Azzouzi,nl NED,"MF,DF",Zwolle,23-341,2001,30.0,2198,145,666,1226,327,42,2198,49,21,42.9,26,53.1,1130,4960,2451,30,23,2,58,34,1422,52,Matches
20,Julian Baas,nl NED,MF,Sparta R'dam,23-019,2002,9.4,643,21,151,375,120,0,643,3,2,66.7,1,33.3,310,1503,680,8,11,0,9,3,380,6,Matches
21,Youri Baas,nl NED,DF,Ajax,22-049,2003,22.7,2354,283,1035,1261,71,9,2354,13,8,61.5,3,23.1,1644,7518,4234,18,5,0,15,3,1854,6,Matches
22,Isaac Babadi,nl NED,MF,PSV Eindhoven,20-029,2005,1.9,181,2,28,73,82,15,181,4,2,50.0,2,50.0,109,707,419,14,9,2,3,2,147,11,Matches
23,Leandro Bacuna,cw CUW,"DF,MF",Groningen,33-257,1991,23.2,1471,65,343,727,413,29,1467,27,10,37.0,15,55.6,625,3079,1448,41,35,9,36,11,754,97,Matches
24,Thibo Baeten,be BEL,"MF,FW",Go Ahead Eag,22-335,2002,0.1,12,0,0,7,5,0,12,1,0,0.0,1,100.0,9,95,58,1,1,0,0,0,8,4,Matches
25,Esmir Bajraktarevic,ba BIH,"FW,DF",PSV Eindhoven,20-056,2005,0.2,24,0,1,6,17,2,24,1,0,0.0,1,100.0,16,96,62,3,2,1,1,2,20,3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
26,Saïd Bakari,km COM,DF,Sparta R'dam,30-225,1994,20.8,1248,67,392,634,239,10,1248,28,11,39.3,14,50.0,595,3398,1943,40,31,5,28,3,672,62,Matches
27,Johan Bakayoko,be BEL,FW,PSV Eindhoven,22-015,2003,17.0,1083,11,67,350,672,120,1083,94,42,44.7,49,52.1,704,5645,3088,125,51,49,42,29,825,265,Matches
28,Nordin Bakker,nl NED,GK,Almere City,27-186,1997,31.0,1245,970,1227,17,2,1,1245,1,0,0.0,1,100.0,692,3916,2234,0,0,0,1,0,511,0,Matches
29,Max Balard,au AUS,MF,NAC Breda,24-166,2000,29.6,1354,106,423,778,168,13,1354,24,15,62.5,8,33.3,618,3231,1534,26,21,0,23,15,714,16,Matches
30,Alex Balboa,gq EQG,MF,Almere City,24-060,2001,4.5,171,13,58,79,37,5,171,1,0,0.0,0,0.0,73,327,140,3,4,1,6,3,91,3,Matches
31,Théo Barbet,fr FRA,DF,Almere City,24-060,2001,8.8,424,84,235,179,11,5,424,0,0,,0,,179,814,372,1,0,0,5,1,195,0,Matches
32,Vasilios Barkas,gr GRE,GK,Utrecht,30-340,1994,29.0,1067,924,1057,10,0,0,1067,0,0,,0,,629,3139,1695,0,0,0,2,0,543,0,Matches
33,Samuel Bastien,cd COD,"MF,FW",Fortuna Sittard,28-221,1996,14.4,480,13,76,238,173,15,480,11,8,72.7,2,18.2,243,1090,407,10,9,2,22,13,296,36,Matches
34,Riechedly Bazoer,nl NED,MF,AZ Alkmaar,28-205,1996,0.0,4,0,1,3,0,0,4,0,0,,0,,2,1,1,0,0,0,0,0,1,0,Matches
35,Guus Beaumont,nl NED,MF,Almere City,22-360,2002,0.1,14,0,4,6,4,0,14,1,0,0.0,1,100.0,10,49,25,0,2,0,1,0,8,0,Matches
36,Thomas Beelen,nl NED,DF,Feyenoord,23-328,2001,18.9,1705,135,670,960,81,15,1705,10,6,60.0,4,40.0,1045,5398,3152,27,16,0,7,2,1220,8,Matches
37,Raffael Behounek,at AUT,DF,Willem II,28-019,1997,29.9,2056,387,1160,845,59,11,2056,12,5,41.7,6,50.0,1182,6196,3486,12,13,0,7,5,1295,7,Matches
38,Kristijan Belic,rs SRB,MF,AZ Alkmaar,24-041,2001,6.5,509,16,96,290,132,14,509,23,13,56.5,10,43.5,301,1419,653,10,17,2,14,12,323,15,Matches
39,Mimeirhel Benita,nl NED,DF,Heracles Almelo,21-169,2003,19.7,1014,89,361,433,236,21,1014,29,16,55.2,11,37.9,393,2027,955,22,12,9,25,6,402,47,Matches
40,Walter Benítez,ar ARG,GK,PSV Eindhoven,32-106,1993,30.5,1256,946,1245,11,0,0,1256,0,0,,0,,750,3162,1722,0,0,0,0,0,773,0,Matches
41,Mitchell van Bergen,nl NED,FW,Sparta R'dam,25-251,1999,9.6,336,4,33,95,216,48,336,34,11,32.4,19,55.9,218,2026,1142,51,21,22,14,8,235,101,Matches
42,Mitchell van Bergen,nl NED,FW,Twente,25-251,1999,8.9,340,3,28,103,220,41,340,33,15,45.5,18,54.5,246,2489,1414,59,30,23,18,2,260,98,Matches
43,Thom van Bergen,nl NED,FW,Groningen,21-119,2004,24.7,867,31,113,374,394,98,867,57,29,50.9,23,40.4,435,2008,722,25,17,11,86,50,551,134,Matches
44,Steven Berghuis,nl NED,"FW,MF",Ajax,33-137,1991,13.7,842,7,91,368,389,41,840,22,7,31.8,13,59.1,469,2302,1016,35,22,7,14,7,610,102,Matches
45,Steven Bergwijn,nl NED,FW,Ajax,27-209,1997,0.2,20,0,0,4,16,2,20,3,2,66.7,1,33.3,15,80,44,1,0,0,0,0,15,7,Matches
46,Gijs Besselink,nl NED,MF,Twente,20-323,2004,3.6,165,8,40,102,24,0,165,5,2,40.0,3,60.0,79,476,190,3,2,0,5,2,94,3,Matches
47,Daniel Bielica,pl POL,GK,NAC Breda,26-005,1999,30.0,1119,951,1112,7,0,0,1119,0,0,,0,,586,2547,1463,0,0,0,0,0,515,0,Matches
48,Justin Bijlow,nl NED,GK,Feyenoord,27-103,1998,4.0,232,153,232,0,0,0,232,0,0,,0,,152,643,386,0,0,0,0,0,160,0,Matches
49,Adrian Blake,eng ENG,"FW,MF",Utrecht,19-294,2005,3.9,194,3,36,59,102,18,194,14,5,35.7,8,57.1,116,890,461,12,7,7,13,5,128,38,Matches
50,Thijmen Blokzijl,nl NED,DF,Groningen,20-069,2005,21.7,1339,150,679,629,38,10,1339,1,0,0.0,1,100.0,689,3343,1413,8,7,1,3,3,806,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
51,Paweł Bochniewicz,pl POL,DF,Heerenveen,29-095,1996,12.3,1091,155,571,462,64,20,1091,6,3,50.0,3,50.0,645,3002,1595,8,10,0,4,2,774,3,Matches
52,Jeremy Bokila,cd COD,FW,Willem II,36-172,1988,14.2,423,19,43,223,162,45,422,21,5,23.8,15,71.4,211,884,304,11,11,6,55,36,311,48,Matches
53,Ruben van Bommel,nl NED,FW,AZ Alkmaar,20-275,2004,14.1,672,15,71,234,377,60,672,39,20,51.3,18,46.2,393,2382,1235,38,35,12,33,10,453,103,Matches
54,Taylor Booth,us USA,"FW,MF",Utrecht,23-339,2001,2.9,106,8,23,39,46,7,106,10,3,30.0,5,50.0,46,242,108,7,2,2,13,6,52,12,Matches
55,Taylor Booth,us USA,FW,Twente,23-339,2001,3.0,126,2,20,52,57,11,126,4,2,50.0,2,50.0,85,545,256,9,4,3,10,7,84,23,Matches
56,Olivier Boscagli,fr FRA,DF,PSV Eindhoven,27-168,1997,25.8,2859,190,911,1703,256,16,2859,7,5,71.4,1,14.3,1761,8744,5686,42,64,2,13,6,2180,15,Matches
57,Jesse Bosch,nl NED,MF,Willem II,25-093,2000,27.9,1082,85,269,533,287,33,1082,30,13,43.3,15,50.0,475,2214,1204,29,26,4,37,17,620,67,Matches
58,Sven Bouland,nl NED,DF,Groningen,,,0.5,47,2,15,26,6,0,47,0,0,,0,,30,171,150,1,1,0,0,0,36,1,Matches
59,Rayane Bounida,be BEL,FW,Ajax,19-063,2006,0.2,13,0,0,9,4,0,13,0,0,,0,,10,55,17,0,0,0,2,1,11,1,Matches
60,Can Bozdogan,de GER,MF,Utrecht,24-030,2001,4.5,221,15,57,124,45,5,221,7,3,42.9,4,57.1,100,639,318,5,4,0,4,2,116,11,Matches
61,Mattijs Branderhorst,nl NED,GK,Fortuna Sittard,31-125,1993,25.0,814,692,808,6,0,0,814,0,0,,0,,404,2777,1733,0,0,0,0,0,238,0,Matches
62,Oliver Braude,no NOR,DF,Heerenveen,21-073,2004,26.0,1958,95,652,962,379,18,1958,40,17,42.5,12,30.0,976,5847,2767,59,32,6,26,14,1056,57,Matches
63,Myron van Brederode,nl NED,FW,AZ Alkmaar,21-303,2003,1.9,93,0,10,48,35,5,93,8,3,37.5,5,62.5,55,265,129,4,3,1,6,5,72,14,Matches
64,Michael Bresser,nl NED,DF,PSV Eindhoven,18-011,2007,0.0,2,0,0,1,1,0,2,0,0,,0,,0,0,0,0,0,0,0,0,1,1,Matches
65,Jakob Breum,dk DEN,"MF,FW",Go Ahead Eag,21-169,2003,21.8,1151,26,183,488,497,68,1151,46,21,45.7,25,54.3,684,3680,1591,40,36,11,41,31,766,125,Matches
66,Brian Brobbey,nl NED,FW,Ajax,23-093,2002,16.1,491,9,32,200,263,110,491,24,8,33.3,10,41.7,301,1218,452,18,3,11,39,29,410,163,Matches
67,Michael Brouwer,nl NED,GK,Utrecht,32-104,1993,2.0,83,74,83,0,0,0,83,0,0,,0,,42,170,73,0,0,0,0,0,36,0,Matches
