Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Saminu Abdullahi,ng NGA,MF,FC Juárez,24-122,2001,0.5,23,3,6,9,9,0,23,0,0,,0,,15,109,58,1,1,0,1,1,16,4,Matches
2,José Abella,mx MEX,DF,Santos,31-084,1994,16.8,1053,62,306,513,246,16,1053,9,5,55.6,4,44.4,465,1708,763,9,10,1,15,4,565,55,Matches
3,José Abella,mx MEX,DF,FC Juárez,31-084,1994,11.3,674,34,240,336,101,6,674,2,2,100.0,0,0.0,280,954,449,5,8,0,9,4,346,10,Matches
4,Diego Abitia,mx MEX,FW,Atlético,22-019,2003,3.6,100,3,7,46,48,13,100,2,1,50.0,1,50.0,67,511,152,7,4,3,13,7,77,15,Matches
5,Carlos Acevedo,mx MEX,GK,Santos,29-016,1996,33.0,1238,1072,1231,7,1,1,1238,1,1,100.0,0,0.0,625,3197,2087,0,0,0,1,0,466,0,Matches
6,Alonso Aceves,mx MEX,DF,Pachuca,24-038,2001,14.8,928,79,460,387,88,12,928,6,2,33.3,4,66.7,515,2815,1554,11,10,2,8,0,549,22,Matches
7,Gilberto Adame,mx MEX,"DF,MF",Mazatlán,20-185,2004,4.6,214,14,60,64,91,8,214,11,5,45.5,6,54.5,111,739,351,17,8,3,17,7,124,33,Matches
8,Sergio Aguayo,us USA,FW,Pachuca,22-162,2002,1.8,65,2,5,25,37,11,65,3,0,0.0,3,100.0,38,183,60,2,1,0,6,4,52,10,Matches
9,Eduardo Águila,mx MEX,DF,Atlético,22-353,2002,30.0,1857,285,1106,724,37,22,1857,11,10,90.9,1,9.1,1028,4764,2240,14,7,3,15,10,1254,2,Matches
10,Eduardo Aguirre,mx MEX,"FW,MF",Atlas,26-275,1998,24.4,717,23,56,293,375,80,717,29,9,31.0,20,69.0,411,1884,626,19,24,3,73,54,523,113,Matches
11,Érick Aguirre,mx MEX,DF,Monterrey,28-071,1997,10.4,749,29,174,357,220,12,749,12,8,66.7,4,33.3,387,1691,769,21,13,7,10,3,453,67,Matches
12,Gaddi Aguirre,mx MEX,DF,Atlas,29-035,1996,11.7,722,94,354,303,69,10,722,4,1,25.0,3,75.0,311,1473,735,6,3,0,8,1,356,8,Matches
13,Rodrigo Aguirre,uy URU,"FW,MF",América,30-216,1994,9.8,338,9,33,146,164,50,338,25,10,40.0,14,56.0,192,1136,440,15,7,8,40,20,229,51,Matches
14,Jorge Agustín Rodríguez,ar ARG,"MF,DF",Monterrey,29-232,1995,26.5,1849,129,523,1145,187,15,1849,16,10,62.5,5,31.3,957,3201,1322,3,12,0,13,8,1199,22,Matches
15,Arnaud Ake,ci CIV,FW,Querétaro,27-034,1998,2.6,76,1,3,38,38,6,76,2,1,50.0,1,50.0,43,225,80,4,3,3,14,4,59,21,Matches
