Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Rodrigo Abascal,uy URU,DF,Boavista,31-111,1994,25.9,1415,202,759,513,153,19,1415,11,7,63.6,4,36.4,647,2760,1347,10,6,0,12,4,711,17,Matches
2,Nelson Abbey,eng ENG,DF,Rio Ave,21-250,2003,7.1,460,52,223,196,44,3,460,8,3,37.5,4,50.0,229,1220,574,7,7,1,8,5,253,7,Matches
3,Bilal Abdelrahman Zeeni,eg EGY,MF,Estrela,22-104,2003,0.1,6,1,1,1,4,1,6,0,0,,0,,4,13,5,0,0,0,0,0,4,1,Matches
4,Giorgi Aburjania,ge GEO,MF,AVS Futebol,30-123,1995,3.4,167,7,30,109,30,3,167,2,1,50.0,0,0.0,71,288,181,3,3,0,4,1,102,4,Matches
5,Adriano,br BRA,MF,Santa Clara,25-182,1999,27.2,1334,58,341,820,194,12,1334,44,22,50.0,21,47.7,716,3524,1648,25,22,1,20,18,904,28,Matches
6,Lucas Áfrico,br BRA,DF,Farense,30-089,1995,18.5,892,141,557,293,46,26,892,4,1,25.0,2,50.0,416,2109,1207,6,5,0,7,2,531,3,Matches
7,Salvador Agra,pt POR,"MF,DF",Boavista,33-175,1991,27.7,1127,18,206,490,442,33,1127,39,18,46.2,19,48.7,568,3145,1552,54,38,10,49,30,655,137,Matches
8,Brandon Aguilera,cr CRC,"MF,FW",Rio Ave,21-311,2003,15.3,848,13,156,454,252,18,848,39,18,46.2,20,51.3,493,2431,1202,26,19,2,39,27,551,44,Matches
9,Jorge Aguirre,es ESP,FW,Gil Vicente FC,25-120,2000,14.6,461,8,36,250,179,43,461,43,16,37.2,26,60.5,281,1165,262,5,9,5,62,32,357,64,Matches
10,Babatunde Akinsola,ng NGA,"MF,FW",AVS Futebol,22-056,2003,10.3,429,14,76,167,199,24,429,53,23,43.4,27,50.9,241,1829,828,37,29,7,37,16,250,68,Matches
11,Kerem Aktürkoğlu,tr TUR,"FW,MF",Benfica,26-196,1998,20.7,908,3,86,312,530,126,908,70,24,34.3,46,65.7,543,2900,1519,58,36,23,58,23,610,188,Matches
12,Léo Alaba,br BRA,DF,AVS Futebol,25-308,1999,3.7,243,13,81,97,68,1,243,6,1,16.7,5,83.3,103,498,259,2,3,0,10,4,115,20,Matches
13,Alan,br BRA,MF,Moreirense,25-058,2000,25.9,1364,4,145,799,441,41,1359,48,29,60.4,16,33.3,860,4189,2140,45,45,2,55,46,1038,93,Matches
14,Gonçalo Almeida,pt POR,"DF,MF",Boavista,21-364,2003,9.0,403,10,87,197,126,14,403,12,5,41.7,7,58.3,197,945,489,12,9,4,23,5,227,43,Matches
15,Pedro Álvaro,pt POR,DF,Estoril,25-064,2000,28.6,1622,221,1066,538,29,19,1622,7,3,42.9,4,57.1,858,3414,1660,8,6,1,15,10,980,5,Matches
16,Pedro Amaral,pt POR,"DF,MF",Estoril,27-253,1997,24.8,1413,70,418,652,352,22,1413,25,7,28.0,16,64.0,704,2920,1438,30,28,2,37,13,820,98,Matches
17,Zeki Amdouni,ch SUI,"MF,FW",Benfica,24-152,2000,9.5,459,5,35,188,241,48,459,50,23,46.0,26,52.0,291,1676,745,23,19,7,29,18,346,66,Matches
18,Artur Jorge Marques Amorim,pt POR,DF,Farense,30-264,1994,14.2,621,91,405,202,18,9,621,0,0,,0,,257,1145,478,1,2,0,10,1,327,1,Matches
19,Andrew,br BRA,GK,Gil Vicente FC,23-308,2001,32.0,1266,1099,1265,1,0,0,1266,0,0,,0,,690,2914,1656,0,0,0,0,0,612,0,Matches
20,Jeremy Antonisse,cw CUW,"FW,MF",Moreirense,23-037,2002,9.0,380,15,89,144,156,26,380,27,12,44.4,14,51.9,198,1570,776,22,16,5,26,16,228,45,Matches
21,Arvin Appiah,eng ENG,"DF,FW",Nacional,24-120,2001,14.4,637,31,179,300,161,24,637,29,11,37.9,12,41.4,339,1902,982,32,13,11,34,14,359,61,Matches
22,Óscar Aranda,es ESP,FW,Famalicão,23-006,2002,27.2,1105,19,131,518,479,58,1100,172,82,47.7,77,44.8,724,4373,1961,63,38,14,65,57,813,132,Matches
23,Henrique Araújo,pt POR,FW,Arouca,23-106,2002,10.6,293,11,19,133,141,48,290,17,6,35.3,8,47.1,166,779,343,12,6,8,34,18,222,45,Matches
24,Maximiliano Araújo,uy URU,"DF,MF",Sporting CP,25-079,2000,17.8,1137,32,226,410,521,83,1137,67,25,37.3,41,61.2,625,2897,1647,44,34,13,31,17,680,185,Matches
25,Tomás Araújo,pt POR,DF,Benfica,22-354,2002,24.1,1720,98,578,935,218,24,1720,32,18,56.3,14,43.8,979,5189,3162,35,23,3,15,9,1122,50,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
26,Telmo Arcanjo,cv CPV,FW,Vitória,23-318,2001,13.7,699,5,58,291,358,31,699,42,20,47.6,18,42.9,409,2509,1189,43,32,10,30,21,500,114,Matches
27,Gboly Ariyibi,us USA,"FW,MF",Boavista,30-107,1995,3.1,76,0,9,24,43,8,76,10,3,30.0,7,70.0,53,426,175,8,5,4,14,6,60,18,Matches
28,Henrique Arreiol,pt POR,MF,Sporting CP,19-318,2005,0.3,17,1,5,10,2,1,17,1,1,100.0,0,0.0,8,53,35,1,1,0,0,0,7,1,Matches
29,Bright Arrey-Mbi,de GER,DF,Braga,22-040,2003,12.6,975,60,414,548,20,9,975,7,4,57.1,3,42.9,651,2623,1104,4,2,0,7,1,749,0,Matches
30,Afonso Assis,pt POR,MF,Moreirense,18-294,2006,0.2,5,0,3,2,0,0,5,0,0,,0,,2,10,0,0,0,0,0,0,3,0,Matches
31,Gustavo Assuncao,pt POR,MF,AVS Futebol,25-036,2000,15.2,851,29,233,513,115,15,849,16,3,18.8,11,68.8,372,1432,636,10,7,2,24,11,512,13,Matches
32,Otavio Ataide,br BRA,DF,Porto,23-014,2002,18.1,1584,87,554,898,139,19,1584,15,5,33.3,8,53.3,977,4853,3017,20,11,1,12,2,1187,15,Matches
33,João Aurélio,pt POR,"FW,DF",Nacional,36-261,1988,2.8,137,9,35,59,44,6,137,5,2,40.0,3,60.0,44,230,123,5,3,1,4,0,64,12,Matches
34,Fredrik Aursnes,no NOR,"MF,FW",Benfica,29-146,1995,25.1,1440,27,231,715,506,56,1440,28,11,39.3,17,60.7,853,4038,1820,42,34,9,25,13,1049,145,Matches
35,Felix Bacher,at AUT,DF,Estoril,24-192,2000,21.0,1188,139,700,460,33,8,1188,13,10,76.9,3,23.1,557,2056,645,3,3,0,9,1,653,2,Matches
36,Miguel Baeza,es ESP,"MF,FW",Nacional,25-039,2000,2.3,72,1,11,37,26,2,72,3,2,66.7,1,33.3,35,180,105,2,1,0,1,1,45,4,Matches
37,Alexander Bah,dk DEN,DF,Benfica,27-147,1997,15.7,1188,19,242,530,423,40,1188,34,12,35.3,22,64.7,557,2315,1207,32,19,5,25,12,701,127,Matches
38,Adrian Bajrami,al ALB,DF,Benfica,23-030,2002,0.1,12,0,0,10,2,0,12,0,0,,0,,11,55,27,0,1,0,0,1,11,3,Matches
39,Theofanis Bakoulas,gr GRE,MF,Rio Ave,20-121,2005,2.3,105,7,21,60,24,5,105,5,1,20.0,4,80.0,54,298,134,2,2,1,3,3,65,8,Matches
40,Elves Baldé,gw GNB,"MF,FW",Farense,25-215,1999,11.6,415,6,71,151,201,26,415,33,17,51.5,14,42.4,213,1677,859,29,27,6,40,22,243,49,Matches
41,Mohamed Bamba,ci CIV,MF,Gil Vicente FC,20-209,2004,8.6,505,26,157,306,46,5,505,7,2,28.6,5,71.4,259,1164,509,3,5,0,6,3,317,7,Matches
42,Robson Bambu,br BRA,DF,Braga,27-174,1997,11.2,862,79,409,437,23,9,862,1,0,0.0,1,100.0,543,2825,1519,7,7,1,3,4,633,2,Matches
43,Chico Banza,ao ANG,FW,Estrela,26-139,1998,6.3,218,7,22,93,107,22,218,30,13,43.3,16,53.3,119,922,366,16,8,8,29,14,147,35,Matches
44,Simon Banza,cd COD,FW,Braga,28-265,1996,0.2,5,0,0,2,3,1,5,0,0,,0,,5,7,5,0,0,0,2,1,6,1,Matches
45,Rafael Barbosa,pt POR,"MF,FW",Farense,29-037,1996,4.0,188,1,25,79,89,11,188,8,3,37.5,5,62.5,98,522,230,5,4,4,2,7,113,21,Matches
