Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Lucas Abascia,ar ARG,DF,Cen. Córdoba–SdE,29-146,1995,5.8,0,2,0,0.0,0.34,0.00,0.00,,19.5,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
2,Luciano Abecasis,ar ARG,DF,Ind. Rivadavia,34-335,1990,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,15.9,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
3,Ramón Ábila,ar ARG,FW,Huracán,35-203,1989,1.7,0,2,1,50.0,1.19,0.60,0.00,0.00,20.9,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
4,Ignacio Abraham,sy SYR,DF,Banfield,27-113,1998,4.1,0,3,0,0.0,0.73,0.00,0.00,,14.7,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
5,Gonzalo Abrego,ar ARG,MF,Godoy Cruz,25-118,2000,9.3,0,18,5,27.8,1.93,0.54,0.00,0.00,25.0,2,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
6,Jonás Acevedo,ar ARG,"MF,FW",Instituto,28-088,1997,7.1,1,11,4,36.4,1.55,0.56,0.09,0.25,19.3,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches
7,Juan Achetoni,ar ARG,FW,Aldosivi,20-055,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8,Guillermo Acosta,ar ARG,MF,Atlé Tucumán,36-186,1988,9.9,0,7,1,14.3,0.70,0.10,0.00,0.00,28.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
9,Lautaro Acosta,ar ARG,FW,Lanús,37-052,1988,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
10,Lucas Acosta,ar ARG,"FW,DF",San Martín de San Juan,19-351,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
11,Lucas Acosta,ar ARG,GK,Sarmiento,30-054,1995,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
12,Marcos Acuña,ar ARG,DF,River Plate,33-189,1991,11.2,0,12,1,8.3,1.07,0.09,0.00,0.00,23.7,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
13,Valentino Acuña,ar ARG,"FW,DF",Newell's OB,19-098,2006,1.1,1,3,1,33.3,2.78,0.93,0.33,1.00,16.2,0,0,0,0.4,0.4,0.14,+0.6,+0.6,Matches
14,Tomás Adoryán,ar ARG,MF,Banfield,23-225,2001,5.3,1,13,4,30.8,2.44,0.75,0.08,0.25,24.2,1,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
15,Luis Advíncula,pe PER,DF,Boca Juniors,35-064,1990,8.3,1,5,1,20.0,0.61,0.12,0.20,1.00,19.6,0,0,0,0.7,0.7,0.13,+0.3,+0.3,Matches
16,Alan Aguerre,ar ARG,GK,Cen. Córdoba–SdE,34-255,1990,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
17,Emanuel Aguilera,ar ARG,DF,Defensa y Just,35-328,1989,11.1,0,2,1,50.0,0.18,0.09,0.00,0.00,13.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
18,Brian Aguirre,ar ARG,FW,Boca Juniors,21-338,2003,1.3,0,2,0,0.0,1.49,0.00,0.00,,21.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
19,Manuel Agustín Duarte,ar ARG,"MF,FW",Barracas Central,23-255,2001,4.3,1,10,2,20.0,2.31,0.46,0.10,0.50,23.6,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
20,Gabriel Alanís,ar ARG,FW,Huracán,31-050,1994,10.3,0,9,2,22.2,0.87,0.19,0.00,0.00,14.0,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
21,Agustín Alaniz,uy URU,"FW,MF",Banfield,22-354,2002,11.1,2,25,7,28.0,2.25,0.63,0.08,0.29,20.0,2,0,0,1.7,1.7,0.07,+0.3,+0.3,Matches
22,Fernando Alarcón,ar ARG,DF,Instituto,30-323,1994,16.0,0,9,2,22.2,0.56,0.12,0.00,0.00,10.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
23,William Alarcón,cl CHI,MF,Boca Juniors,24-166,2000,4.9,0,8,1,12.5,1.65,0.21,0.00,0.00,28.1,2,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
24,Lucas Alario,ar ARG,FW,Estudiantes–LP,32-209,1992,6.7,1,8,2,25.0,1.20,0.30,0.00,0.00,15.4,0,1,1,1.5,0.7,0.09,-0.5,-0.7,Matches
25,Franco Alfonso,ar ARG,"FW,MF",Cen. Córdoba–SdE,23-001,2002,2.2,0,8,2,25.0,3.64,0.91,0.00,0.00,16.4,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
26,Rodrigo Aliendro,ar ARG,MF,River Plate,34-078,1991,5.4,1,10,3,30.0,1.87,0.56,0.10,0.33,15.7,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Matches
27,Agustín Almendra,ar ARG,MF,Racing Club,25-083,2000,9.2,0,13,2,15.4,1.42,0.22,0.00,0.00,29.6,1,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
28,Antony Alonso,ar ARG,"MF,FW",Deportivo Riestra,26-359,1998,6.3,3,10,6,60.0,1.59,0.95,0.30,0.50,13.1,0,0,0,1.3,1.3,0.13,+1.7,+1.7,Matches
29,Facundo Altamira,,"FW,MF",Godoy Cruz,,,5.8,1,6,1,16.7,1.03,0.17,0.17,1.00,24.9,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
30,Pablo Altamirano,ar ARG,MF,Newell's OB,20-095,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
31,Francisco Álvarez,ar ARG,DF,Arg Juniors,25-068,2000,15.9,0,11,1,9.1,0.69,0.06,0.00,0.00,15.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
32,Franco Amarfil,ar ARG,MF,Ind. Rivadavia,24-055,2001,14.5,0,11,3,27.3,0.76,0.21,0.00,0.00,22.1,0,0,0,1.1,1.1,0.10,-1.1,-1.1,Matches
33,Fabricio Amato,ar ARG,MF,Ind. Rivadavia,20-335,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
34,Santino Andino,ar ARG,"MF,FW",Godoy Cruz,19-192,2005,7.0,2,10,6,60.0,1.43,0.86,0.20,0.33,19.7,0,0,0,0.7,0.7,0.07,+1.3,+1.3,Matches
35,Isaías Andrada,ar ARG,"DF,MF",Vélez Sarsfield,22-082,2003,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
36,Juan Andrada,ar ARG,MF,Sarmiento,30-121,1995,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
37,Álvaro Angulo,co COL,DF,Independiente,27-336,1997,8.7,3,15,6,40.0,1.73,0.69,0.20,0.50,17.8,0,0,0,1.1,1.1,0.07,+1.9,+1.9,Matches
38,Luis Angulo,co COL,"FW,MF",Cen. Córdoba–SdE,21-043,2004,11.0,1,18,10,55.6,1.64,0.91,0.06,0.10,14.2,0,0,0,3.3,3.3,0.18,-2.3,-2.3,Matches
39,Federico Anselmo,ar ARG,FW,San Martín de San Juan,31-018,1994,8.9,1,23,4,17.4,2.57,0.45,0.04,0.25,14.4,0,0,0,2.4,2.4,0.10,-1.4,-1.4,Matches
40,Mateo Antoni,uy URU,MF,Arg Juniors,22-013,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
41,Dylan Aquino,ar ARG,FW,Lanús,19-335,2005,7.1,0,19,4,21.1,2.69,0.57,0.00,0.00,22.4,1,0,0,1.4,1.4,0.07,-1.4,-1.4,Matches
42,Ignacio Arce,ar ARG,GK,Deportivo Riestra,33-027,1992,16.0,0,1,0,0.0,0.06,0.00,0.00,,61.5,1,0,0,0.0,0.0,0.02,0.0,0.0,Matches
43,Lucas Arce,ar ARG,DF,Godoy Cruz,27-264,1997,9.7,0,9,1,11.1,0.93,0.10,0.00,0.00,23.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
44,Joaquín Ardaiz,uy URU,FW,Arg Juniors,26-114,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
45,Facundo Ardiles,ar ARG,DF,Godoy Cruz,26-225,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
46,Gabriel Arias,cl CHI,GK,Racing Club,37-234,1987,11.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
47,Ramón Arias,uy URU,DF,Tigre,32-282,1992,2.3,0,1,1,100.0,0.44,0.44,0.00,0.00,14.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
48,Franco Armani,ar ARG,GK,River Plate,38-201,1986,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
49,Blas Armoa,py PAR,FW,Tigre,25-091,2000,3.1,0,7,1,14.3,2.23,0.32,0.00,0.00,13.2,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches
50,Marcos Arturia,ar ARG,FW,Banfield,27-086,1998,5.2,1,14,3,21.4,2.68,0.57,0.07,0.33,19.5,1,0,0,1.5,1.5,0.11,-0.5,-0.5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
51,Santiago Arzamendia,py PAR,DF,Estudiantes–LP,27-000,1998,9.8,1,15,6,40.0,1.53,0.61,0.07,0.17,19.6,1,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
52,Santiago Ascacíbar,ar ARG,MF,Estudiantes–LP,28-069,1997,13.0,4,18,11,61.1,1.38,0.85,0.22,0.36,18.4,0,0,0,2.3,2.3,0.13,+1.7,+1.7,Matches
53,Jorge de Asís,ar ARG,MF,Gimnasia–LP,19-096,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
54,Agustín Auzmendi,ar ARG,FW,Godoy Cruz,28-093,1997,2.9,1,13,3,23.1,4.52,1.04,0.08,0.33,12.6,0,0,0,1.3,1.3,0.10,-0.3,-0.3,Matches
55,Carlos Auzqui,ar ARG,MF,Atlé Tucumán,34-050,1991,6.0,0,9,0,0.0,1.51,0.00,0.00,,22.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
56,Gabriel Ávalos,py PAR,FW,Independiente,34-205,1990,10.5,8,20,11,55.0,1.91,1.05,0.30,0.55,16.2,0,2,2,4.5,2.9,0.14,+3.5,+3.1,Matches
57,Elías Báez,ar ARG,DF,San Lorenzo,20-199,2004,15.2,0,11,3,27.3,0.72,0.20,0.00,0.00,27.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
58,Claudio Baeza,cl CHI,MF,Vélez Sarsfield,31-133,1993,3.5,0,2,0,0.0,0.57,0.00,0.00,,25.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
59,Mateo Bajamich,ar ARG,"FW,MF",Atlé Tucumán,25-275,1999,7.8,1,13,5,38.5,1.66,0.64,0.08,0.20,18.4,0,0,0,1.9,1.9,0.14,-0.9,-0.9,Matches
60,Kevin Balanta,co COL,DF,Defensa y Just,28-007,1997,4.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
61,Adrián Balboa,uy URU,FW,Racing Club,31-106,1994,6.2,3,20,5,25.0,3.24,0.81,0.15,0.60,13.1,0,0,0,3.6,3.6,0.18,-0.6,-0.6,Matches
62,Franco Baldassarra,ar ARG,MF,Platense,26-218,1998,1.7,0,3,1,33.3,1.74,0.58,0.00,0.00,28.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
63,Éver Banega,ar ARG,MF,Newell's OB,36-310,1988,13.8,1,13,3,23.1,0.94,0.22,0.08,0.33,30.0,7,0,1,1.5,0.7,0.05,-0.5,+0.3,Matches
64,Nahuel Banegas,ar ARG,DF,Tigre,28-211,1996,13.4,0,17,6,35.3,1.27,0.45,0.00,0.00,17.4,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
65,Juan Barbieri,ar ARG,FW,Ind. Rivadavia,28-230,1996,4.9,2,11,4,36.4,2.25,0.82,0.18,0.50,11.6,0,0,0,1.2,1.2,0.11,+0.8,+0.8,Matches
66,David Barbona,ar ARG,"MF,FW",Defensa y Just,30-072,1995,2.6,0,6,6,100.0,2.34,2.34,0.00,0.00,28.2,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
67,Juan Barinaga,ar ARG,DF,Boca Juniors,24-207,2000,2.3,0,2,0,0.0,0.88,0.00,0.00,,15.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
68,Williams Barlasina,ar ARG,GK,Aldosivi,26-310,1998,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
