Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 26_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25-120,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,25-120,2000,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21-357,2003,0.7,0,1,0,0.0,1.38,0.00,0.00,,24.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21-108,2004,1.0,0,1,0,0.0,1.02,0.00,0.00,,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,19-029,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-218,1987,10.9,0,2,1,50.0,0.18,0.09,0.00,0.00,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25-168,1999,28.6,6,27,7,25.9,0.94,0.24,0.11,0.43,23.0,0,3,4,6.0,2.8,0.11,0.0,+0.2,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,26-092,1999,9.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-135,1993,14.9,4,27,10,37.0,1.81,0.67,0.15,0.40,17.7,1,0,0,3.3,3.3,0.14,+0.7,+0.7,Matches
