Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Abner,br BRA,DF,Juventude,21-016,2004,5.5,0,1,0,0.0,0.18,0.00,0.00,,8.7,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
2,Nicolás Acevedo,uy URU,MF,Bahia,26-021,1999,1.7,0,1,0,0.0,0.60,0.00,0.00,,22.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
3,Adson,br BRA,"FW,MF",Vasco da Gama,24-211,2000,1.5,0,2,1,50.0,1.32,0.66,0.00,0.00,22.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
4,Braian Aguirre,ar ARG,DF,Internacional,24-281,2000,5.9,1,3,1,33.3,0.51,0.17,0.33,1.00,19.8,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches
5,Carlos Alberto,br BRA,"FW,DF",Sport Recife,23-021,2002,2.2,0,3,2,66.7,1.37,0.91,0.00,0.00,17.9,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches
6,Yuri Alberto,br BRA,FW,Corinthians,24-048,2001,6.5,4,17,7,41.2,2.62,1.08,0.18,0.43,16.2,0,1,1,3.6,2.8,0.16,+0.4,+0.2,Matches
7,José Aldo,br BRA,MF,Mirassol,26-284,1998,2.9,0,3,1,33.3,1.03,0.34,0.00,0.00,16.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
8,Caio Alexandre,br BRA,MF,Bahia,26-070,1999,4.9,0,2,0,0.0,0.41,0.00,0.00,,25.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
9,Matheus Alexandre,br BRA,DF,Sport Recife,26-028,1999,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
10,Alisson,br BRA,MF,São Paulo,31-314,1993,6.3,0,6,1,16.7,0.95,0.16,0.00,0.00,28.7,2,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
