Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Rodrigo Abascal,uy URU,DF,Boavista,31-111,1994,26,26,2329,25.9,0,0,0,0,0,0,7,1,0.8,0.8,1.5,2.3,10,56,17,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,Matches
2,Nelson Abbey,eng ENG,DF,Rio Ave,21-250,2003,8,7,635,7.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,7,14,7,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
3,Bilal Abdelrahman Zeeni,eg EGY,MF,Estrela,22-104,2003,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.18,0.81,0.98,0.18,0.98,Matches
4,Giorgi Aburjania,ge GEO,MF,AVS Futebol,30-123,1995,9,3,306,3.4,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,3,22,4,0.00,0.00,0.00,0.00,0.00,0.09,0.17,0.26,0.09,0.26,Matches
5,Adriano,br BRA,MF,Santa Clara,25-182,1999,30,29,2450,27.2,0,1,1,0,0,0,7,1,0.6,0.6,1.9,2.5,25,94,28,0.00,0.04,0.04,0.00,0.04,0.02,0.07,0.09,0.02,0.09,Matches
6,Lucas Áfrico,br BRA,DF,Farense,30-089,1995,20,19,1667,18.5,1,0,1,1,0,0,6,0,1.3,1.3,0.1,1.3,6,31,3,0.05,0.00,0.05,0.05,0.05,0.07,0.00,0.07,0.07,0.07,Matches
7,Salvador Agra,pt POR,"MF,DF",Boavista,33-175,1991,29,28,2497,27.7,1,2,3,1,0,0,9,1,1.2,1.2,4.0,5.2,54,64,137,0.04,0.07,0.11,0.04,0.11,0.04,0.14,0.19,0.04,0.19,Matches
8,Brandon Aguilera,cr CRC,"MF,FW",Rio Ave,21-311,2003,25,15,1378,15.3,3,1,4,3,0,0,4,0,1.4,1.4,2.2,3.6,26,72,44,0.20,0.07,0.26,0.20,0.26,0.09,0.14,0.23,0.09,0.23,Matches
9,Jorge Aguirre,es ESP,FW,Gil Vicente FC,25-120,2000,29,16,1317,14.6,3,2,5,3,0,0,2,1,3.6,3.6,2.1,5.6,5,22,64,0.21,0.14,0.34,0.21,0.34,0.24,0.14,0.38,0.24,0.38,Matches
10,Babatunde Akinsola,ng NGA,"MF,FW",AVS Futebol,22-056,2003,27,8,926,10.3,2,1,3,2,0,0,0,0,2.3,2.3,0.7,3.0,37,28,68,0.19,0.10,0.29,0.19,0.29,0.23,0.07,0.29,0.23,0.29,Matches
11,Kerem Aktürkoğlu,tr TUR,"FW,MF",Benfica,26-196,1998,28,23,1862,20.7,10,9,19,10,0,0,2,0,9.0,9.0,7.4,16.3,58,64,188,0.48,0.44,0.92,0.48,0.92,0.43,0.36,0.79,0.43,0.79,Matches
12,Léo Alaba,br BRA,DF,AVS Futebol,25-308,1999,4,4,334,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,12,20,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
13,Alan,br BRA,MF,Moreirense,25-058,2000,29,29,2333,25.9,6,5,11,1,5,5,5,0,6.0,2.1,3.8,5.8,45,151,93,0.23,0.19,0.42,0.04,0.23,0.23,0.15,0.38,0.08,0.23,Matches
14,Gonçalo Almeida,pt POR,"DF,MF",Boavista,21-364,2003,19,9,814,9.0,0,0,0,0,0,0,1,0,0.7,0.7,0.9,1.6,12,18,43,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.17,0.08,0.17,Matches
15,Pedro Álvaro,pt POR,DF,Estoril,25-064,2000,30,30,2578,28.6,1,1,2,1,0,0,8,0,0.9,0.9,0.3,1.3,8,55,5,0.03,0.03,0.07,0.03,0.07,0.03,0.01,0.04,0.03,0.04,Matches
16,Pedro Amaral,pt POR,"DF,MF",Estoril,27-253,1997,27,25,2234,24.8,0,2,2,0,0,0,3,0,0.7,0.7,2.1,2.8,30,95,98,0.00,0.08,0.08,0.00,0.08,0.03,0.08,0.11,0.03,0.11,Matches
17,Zeki Amdouni,ch SUI,"MF,FW",Benfica,24-152,2000,24,9,854,9.5,7,2,9,7,0,0,1,0,5.2,5.2,3.4,8.6,23,33,66,0.74,0.21,0.95,0.74,0.95,0.55,0.36,0.90,0.55,0.90,Matches
18,Artur Jorge Marques Amorim,pt POR,DF,Farense,30-264,1994,18,15,1280,14.2,0,1,1,0,0,0,8,0,0.9,0.9,0.3,1.2,1,22,1,0.00,0.07,0.07,0.00,0.07,0.07,0.02,0.09,0.07,0.09,Matches
19,Andrew,br BRA,GK,Gil Vicente FC,23-308,2001,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
20,Jeremy Antonisse,cw CUW,"FW,MF",Moreirense,23-037,2002,27,7,811,9.0,0,0,0,0,0,0,2,0,1.6,1.6,1.1,2.7,22,12,45,0.00,0.00,0.00,0.00,0.00,0.18,0.12,0.29,0.18,0.29,Matches
21,Arvin Appiah,eng ENG,"DF,FW",Nacional,24-120,2001,25,15,1294,14.4,0,0,0,0,0,0,3,0,0.9,0.9,0.7,1.6,32,34,61,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11,Matches
22,Óscar Aranda,es ESP,FW,Famalicão,23-006,2002,31,31,2445,27.2,9,3,12,5,4,5,5,0,7.1,3.2,2.3,5.5,63,121,132,0.33,0.11,0.44,0.18,0.29,0.26,0.09,0.35,0.12,0.20,Matches
23,Henrique Araújo,pt POR,FW,Arouca,23-106,2002,22,12,957,10.6,5,1,6,2,3,3,3,0,5.9,3.2,0.5,3.8,12,21,45,0.47,0.09,0.56,0.19,0.28,0.56,0.05,0.60,0.30,0.35,Matches
24,Maximiliano Araújo,uy URU,"DF,MF",Sporting CP,25-079,2000,26,17,1600,17.8,3,3,6,3,0,0,7,1,2.5,2.5,3.8,6.3,44,84,185,0.17,0.17,0.34,0.17,0.34,0.14,0.21,0.36,0.14,0.36,Matches
25,Tomás Araújo,pt POR,DF,Benfica,22-354,2002,26,26,2169,24.1,1,2,3,1,0,0,1,0,1.0,1.0,0.9,1.9,35,125,50,0.04,0.08,0.12,0.04,0.12,0.04,0.04,0.08,0.04,0.08,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Telmo Arcanjo,cv CPV,FW,Vitória,23-318,2001,27,16,1230,13.7,5,2,7,5,0,0,5,0,3.5,3.5,2.3,5.9,43,52,114,0.37,0.15,0.51,0.37,0.51,0.26,0.17,0.43,0.26,0.43,Matches
27,Gboly Ariyibi,us USA,"FW,MF",Boavista,30-107,1995,8,2,279,3.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,8,7,18,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
28,Henrique Arreiol,pt POR,MF,Sporting CP,19-318,2005,3,0,24,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.42,0.42,0.42,Matches
