Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Lucas Abascia,ar ARG,DF,Cen. Córdoba–SdE,29-146,1995,8,5,523,5.8,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,1,23,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Matches
2,Luciano Abecasis,ar ARG,DF,Ind. Rivadavia,34-335,1990,1,1,90,1.0,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,3,3,5,0.00,1.00,1.00,0.00,1.00,0.09,0.17,0.26,0.09,0.26,Matches
3,Ramón Ábila,ar ARG,FW,Huracán,35-203,1989,8,0,151,1.7,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,4,13,0.00,0.00,0.00,0.00,0.00,0.14,0.10,0.24,0.14,0.24,Matches
4,Ignacio Abraham,sy SYR,DF,Banfield,27-113,1998,5,4,371,4.1,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,6,13,18,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.10,0.06,0.10,Matches
5,Gonzalo Abrego,ar ARG,MF,Godoy Cruz,25-118,2000,14,9,840,9.3,0,0,0,0,0,0,2,0,0.8,0.8,1.1,1.9,7,59,30,0.00,0.00,0.00,0.00,0.00,0.08,0.12,0.19,0.08,0.19,Matches
6,Jonás Acevedo,ar ARG,"MF,FW",Instituto,28-088,1997,11,7,640,7.1,1,0,1,1,0,0,1,0,1.1,1.1,0.9,1.9,9,28,40,0.14,0.00,0.14,0.14,0.14,0.15,0.12,0.27,0.15,0.27,Matches
7,Juan Achetoni,ar ARG,FW,Aldosivi,20-055,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
8,Guillermo Acosta,ar ARG,MF,Atlé Tucumán,36-186,1988,14,11,895,9.9,0,1,1,0,0,0,3,0,0.3,0.3,0.9,1.3,7,61,10,0.00,0.10,0.10,0.00,0.10,0.04,0.09,0.13,0.04,0.13,Matches
9,Lautaro Acosta,ar ARG,FW,Lanús,37-052,1988,3,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,Matches
10,Lucas Acosta,ar ARG,"FW,DF",San Martín de San Juan,19-351,2005,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
11,Lucas Acosta,ar ARG,GK,Sarmiento,30-054,1995,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
12,Marcos Acuña,ar ARG,DF,River Plate,33-189,1991,13,12,1010,11.2,0,1,1,0,0,0,4,0,0.4,0.4,1.5,1.9,28,65,57,0.00,0.09,0.09,0.00,0.09,0.04,0.14,0.17,0.04,0.17,Matches
13,Valentino Acuña,ar ARG,"FW,DF",Newell's OB,19-098,2006,4,0,97,1.1,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,0,2,1,0.93,0.00,0.93,0.93,0.93,0.40,0.00,0.40,0.40,0.40,Matches
14,Tomás Adoryán,ar ARG,MF,Banfield,23-225,2001,11,7,479,5.3,1,0,1,1,0,0,3,0,1.1,1.1,0.2,1.3,11,29,16,0.19,0.00,0.19,0.19,0.19,0.20,0.03,0.24,0.20,0.24,Matches
15,Luis Advíncula,pe PER,DF,Boca Juniors,35-064,1990,13,7,743,8.3,1,1,2,1,0,0,2,0,0.7,0.7,0.7,1.4,16,30,38,0.12,0.12,0.24,0.12,0.24,0.08,0.08,0.16,0.08,0.16,Matches
16,Alan Aguerre,ar ARG,GK,Cen. Córdoba–SdE,34-255,1990,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
17,Emanuel Aguilera,ar ARG,DF,Defensa y Just,35-328,1989,13,12,998,11.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,38,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
18,Brian Aguirre,ar ARG,FW,Boca Juniors,21-338,2003,6,1,121,1.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,7,4,10,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
19,Manuel Agustín Duarte,ar ARG,"MF,FW",Barracas Central,23-255,2001,11,5,389,4.3,1,0,1,1,0,0,1,0,0.5,0.5,0.4,0.9,10,13,19,0.23,0.00,0.23,0.23,0.23,0.12,0.08,0.21,0.12,0.21,Matches
20,Gabriel Alanís,ar ARG,FW,Huracán,31-050,1994,13,12,927,10.3,0,0,0,0,0,0,0,0,0.7,0.7,1.3,2.0,12,7,64,0.00,0.00,0.00,0.00,0.00,0.07,0.13,0.19,0.07,0.19,Matches
21,Agustín Alaniz,uy URU,"FW,MF",Banfield,22-354,2002,15,11,1000,11.1,2,2,4,2,0,0,1,0,1.7,1.7,1.9,3.7,34,23,63,0.18,0.18,0.36,0.18,0.36,0.16,0.17,0.33,0.16,0.33,Matches
22,Fernando Alarcón,ar ARG,DF,Instituto,30-323,1994,16,16,1440,16.0,0,1,1,0,0,0,5,0,0.6,0.6,0.2,0.8,5,35,3,0.00,0.06,0.06,0.00,0.06,0.04,0.01,0.05,0.04,0.05,Matches
23,William Alarcón,cl CHI,MF,Boca Juniors,24-166,2000,8,5,437,4.9,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.6,5,31,14,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.12,0.05,0.12,Matches
24,Lucas Alario,ar ARG,FW,Estudiantes–LP,32-209,1992,12,7,601,6.7,1,0,1,0,1,1,2,0,1.5,0.7,1.0,1.7,2,6,23,0.15,0.00,0.15,0.00,0.00,0.23,0.14,0.37,0.11,0.25,Matches
25,Franco Alfonso,ar ARG,"FW,MF",Cen. Córdoba–SdE,23-001,2002,5,1,198,2.2,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.7,9,11,17,0.00,0.00,0.00,0.00,0.00,0.31,0.02,0.33,0.31,0.33,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Rodrigo Aliendro,ar ARG,MF,River Plate,34-078,1991,11,5,482,5.4,1,0,1,1,0,0,2,0,1.2,1.2,0.8,2.0,7,44,26,0.19,0.00,0.19,0.19,0.19,0.23,0.15,0.38,0.23,0.38,Matches
27,Agustín Almendra,ar ARG,MF,Racing Club,25-083,2000,13,12,826,9.2,0,0,0,0,0,0,1,0,0.4,0.4,0.7,1.1,4,63,10,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12,Matches
28,Antony Alonso,ar ARG,"MF,FW",Deportivo Riestra,26-359,1998,14,9,566,6.3,3,1,4,3,0,0,1,0,1.3,1.3,0.7,2.0,4,6,19,0.48,0.16,0.64,0.48,0.64,0.20,0.12,0.32,0.20,0.32,Matches
29,Facundo Altamira,,"FW,MF",Godoy Cruz,,,10,7,526,5.8,1,0,1,1,0,0,1,0,0.2,0.2,0.2,0.4,20,7,31,0.17,0.00,0.17,0.17,0.17,0.03,0.03,0.07,0.03,0.07,Matches
30,Pablo Altamirano,ar ARG,MF,Newell's OB,20-095,2005,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
31,Francisco Álvarez,ar ARG,DF,Arg Juniors,25-068,2000,16,16,1435,15.9,0,2,2,0,0,0,3,0,0.3,0.3,0.1,0.5,19,65,2,0.00,0.13,0.13,0.00,0.13,0.02,0.01,0.03,0.02,0.03,Matches
32,Franco Amarfil,ar ARG,MF,Ind. Rivadavia,24-055,2001,15,15,1309,14.5,0,1,1,0,0,0,6,0,1.1,1.1,0.3,1.5,13,70,26,0.00,0.07,0.07,0.00,0.07,0.08,0.02,0.10,0.08,0.10,Matches
33,Fabricio Amato,ar ARG,MF,Ind. Rivadavia,20-335,2004,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
34,Santino Andino,ar ARG,"MF,FW",Godoy Cruz,19-192,2005,11,7,630,7.0,2,0,2,2,0,0,3,0,0.7,0.7,0.4,1.1,27,14,59,0.29,0.00,0.29,0.29,0.29,0.10,0.06,0.16,0.10,0.16,Matches
35,Isaías Andrada,ar ARG,"DF,MF",Vélez Sarsfield,22-082,2003,4,1,165,1.8,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,1,12,10,0.00,0.55,0.55,0.00,0.55,0.00,0.09,0.09,0.00,0.09,Matches
36,Juan Andrada,ar ARG,MF,Sarmiento,30-121,1995,3,1,101,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
37,Álvaro Angulo,co COL,DF,Independiente,27-336,1997,14,7,779,8.7,3,0,3,3,0,0,4,0,1.1,1.1,0.4,1.5,25,49,72,0.35,0.00,0.35,0.35,0.35,0.13,0.04,0.17,0.13,0.17,Matches
38,Luis Angulo,co COL,"FW,MF",Cen. Córdoba–SdE,21-043,2004,16,13,989,11.0,1,4,5,1,0,0,4,0,3.3,3.3,2.8,6.1,43,23,105,0.09,0.36,0.46,0.09,0.46,0.30,0.25,0.55,0.30,0.55,Matches
39,Federico Anselmo,ar ARG,FW,San Martín de San Juan,31-018,1994,12,8,805,8.9,1,0,1,1,0,0,1,0,2.4,2.4,0.4,2.7,5,12,11,0.11,0.00,0.11,0.11,0.11,0.27,0.04,0.31,0.27,0.31,Matches
40,Mateo Antoni,uy URU,MF,Arg Juniors,22-013,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
41,Dylan Aquino,ar ARG,FW,Lanús,19-335,2005,15,5,635,7.1,0,0,0,0,0,0,1,0,1.4,1.4,1.1,2.5,26,28,62,0.00,0.00,0.00,0.00,0.00,0.20,0.15,0.35,0.20,0.35,Matches
42,Ignacio Arce,ar ARG,GK,Deportivo Riestra,33-027,1992,16,16,1440,16.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
43,Lucas Arce,ar ARG,DF,Godoy Cruz,27-264,1997,14,9,872,9.7,0,1,1,0,0,0,1,0,0.3,0.3,1.8,2.1,15,48,29,0.00,0.10,0.10,0.00,0.10,0.03,0.18,0.22,0.03,0.22,Matches
44,Joaquín Ardaiz,uy URU,FW,Arg Juniors,26-114,1999,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
45,Facundo Ardiles,ar ARG,DF,Godoy Cruz,26-225,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
46,Gabriel Arias,cl CHI,GK,Racing Club,37-234,1987,12,12,1016,11.3,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
47,Ramón Arias,uy URU,DF,Tigre,32-282,1992,5,2,203,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
48,Franco Armani,ar ARG,GK,River Plate,38-201,1986,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
49,Blas Armoa,py PAR,FW,Tigre,25-091,2000,8,3,282,3.1,0,1,1,0,0,0,0,0,0.7,0.7,0.0,0.7,13,4,25,0.00,0.32,0.32,0.00,0.32,0.22,0.01,0.23,0.22,0.23,Matches
50,Marcos Arturia,ar ARG,FW,Banfield,27-086,1998,13,5,470,5.2,1,0,1,1,0,0,3,0,1.5,1.5,0.4,1.9,7,5,23,0.19,0.00,0.19,0.19,0.19,0.28,0.07,0.34,0.28,0.34,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Santiago Arzamendia,py PAR,DF,Estudiantes–LP,27-000,1998,12,10,883,9.8,1,0,1,1,0,0,6,1,1.2,1.2,0.6,1.8,11,29,45,0.10,0.00,0.10,0.10,0.10,0.12,0.06,0.19,0.12,0.19,Matches
52,Santiago Ascacíbar,ar ARG,MF,Estudiantes–LP,28-069,1997,13,13,1170,13.0,4,1,5,4,0,0,6,0,2.3,2.3,1.0,3.3,13,76,33,0.31,0.08,0.38,0.31,0.38,0.17,0.08,0.25,0.17,0.25,Matches
53,Jorge de Asís,ar ARG,MF,Gimnasia–LP,19-096,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
54,Agustín Auzmendi,ar ARG,FW,Godoy Cruz,28-093,1997,7,2,259,2.9,1,0,1,1,0,0,0,0,1.3,1.3,0.1,1.4,0,4,17,0.35,0.00,0.35,0.35,0.35,0.45,0.02,0.47,0.45,0.47,Matches
55,Carlos Auzqui,ar ARG,MF,Atlé Tucumán,34-050,1991,9,6,536,6.0,0,1,1,0,0,0,0,0,0.2,0.2,0.8,1.0,5,19,35,0.00,0.17,0.17,0.00,0.17,0.04,0.13,0.17,0.04,0.17,Matches
56,Gabriel Ávalos,py PAR,FW,Independiente,34-205,1990,14,12,944,10.5,8,1,9,6,2,2,2,0,4.5,2.9,0.6,3.5,9,17,47,0.76,0.10,0.86,0.57,0.67,0.43,0.06,0.48,0.27,0.33,Matches
57,Elías Báez,ar ARG,DF,San Lorenzo,20-199,2004,16,16,1368,15.2,0,1,1,0,0,0,3,0,0.3,0.3,0.7,1.0,20,69,52,0.00,0.07,0.07,0.00,0.07,0.02,0.05,0.06,0.02,0.06,Matches
58,Claudio Baeza,cl CHI,MF,Vélez Sarsfield,31-133,1993,6,3,318,3.5,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,1,10,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
59,Mateo Bajamich,ar ARG,"FW,MF",Atlé Tucumán,25-275,1999,15,7,706,7.8,1,1,2,1,0,0,0,0,1.9,1.9,0.7,2.5,16,27,54,0.13,0.13,0.25,0.13,0.25,0.24,0.08,0.32,0.24,0.32,Matches
60,Kevin Balanta,co COL,DF,Defensa y Just,28-007,1997,5,5,421,4.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,14,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
61,Adrián Balboa,uy URU,FW,Racing Club,31-106,1994,13,5,556,6.2,3,0,3,3,0,0,2,0,3.6,3.6,0.1,3.6,2,9,25,0.49,0.00,0.49,0.49,0.49,0.58,0.01,0.59,0.58,0.59,Matches
62,Franco Baldassarra,ar ARG,MF,Platense,26-218,1998,4,1,155,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,5,3,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
63,Éver Banega,ar ARG,MF,Newell's OB,36-310,1988,15,14,1246,13.8,1,4,5,1,0,1,7,0,1.5,0.7,4.7,5.4,33,131,25,0.07,0.29,0.36,0.07,0.36,0.11,0.34,0.45,0.05,0.39,Matches
64,Nahuel Banegas,ar ARG,DF,Tigre,28-211,1996,14,14,1205,13.4,0,1,1,0,0,0,5,0,1.0,1.0,1.8,2.8,26,67,84,0.00,0.07,0.07,0.00,0.07,0.08,0.14,0.21,0.08,0.21,Matches
65,Juan Barbieri,ar ARG,FW,Ind. Rivadavia,28-230,1996,11,3,440,4.9,2,1,3,2,0,0,1,0,1.2,1.2,0.2,1.4,3,9,24,0.41,0.20,0.61,0.41,0.61,0.24,0.04,0.29,0.24,0.29,Matches
66,David Barbona,ar ARG,"MF,FW",Defensa y Just,30-072,1995,8,1,231,2.6,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.3,14,27,17,0.00,0.00,0.00,0.00,0.00,0.13,0.39,0.52,0.13,0.52,Matches
