Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Abner,br BRA,DF,Juventude,21-016,2004,6,5,495,5.5,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,3,4,1,0.00,0.18,0.18,0.00,0.18,0.02,0.03,0.05,0.02,0.05,Matches
2,Nicolás Acevedo,uy URU,MF,Bahia,26-021,1999,4,1,150,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,13,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
3,Adson,br BRA,"FW,MF",Vasco da Gama,24-211,2000,5,0,136,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,7,11,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.10,0.04,0.10,Matches
4,Braian Aguirre,ar ARG,DF,Internacional,24-281,2000,6,6,528,5.9,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,5,21,28,0.17,0.00,0.17,0.17,0.17,0.04,0.02,0.06,0.04,0.06,Matches
5,Carlos Alberto,br BRA,"FW,DF",Sport Recife,23-021,2002,6,2,197,2.2,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,3,8,14,0.00,0.00,0.00,0.00,0.00,0.23,0.03,0.26,0.23,0.26,Matches
6,Yuri Alberto,br BRA,FW,Corinthians,24-048,2001,7,7,583,6.5,4,1,5,3,1,1,2,0,3.6,2.8,0.8,3.6,9,9,41,0.62,0.15,0.77,0.46,0.62,0.55,0.12,0.68,0.43,0.56,Matches
7,José Aldo,br BRA,MF,Mirassol,26-284,1998,5,3,261,2.9,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,1,24,6,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10,Matches
8,Caio Alexandre,br BRA,MF,Bahia,26-070,1999,6,6,440,4.9,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,2,24,5,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
9,Matheus Alexandre,br BRA,DF,Sport Recife,26-028,1999,3,1,132,1.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,3,6,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
10,Alisson,br BRA,MF,São Paulo,31-314,1993,7,7,568,6.3,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,9,39,3,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
11,Allan,br BRA,MF,Flamengo,28-063,1997,4,1,106,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,9,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
12,Allan,br BRA,MF,Palmeiras,21-016,2004,3,0,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
13,Allan,br BRA,MF,Botafogo (RJ),34-117,1991,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
14,Allanzinho,br BRA,"MF,FW",Fortaleza,25-031,2000,3,1,111,1.2,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,6,1,12,0.00,0.81,0.81,0.00,0.81,0.06,0.27,0.33,0.06,0.33,Matches
15,Júnior Alonso,py PAR,DF,Atlético Mineiro,32-085,1993,6,6,514,5.7,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,6,37,5,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05,Matches
16,Matheus Alves,br BRA,"MF,FW",São Paulo,20-061,2005,6,3,292,3.2,0,1,1,0,0,0,3,0,0.3,0.3,0.7,1.0,6,11,16,0.00,0.31,0.31,0.00,0.31,0.09,0.20,0.29,0.09,0.29,Matches
17,Francis Amuzu,be BEL,FW,Grêmio,25-255,1999,4,3,275,3.1,0,0,0,0,0,0,1,0,0.4,0.4,0.5,0.9,15,11,27,0.00,0.00,0.00,0.00,0.00,0.14,0.17,0.30,0.14,0.30,Matches
18,Felipe Anderson,br BRA,"DF,MF",Palmeiras,32-020,1993,7,6,410,4.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,8,15,22,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches
19,Kervin Andrade,ve VEN,"FW,MF",Fortaleza,20-022,2005,3,0,65,0.7,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,5,3,13,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,Matches
20,José Andrés Martínez,ve VEN,MF,Corinthians,30-271,1994,5,2,215,2.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,2,14,6,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
21,Wilker Ángel,ve VEN,DF,Juventude,32-048,1993,2,1,92,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
22,Fabrizio Angileri,ar ARG,DF,Corinthians,31-051,1994,4,3,296,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,19,10,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.03,Matches
23,Anthoni,br BRA,GK,Internacional,23-102,2002,7,6,585,6.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
24,Marcos Antônio,br BRA,MF,São Paulo,24-326,2000,6,5,443,4.9,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,6,21,12,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
25,Guilherme Arana,br BRA,DF,Atlético Mineiro,28-021,1997,3,3,251,2.8,0,0,0,0,0,0,1,0,0.6,0.6,1.0,1.6,14,23,27,0.00,0.00,0.00,0.00,0.00,0.23,0.34,0.57,0.23,0.57,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Luiz Araújo,br BRA,"FW,MF",Flamengo,28-337,1996,6,1,165,1.8,0,1,1,0,0,0,0,0,0.2,0.2,0.7,0.9,7,7,14,0.00,0.55,0.55,0.00,0.55,0.10,0.41,0.51,0.10,0.51,Matches
27,Matheus Araújo,br BRA,"MF,FW",Ceará,22-348,2002,5,1,160,1.8,1,1,2,1,0,0,0,0,0.5,0.5,0.5,1.0,7,6,12,0.56,0.56,1.13,0.56,1.13,0.29,0.30,0.58,0.29,0.58,Matches
28,Michel Araujo,uy URU,DF,Bahia,28-219,1996,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,1.38,1.38,0.00,1.38,Matches
29,Alexander Aravena,cl CHI,"FW,MF",Grêmio,22-241,2002,3,0,57,0.6,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.8,1,0,6,0.00,0.00,0.00,0.00,0.00,0.85,0.36,1.21,0.85,1.21,Matches
30,Robert Arboleda,ec ECU,DF,São Paulo,33-195,1991,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
31,Lucas Arcanjo,br BRA,GK,Vitória,26-270,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
32,Matias Arezo,uy URU,FW,Grêmio,22-165,2002,4,2,181,2.0,1,1,2,1,0,0,1,0,0.8,0.8,0.2,1.1,3,3,13,0.50,0.50,0.99,0.50,0.99,0.42,0.11,0.53,0.42,0.53,Matches
33,Jhon Arias,co COL,FW,Fluminense,27-226,1997,7,7,629,7.0,1,3,4,0,1,1,1,0,1.6,0.8,2.1,3.0,34,36,75,0.14,0.43,0.57,0.00,0.43,0.23,0.31,0.54,0.12,0.43,Matches
34,Santiago Arias,co COL,DF,Bahia,33-112,1992,2,1,85,0.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,3,10,0.00,0.00,0.00,0.00,0.00,0.20,0.04,0.24,0.20,0.24,Matches
35,Arthur,br BRA,FW,Sport Recife,22-054,2003,6,1,200,2.2,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,1,1,11,0.00,0.00,0.00,0.00,0.00,0.14,0.13,0.27,0.14,0.27,Matches
36,Artur,br BRA,"FW,MF",Botafogo (RJ),27-079,1998,7,6,507,5.6,0,2,2,0,0,0,1,0,1.4,1.4,0.7,2.1,19,18,53,0.00,0.36,0.36,0.00,0.36,0.25,0.12,0.37,0.25,0.37,Matches
37,Rodrigo Atencio,ar ARG,FW,Sport Recife,22-309,2002,3,1,137,1.5,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,7,14,0.00,0.00,0.00,0.00,0.00,0.25,0.03,0.27,0.25,0.27,Matches
38,Loide Augusto,ao ANG,"FW,MF",Vasco da Gama,25-068,2000,4,2,146,1.6,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,10,3,14,0.00,0.00,0.00,0.00,0.00,0.23,0.05,0.28,0.23,0.28,Matches
39,Leo Augusto Pereira,br BRA,"FW,MF",Vitória,24-310,2000,4,0,125,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,0,8,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,Matches
40,Aylon,br BRA,FW,Ceará,33-028,1992,5,3,217,2.4,1,0,1,1,0,0,0,0,1.7,1.7,0.0,1.7,3,6,13,0.41,0.00,0.41,0.41,0.41,0.71,0.01,0.71,0.71,0.71,Matches
41,Matheus Babi,br BRA,FW,Juventude,27-291,1997,3,1,89,1.0,1,0,1,1,0,0,0,0,1.1,1.1,0.1,1.2,0,1,7,1.01,0.00,1.01,1.01,1.01,1.10,0.07,1.17,1.10,1.17,Matches
42,Matheus Bahia,br BRA,DF,Ceará,25-267,1999,5,5,439,4.9,0,1,1,0,0,0,2,0,0.1,0.1,0.7,0.9,3,11,28,0.00,0.21,0.21,0.00,0.21,0.03,0.15,0.18,0.03,0.18,Matches
43,Gabriel Baralhas,br BRA,MF,Vitória,26-207,1998,5,4,380,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.3,0,17,6,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
44,Danilo Barbosa,br BRA,DF,Botafogo (RJ),29-066,1996,1,0,22,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
45,Diogo Barbosa,br BRA,"DF,FW",Fortaleza,32-261,1992,4,3,262,2.9,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.3,3,7,15,0.34,0.00,0.34,0.34,0.34,0.08,0.01,0.09,0.08,0.09,Matches
46,Gabriel Barbosa,br BRA,FW,Cruzeiro,28-248,1996,5,2,194,2.2,2,0,2,2,0,1,0,0,1.3,0.5,0.0,0.5,0,2,7,0.93,0.00,0.93,0.93,0.93,0.62,0.00,0.62,0.25,0.25,Matches
47,Lucas Barbosa,br BRA,FW,RB Bragantino,24-072,2001,6,4,303,3.4,0,1,1,0,0,0,1,0,0.7,0.7,0.2,0.9,4,9,19,0.00,0.30,0.30,0.00,0.30,0.21,0.07,0.28,0.21,0.28,Matches
48,Alexander Barboza,ar ARG,DF,Botafogo (RJ),30-050,1995,5,5,450,5.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,8,23,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
49,Chrystian Barletta,br BRA,FW,Sport Recife,23-304,2001,7,6,490,5.4,1,0,1,1,0,0,0,0,0.7,0.7,0.3,1.0,23,17,49,0.18,0.00,0.18,0.18,0.18,0.14,0.06,0.19,0.14,0.19,Matches
50,Álvaro Barreal,ar ARG,"FW,MF",Santos,24-261,2000,4,4,263,2.9,2,0,2,2,0,0,0,0,1.9,1.9,0.9,2.8,4,9,21,0.68,0.00,0.68,0.68,0.68,0.65,0.30,0.95,0.65,0.95,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Enmerson Batalla,co COL,"MF,FW",Juventude,23-309,2001,6,6,416,4.6,2,1,3,2,0,0,2,0,0.7,0.7,0.3,1.0,11,9,24,0.43,0.22,0.65,0.43,0.65,0.15,0.07,0.22,0.15,0.22,Matches
52,Paulo Baya,br BRA,MF,Fluminense,25-283,1999,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
53,José Luis Rodríguez Bebanz,uy URU,DF,Vasco da Gama,28-052,1997,2,1,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,12,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
54,Luis Benedetti,br BRA,DF,Palmeiras,18-332,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.07,0.06,0.07,Matches
55,Alexandro Bernabei,ar ARG,DF,Internacional,24-223,2000,6,6,530,5.9,0,2,2,0,0,0,1,0,0.2,0.2,1.3,1.5,14,22,45,0.00,0.34,0.34,0.00,0.34,0.04,0.21,0.25,0.04,0.25,Matches
56,Facundo Bernal,uy URU,MF,Fluminense,21-257,2003,5,2,214,2.4,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,2,7,2,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.08,0.06,0.08,Matches
57,Bernard,br BRA,"MF,FW",Atlético Mineiro,32-239,1992,6,0,123,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.4,8,16,14,0.00,0.00,0.00,0.00,0.00,0.03,0.24,0.27,0.03,0.27,Matches
58,Matheus Bidu,br BRA,"DF,MF",Corinthians,26-001,1999,3,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.0,1.1,1.1,2,9,10,0.00,0.50,0.50,0.00,0.50,0.01,0.53,0.54,0.01,0.54,Matches
59,Damián Bobadilla,py PAR,MF,São Paulo,23-298,2001,4,2,239,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,0,19,2,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.12,0.06,0.12,Matches
60,Yannick Bolasie,cd COD,FW,Cruzeiro,35-346,1989,3,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
61,Gabriel Bontempo,br BRA,MF,Santos,20-109,2005,6,4,355,3.9,0,1,1,0,0,0,0,0,0.8,0.8,1.0,1.8,5,14,10,0.00,0.25,0.25,0.00,0.25,0.19,0.26,0.45,0.19,0.45,Matches
62,Thiago Borbas,uy URU,"MF,FW",RB Bragantino,23-028,2002,2,0,33,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
63,Daniel Borges,br BRA,DF,Mirassol,32-043,1993,4,2,220,2.4,2,0,2,2,0,0,2,0,0.3,0.3,0.2,0.5,1,4,6,0.82,0.00,0.82,0.82,0.82,0.13,0.08,0.22,0.13,0.22,Matches
64,Marllon Borges,br BRA,DF,Ceará,33-019,1992,7,7,630,7.0,2,0,2,2,0,0,0,0,0.1,0.1,0.0,0.1,0,10,1,0.29,0.00,0.29,0.29,0.29,0.02,0.00,0.02,0.02,0.02,Matches
65,Rafael Borré,co COL,"FW,MF",Internacional,29-232,1995,6,2,215,2.4,2,0,2,2,0,0,0,0,0.5,0.5,0.1,0.6,2,0,14,0.84,0.00,0.84,0.84,0.84,0.21,0.04,0.24,0.21,0.24,Matches
66,Lucas Braga,br BRA,FW,Vitória,28-176,1996,3,1,82,0.9,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,1,6,5,1.10,0.00,1.10,1.10,1.10,0.42,0.00,0.42,0.42,0.42,Matches
67,Martin Braithwaite,dk DEN,FW,Grêmio,33-334,1991,5,5,432,4.8,1,0,1,1,0,0,2,0,0.9,0.9,0.1,1.0,3,9,22,0.21,0.00,0.21,0.21,0.21,0.19,0.02,0.21,0.19,0.21,Matches
68,Gabriel Brazão,br BRA,GK,Santos,24-212,2000,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
69,Breno,br BRA,FW,Fortaleza,29-101,1996,2,2,113,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.8,7,4,1,0.00,0.00,0.00,0.00,0.00,0.35,0.27,0.62,0.35,0.62,Matches
70,Breno,br BRA,MF,Corinthians,20-074,2005,6,6,504,5.6,0,1,1,0,0,0,2,0,0.1,0.1,0.3,0.4,8,36,11,0.00,0.18,0.18,0.00,0.18,0.02,0.05,0.07,0.02,0.07,Matches
71,Bruninho,br BRA,MF,Fortaleza,19-328,2005,1,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,3,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.12,0.03,0.12,Matches
