Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Patrick van Aanholt,nl NED,DF,Sparta R'dam,34-249,1990,19,19,1565,17.4,0,0,0,0,0,0,4,0,0.6,0.6,1.2,1.9,37,84,64,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11,Matches
2,Paxten Aaronson,us USA,"MF,FW",Utrecht,21-252,2003,30,28,2490,27.7,7,4,11,7,0,0,8,0,4.9,4.9,2.8,7.6,47,112,72,0.25,0.14,0.40,0.25,0.40,0.18,0.10,0.28,0.18,0.28,Matches
3,Jayden Addai,nl NED,"FW,DF",AZ Alkmaar,19-252,2005,16,3,308,3.4,1,0,1,1,0,0,1,0,1.0,1.0,0.4,1.4,18,14,41,0.29,0.00,0.29,0.29,0.29,0.29,0.12,0.41,0.29,0.41,Matches
4,Bobby Adekanye,nl NED,"FW,MF",Go Ahead Eag,26-080,1999,13,10,778,8.6,1,0,1,1,0,0,2,0,1.3,1.3,0.9,2.2,31,22,60,0.12,0.00,0.12,0.12,0.12,0.15,0.11,0.26,0.15,0.26,Matches
5,Aske Adelgaard,dk DEN,DF,Go Ahead Eag,21-176,2003,21,13,1134,12.6,0,1,1,0,0,0,5,0,0.3,0.3,0.9,1.2,25,37,59,0.00,0.08,0.08,0.00,0.08,0.02,0.07,0.09,0.02,0.09,Matches
6,Shawn Adewoye,be BEL,DF,Fortuna Sittard,24-310,2000,24,20,1748,19.4,1,0,1,1,0,0,3,0,1.5,1.5,0.1,1.6,13,59,0,0.05,0.00,0.05,0.05,0.05,0.08,0.01,0.08,0.08,0.08,Matches
7,Olivier Aertssen,nl NED,DF,Zwolle,20-271,2004,20,14,1116,12.4,1,0,1,1,0,0,0,0,0.6,0.6,0.6,1.2,13,47,19,0.08,0.00,0.08,0.08,0.08,0.05,0.05,0.10,0.05,0.10,Matches
8,Amar Ahmed,se SWE,"FW,MF",Willem II,21-075,2004,21,5,685,7.6,1,0,1,1,0,0,3,0,0.7,0.7,0.9,1.7,34,21,53,0.13,0.00,0.13,0.13,0.13,0.10,0.12,0.22,0.10,0.22,Matches
9,Isaiah Ahmed,cw CUW,MF,Heerenveen,19-128,2005,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
