Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Saminu Abdullahi,ng NGA,MF,FC Juárez,24-122,2001,3,0,48,0.5,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,1,4,4,0.00,1.87,1.87,0.00,1.87,0.00,0.18,0.18,0.00,0.18,Matches
2,José Abella,mx MEX,DF,Santos,31-084,1994,17,17,1510,16.8,0,2,2,0,0,0,2,0,0.1,0.1,1.7,1.8,9,70,55,0.00,0.12,0.12,0.00,0.12,0.01,0.10,0.11,0.01,0.11,Matches
3,José Abella,mx MEX,DF,FC Juárez,31-084,1994,17,11,1014,11.3,0,1,1,0,0,0,3,0,0.2,0.2,0.3,0.5,5,34,10,0.00,0.09,0.09,0.00,0.09,0.02,0.03,0.05,0.02,0.05,Matches
4,Diego Abitia,mx MEX,FW,Atlético,22-019,2003,11,3,320,3.6,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,7,2,15,0.00,0.00,0.00,0.00,0.00,0.11,0.12,0.23,0.11,0.23,Matches
5,Carlos Acevedo,mx MEX,GK,Santos,29-016,1996,33,33,2970,33.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Alonso Aceves,mx MEX,DF,Pachuca,24-038,2001,17,14,1334,14.8,0,0,0,0,0,0,2,0,0.4,0.4,0.6,1.0,11,51,22,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches
7,Gilberto Adame,mx MEX,"DF,MF",Mazatlán,20-185,2004,12,3,417,4.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,17,13,33,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,Matches
8,Sergio Aguayo,us USA,FW,Pachuca,22-162,2002,6,0,162,1.8,1,0,1,1,0,0,1,0,0.6,0.6,0.5,1.1,2,3,10,0.56,0.00,0.56,0.56,0.56,0.36,0.25,0.61,0.36,0.61,Matches
9,Eduardo Águila,mx MEX,DF,Atlético,22-353,2002,31,30,2701,30.0,0,0,0,0,0,0,4,0,1.1,1.1,0.1,1.2,14,64,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
10,Eduardo Aguirre,mx MEX,"FW,MF",Atlas,26-275,1998,30,25,2195,24.4,8,3,11,8,0,0,4,0,6.7,6.7,2.3,9.0,19,47,113,0.33,0.12,0.45,0.33,0.45,0.27,0.09,0.37,0.27,0.37,Matches
11,Érick Aguirre,mx MEX,DF,Monterrey,28-071,1997,15,13,938,10.4,0,2,2,0,0,0,3,0,0.3,0.3,1.2,1.5,21,48,67,0.00,0.19,0.19,0.00,0.19,0.03,0.11,0.15,0.03,0.15,Matches
