Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Liel Abada,il ISR,"FW,MF",Charlotte,23-213,2001,10,9,657,7.3,3,0,3,3,0,0,1,0,3.4,3.4,0.9,4.3,29,21,51,0.41,0.00,0.41,0.41,0.41,0.46,0.13,0.59,0.46,0.59,Matches
2,Luis Abram,pe PER,DF,Atlanta Utd,29-066,1996,9,6,615,6.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,24,3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
3,Lalas Abubakar,gh GHA,DF,FC Dallas,30-130,1994,7,2,181,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,10,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
4,Kellyn Acosta,us USA,MF,Chicago Fire,29-284,1995,7,5,387,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,3,18,4,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.10,0.01,0.10,Matches
5,Luciano Acosta,ar ARG,MF,FC Dallas,30-338,1994,11,10,915,10.2,3,0,3,3,0,1,4,0,2.9,2.1,1.9,3.9,35,67,76,0.30,0.00,0.30,0.30,0.30,0.28,0.18,0.47,0.21,0.39,Matches
6,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-108,1995,4,3,171,1.9,2,0,2,2,0,0,0,0,1.3,1.3,0.3,1.7,6,9,19,1.05,0.00,1.05,1.05,1.05,0.70,0.18,0.88,0.70,0.88,Matches
7,Leonardo Afonso,br BRA,FW,Inter Miami,23-295,2001,2,1,73,0.8,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,1,1,7,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.45,0.45,0.45,Matches
8,Stephen Afrifa,ca CAN,"FW,MF",Sporting KC,24-074,2001,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
9,William Agada,ng NGA,FW,Sporting KC,25-229,1999,6,1,99,1.1,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.6,0,2,2,0.00,0.00,0.00,0.00,0.00,0.44,0.15,0.58,0.44,0.58,Matches
