Rk,Player,Nation,Pos,Squad,AGE,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90
1,Lucas Abascia,ar ARG,DF,Cen. Córdoba–SdE,29.4,1995,8,5,523,5.8,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,1,23,1,0,0,0,0,0,0.03,0,0.04,0.03,0.04
2,Luciano Abecasis,ar ARG,DF,Ind. Rivadavia,34.91780822,1990,1,1,90,1,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,3,3,5,0,1,1,0,1,0.09,0.17,0.26,0.09,0.26
3,Ramón Ábila,ar ARG,FW,Huracán,35.55616438,1989,8,0,151,1.7,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,4,13,0,0,0,0,0,0.14,0.1,0.24,0.14,0.24
4,Ignacio Abraham,sy SYR,DF,Banfield,27.30958904,1998,5,4,371,4.1,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,6,13,18,0,0,0,0,0,0.06,0.03,0.1,0.06,0.1
5,Gonzalo Abrego,ar ARG,MF,Godoy Cruz,25.32328767,2000,14,9,840,9.3,0,0,0,0,0,0,2,0,0.8,0.8,1.1,1.9,7,59,30,0,0,0,0,0,0.08,0.12,0.19,0.08,0.19
6,Jonás Acevedo,ar ARG,"MF,FW",Instituto,28.24109589,1997,11,7,640,7.1,1,0,1,1,0,0,1,0,1.1,1.1,0.9,1.9,9,28,40,0.14,0,0.14,0.14,0.14,0.15,0.12,0.27,0.15,0.27
7,Juan Achetoni,ar ARG,FW,Aldosivi,20.15068493,2005,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Guillermo Acosta,ar ARG,MF,Atlé Tucumán,36.50958904,1988,14,11,895,9.9,0,1,1,0,0,0,3,0,0.3,0.3,0.9,1.3,7,61,10,0,0.1,0.1,0,0.1,0.04,0.09,0.13,0.04,0.13
9,Lautaro Acosta,ar ARG,FW,Lanús,37.14246575,1988,3,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0.12,0.12,0,0.12
10,Lucas Acosta,ar ARG,"FW,DF",San Martín de San Juan,19.96164384,2005,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
11,Lucas Acosta,ar ARG,GK,Sarmiento,30.14794521,1995,16,16,1440,16,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,1,0,0,0,0,0,0,0,0.01,0.01,0,0.01
12,Marcos Acuña,ar ARG,DF,River Plate,33.51780822,1991,13,12,1010,11.2,0,1,1,0,0,0,4,0,0.4,0.4,1.5,1.9,28,65,57,0,0.09,0.09,0,0.09,0.04,0.14,0.17,0.04,0.17
13,Valentino Acuña,ar ARG,"FW,DF",Newell's OB,19.26849315,2006,4,0,97,1.1,1,0,1,1,0,0,0,0,0.4,0.4,0,0.4,0,2,1,0.93,0,0.93,0.93,0.93,0.4,0,0.4,0.4,0.4
14,Tomás Adoryán,ar ARG,MF,Banfield,23.61643836,2001,11,7,479,5.3,1,0,1,1,0,0,3,0,1.1,1.1,0.2,1.3,11,29,16,0.19,0,0.19,0.19,0.19,0.2,0.03,0.24,0.2,0.24
15,Luis Advíncula,pe PER,DF,Boca Juniors,35.17534247,1990,13,7,743,8.3,1,1,2,1,0,0,2,0,0.7,0.7,0.7,1.4,16,30,38,0.12,0.12,0.24,0.12,0.24,0.08,0.08,0.16,0.08,0.16
16,Alan Aguerre,ar ARG,GK,Cen. Córdoba–SdE,34.69863014,1990,14,14,1260,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Emanuel Aguilera,ar ARG,DF,Defensa y Just,35.89863014,1989,13,12,998,11.1,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,4,38,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
18,Brian Aguirre,ar ARG,FW,Boca Juniors,21.9260274,2003,6,1,121,1.3,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,7,4,10,0,0,0,0,0,0.11,0,0.11,0.11,0.11
19,Manuel Agustín Duarte,ar ARG,"MF,FW",Barracas Central,23.69863014,2001,11,5,389,4.3,1,0,1,1,0,0,1,0,0.5,0.5,0.4,0.9,10,13,19,0.23,0,0.23,0.23,0.23,0.12,0.08,0.21,0.12,0.21
20,Gabriel Alanís,ar ARG,FW,Huracán,31.1369863,1994,13,12,927,10.3,0,0,0,0,0,0,0,0,0.7,0.7,1.3,2,12,7,64,0,0,0,0,0,0.07,0.13,0.19,0.07,0.19
21,Agustín Alaniz,uy URU,"FW,MF",Banfield,22.96986301,2002,15,11,1000,11.1,2,2,4,2,0,0,1,0,1.7,1.7,1.9,3.7,34,23,63,0.18,0.18,0.36,0.18,0.36,0.16,0.17,0.33,0.16,0.33
22,Fernando Alarcón,ar ARG,DF,Instituto,30.88493151,1994,16,16,1440,16,0,1,1,0,0,0,5,0,0.6,0.6,0.2,0.8,5,35,3,0,0.06,0.06,0,0.06,0.04,0.01,0.05,0.04,0.05
23,William Alarcón,cl CHI,MF,Boca Juniors,24.45479452,2000,8,5,437,4.9,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.6,5,31,14,0,0,0,0,0,0.05,0.07,0.12,0.05,0.12
24,Lucas Alario,ar ARG,FW,Estudiantes–LP,32.57260274,1992,12,7,601,6.7,1,0,1,0,1,1,2,0,1.5,0.7,1,1.7,2,6,23,0.15,0,0.15,0,0,0.23,0.14,0.37,0.11,0.25
25,Franco Alfonso,ar ARG,"FW,MF",Cen. Córdoba–SdE,23.00273973,2002,5,1,198,2.2,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.7,9,11,17,0,0,0,0,0,0.31,0.02,0.33,0.31,0.33
26,Rodrigo Aliendro,ar ARG,MF,River Plate,34.21369863,1991,11,5,482,5.4,1,0,1,1,0,0,2,0,1.2,1.2,0.8,2,7,44,26,0.19,0,0.19,0.19,0.19,0.23,0.15,0.38,0.23,0.38
27,Agustín Almendra,ar ARG,MF,Racing Club,25.22739726,2000,13,12,826,9.2,0,0,0,0,0,0,1,0,0.4,0.4,0.7,1.1,4,63,10,0,0,0,0,0,0.04,0.08,0.12,0.04,0.12
28,Antony Alonso,ar ARG,"MF,FW",Deportivo Riestra,26.98356164,1998,14,9,566,6.3,3,1,4,3,0,0,1,0,1.3,1.3,0.7,2,4,6,19,0.48,0.16,0.64,0.48,0.64,0.2,0.12,0.32,0.2,0.32
29,Facundo Altamira,,"FW,MF",Godoy Cruz,0,,10,7,526,5.8,1,0,1,1,0,0,1,0,0.2,0.2,0.2,0.4,20,7,31,0.17,0,0.17,0.17,0.17,0.03,0.03,0.07,0.03,0.07
30,Pablo Altamirano,ar ARG,MF,Newell's OB,20.26027397,2005,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
31,Francisco Álvarez,ar ARG,DF,Arg Juniors,25.18630137,2000,16,16,1435,15.9,0,2,2,0,0,0,3,0,0.3,0.3,0.1,0.5,19,65,2,0,0.13,0.13,0,0.13,0.02,0.01,0.03,0.02,0.03
32,Franco Amarfil,ar ARG,MF,Ind. Rivadavia,24.15068493,2001,15,15,1309,14.5,0,1,1,0,0,0,6,0,1.1,1.1,0.3,1.5,13,70,26,0,0.07,0.07,0,0.07,0.08,0.02,0.1,0.08,0.1
33,Fabricio Amato,ar ARG,MF,Ind. Rivadavia,20.91780822,2004,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,Santino Andino,ar ARG,"MF,FW",Godoy Cruz,19.5260274,2005,11,7,630,7,2,0,2,2,0,0,3,0,0.7,0.7,0.4,1.1,27,14,59,0.29,0,0.29,0.29,0.29,0.1,0.06,0.16,0.1,0.16
35,Isaías Andrada,ar ARG,"DF,MF",Vélez Sarsfield,22.22465753,2003,4,1,165,1.8,0,1,1,0,0,0,0,0,0,0,0.2,0.2,1,12,10,0,0.55,0.55,0,0.55,0,0.09,0.09,0,0.09
36,Juan Andrada,ar ARG,MF,Sarmiento,30.33150685,1995,3,1,101,1.1,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1,0,0,0,0,0,0,0,0,0,0
37,Álvaro Angulo,co COL,DF,Independiente,27.92054795,1997,14,7,779,8.7,3,0,3,3,0,0,4,0,1.1,1.1,0.4,1.5,25,49,72,0.35,0,0.35,0.35,0.35,0.13,0.04,0.17,0.13,0.17
38,Luis Angulo,co COL,"FW,MF",Cen. Córdoba–SdE,21.11780822,2004,16,13,989,11,1,4,5,1,0,0,4,0,3.3,3.3,2.8,6.1,43,23,105,0.09,0.36,0.46,0.09,0.46,0.3,0.25,0.55,0.3,0.55
39,Federico Anselmo,ar ARG,FW,San Martín de San Juan,31.04931507,1994,12,8,805,8.9,1,0,1,1,0,0,1,0,2.4,2.4,0.4,2.7,5,12,11,0.11,0,0.11,0.11,0.11,0.27,0.04,0.31,0.27,0.31
40,Mateo Antoni,uy URU,MF,Arg Juniors,22.03561644,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Dylan Aquino,ar ARG,FW,Lanús,19.91780822,2005,15,5,635,7.1,0,0,0,0,0,0,1,0,1.4,1.4,1.1,2.5,26,28,62,0,0,0,0,0,0.2,0.15,0.35,0.2,0.35
42,Ignacio Arce,ar ARG,GK,Deportivo Riestra,33.0739726,1992,16,16,1440,16,0,0,0,0,0,0,2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
43,Lucas Arce,ar ARG,DF,Godoy Cruz,27.72328767,1997,14,9,872,9.7,0,1,1,0,0,0,1,0,0.3,0.3,1.8,2.1,15,48,29,0,0.1,0.1,0,0.1,0.03,0.18,0.22,0.03,0.22
44,Joaquín Ardaiz,uy URU,FW,Arg Juniors,26.31232877,1999,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,Facundo Ardiles,ar ARG,DF,Godoy Cruz,26.61643836,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.04,0.04,0,0.04
46,Gabriel Arias,cl CHI,GK,Racing Club,37.64109589,1987,12,12,1016,11.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Ramón Arias,uy URU,DF,Tigre,32.77260274,1992,5,2,203,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
48,Franco Armani,ar ARG,GK,River Plate,38.55068493,1986,16,16,1440,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Blas Armoa,py PAR,FW,Tigre,25.24931507,2000,8,3,282,3.1,0,1,1,0,0,0,0,0,0.7,0.7,0,0.7,13,4,25,0,0.32,0.32,0,0.32,0.22,0.01,0.23,0.22,0.23
50,Marcos Arturia,ar ARG,FW,Banfield,27.23561644,1998,13,5,470,5.2,1,0,1,1,0,0,3,0,1.5,1.5,0.4,1.9,7,5,23,0.19,0,0.19,0.19,0.19,0.28,0.07,0.34,0.28,0.34
51,Santiago Arzamendia,py PAR,DF,Estudiantes–LP,27,1998,12,10,883,9.8,1,0,1,1,0,0,6,1,1.2,1.2,0.6,1.8,11,29,45,0.1,0,0.1,0.1,0.1,0.12,0.06,0.19,0.12,0.19
52,Santiago Ascacíbar,ar ARG,MF,Estudiantes–LP,28.1890411,1997,13,13,1170,13,4,1,5,4,0,0,6,0,2.3,2.3,1,3.3,13,76,33,0.31,0.08,0.38,0.31,0.38,0.17,0.08,0.25,0.17,0.25
53,Jorge de Asís,ar ARG,MF,Gimnasia–LP,19.2630137,2006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Agustín Auzmendi,ar ARG,FW,Godoy Cruz,28.25479452,1997,7,2,259,2.9,1,0,1,1,0,0,0,0,1.3,1.3,0.1,1.4,0,4,17,0.35,0,0.35,0.35,0.35,0.45,0.02,0.47,0.45,0.47
55,Carlos Auzqui,ar ARG,MF,Atlé Tucumán,34.1369863,1991,9,6,536,6,0,1,1,0,0,0,0,0,0.2,0.2,0.8,1,5,19,35,0,0.17,0.17,0,0.17,0.04,0.13,0.17,0.04,0.17
56,Gabriel Ávalos,py PAR,FW,Independiente,34.56164384,1990,14,12,944,10.5,8,1,9,6,2,2,2,0,4.5,2.9,0.6,3.5,9,17,47,0.76,0.1,0.86,0.57,0.67,0.43,0.06,0.48,0.27,0.33
57,Elías Báez,ar ARG,DF,San Lorenzo,20.54520548,2004,16,16,1368,15.2,0,1,1,0,0,0,3,0,0.3,0.3,0.7,1,20,69,52,0,0.07,0.07,0,0.07,0.02,0.05,0.06,0.02,0.06
58,Claudio Baeza,cl CHI,MF,Vélez Sarsfield,31.36438356,1993,6,3,318,3.5,0,0,0,0,0,0,3,0,0,0,0.1,0.1,1,10,2,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04
