Squad,# Pl,90s,Cmp_total,Att_total,Cmp%_total,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A_minus_xAG,KP,final_third,PPA,CrsPA,PrgP
Arsenal,25,35,15792,18735,84.3,258717,80872,7919,8638,91.7,6633,7445,89.1,963,1875,51.4,51,41.3,41.9,9.7,385,1278,402,66,1695
Aston Villa,28,35,13748,16565,83,235804,81978,6330,7001,90.4,6142,6896,89.1,1008,1879,53.6,42,39.6,34.5,2.4,339,1064,294,52,1237
Bournemouth,29,35,11692,15330,76.3,211640,79622,5053,5861,86.2,5112,6046,84.6,1253,2610,48,39,41.6,33.6,-2.6,412,1118,305,93,1356
Brentford,28,34,11963,15323,78.1,219510,84201,5246,6057,86.6,5198,6135,84.7,1294,2440,53,39,37.3,34.3,1.7,296,987,290,80,1197
Brighton,31,34,14216,17243,82.4,241867,81970,6868,7601,90.4,5862,6706,87.4,1194,2162,55.2,36,36.3,34.5,-0.3,331,1067,303,80,1380
Chelsea,29,34,16566,19510,84.9,286368,90167,7412,8089,91.6,7566,8364,90.5,1267,2288,55.4,44,48.1,38.6,-4.1,424,1374,329,70,1471
Crystal Palace,29,34,10754,14232,75.6,193429,72416,4718,5506,85.7,4796,5728,83.7,1024,2291,44.7,32,39.2,31.3,-7.2,331,813,243,60,1036
Everton,26,35,10443,13748,76,197183,77874,4615,5337,86.5,4227,5009,84.4,1397,2667,52.4,22,28,24.7,-6,272,926,239,84,959
Fulham,26,35,14964,18269,81.9,267261,90277,6609,7377,89.6,6715,7623,88.1,1380,2484,55.6,42,35.7,32.9,6.3,365,1245,306,99,1441
Ipswich Town,32,35,10423,13429,77.6,186218,71388,4650,5269,88.3,4620,5424,85.2,948,2037,46.5,25,21.6,18.9,3.4,248,788,149,45,832
Leicester City,31,35,13010,16293,79.9,218061,78221,6272,7002,89.6,5398,6207,87,997,2184,45.7,22,23.7,22.9,-1.7,236,907,200,64,1013
Liverpool,24,34,16368,19473,84.1,278556,93682,7754,8463,91.6,6990,7897,88.5,1266,2273,55.7,59,54.7,48.3,4.3,462,1427,391,76,1711
Manchester City,29,35,19908,22557,88.3,323048,90784,10237,11024,92.9,8224,8964,91.7,1172,1861,63,48,49.8,48.7,-1.8,433,1553,399,58,1763
Manchester Utd,31,34,14980,18203,82.3,245878,79965,7388,8198,90.1,6039,6858,88.1,1094,2151,50.9,25,34.4,31.3,-9.4,354,1009,289,63,1267
Newcastle Utd,24,34,13801,16944,81.5,232452,81502,6686,7470,89.5,5786,6595,87.7,1045,2049,51,48,42.2,38,5.8,357,1016,344,65,1407
Nott'ham Forest,23,34,9419,12582,74.9,160702,65376,4704,5382,87.4,3430,4276,80.2,914,2087,43.8,38,29.9,26.5,8.1,304,828,210,53,974
Southampton,35,35,14570,17376,83.9,246918,79516,6852,7518,91.1,6279,6989,89.8,1089,2089,52.1,15,23.6,22.2,-8.6,261,939,208,56,1067
Tottenham,31,34,15445,18539,83.3,256455,86672,7147,7936,90.1,6862,7699,89.1,1008,1862,54.1,46,41.4,34.9,4.6,362,1204,356,81,1519
West Ham,27,34,13008,16153,80.5,228866,80830,6075,6834,88.9,5525,6337,87.2,1212,2297,52.8,23,30.5,28.5,-7.5,301,965,245,65,1092
Wolves,30,35,13033,16162,80.6,222514,76010,6127,6821,89.8,5338,6071,87.9,1148,2296,50,39,32.4,24.4,6.6,288,906,254,67,1062
