Squad,# Pl,Age,MP,Min,Mn_per_MP,Min%,90s,Starts,Mn_per_Start,Compl,Subs,Mn_per_Sub,unSub,PPM,onG,onGA,plus_minus,plus_minus_p90,onxG,onxGA,xG_plus_minus,xG_plus_minus_p90
Arsenal,25,26.6,35,3150,90,100,35,385,83,252,130,19,185,1.91,64,31,33,0.94,54.4,29.9,24.5,0.7
Aston Villa,28,27.8,35,3150,90,100,35,385,80,226,159,24,154,1.71,55,49,6,0.17,53.3,45.9,7.4,0.21
Bournemouth,29,25.8,35,3150,90,100,35,385,83,236,148,19,167,1.51,55,42,13,0.37,60.5,45.7,14.8,0.42
Brentford,28,26.6,34,3060,90,100,34,374,85,248,127,15,179,1.44,58,50,8,0.24,50.9,51,0,0
Brighton,31,25.6,34,3060,90,100,34,374,82,207,164,18,142,1.5,56,55,1,0.03,52,47.7,4.4,0.13
Chelsea,29,24.4,34,3060,90,100,34,374,83,245,129,19,177,1.76,59,40,19,0.56,62.1,43.2,18.9,0.56
Crystal Palace,29,27,34,3060,90,100,34,374,83,240,131,18,175,1.32,43,47,-4,-0.12,51.3,44.2,7.2,0.21
Everton,26,28.7,35,3150,90,100,35,385,84,266,117,19,197,1.11,36,43,-7,-0.2,36.9,43.1,-6.2,-0.18
Fulham,26,28.8,35,3150,90,100,35,385,83,221,164,16,151,1.46,50,47,3,0.09,46,40.6,5.4,0.15
Ipswich Town,32,26.5,35,3150,90,100,35,385,82,218,164,17,151,0.63,35,76,-41,-1.17,31.3,69.4,-38.1,-1.09
Leicester City,31,27.4,35,3150,90,100,35,385,82,232,153,19,162,0.6,29,76,-47,-1.34,30.5,67.6,-37.1,-1.06
Liverpool,24,28,34,3060,90,100,34,374,82,228,146,19,160,2.41,80,32,48,1.41,74.4,28.9,45.5,1.34
Manchester City,29,27.6,35,3150,90,100,35,385,85,267,118,16,193,1.83,67,43,24,0.69,61.9,45.2,16.6,0.48
Manchester Utd,31,26.3,34,3060,90,100,34,374,81,230,142,22,163,1.15,39,47,-8,-0.24,45.7,48.2,-2.5,-0.07
Newcastle Utd,24,28.1,34,3060,90,100,34,374,83,226,147,18,159,1.82,65,44,21,0.62,57.8,42.4,15.4,0.45
Nott'ham Forest,23,26.9,34,3060,90,100,34,374,82,219,153,19,152,1.76,53,41,12,0.35,40.4,43.4,-3,-0.09
Southampton,35,26.1,35,3150,90,100,35,385,80,218,166,23,149,0.31,25,82,-57,-1.63,30.7,78.1,-47.3,-1.35
Tottenham,31,25.9,34,3060,90,100,34,374,82,231,144,21,161,1.09,62,56,6,0.18,54.8,55.5,-0.7,-0.02
West Ham,27,28.9,34,3060,90,100,34,374,81,219,152,22,154,1.06,39,58,-19,-0.56,42.2,54.1,-11.9,-0.35
Wolves,30,27.7,35,3150,90,100,35,385,83,232,152,17,162,1.17,51,62,-11,-0.31,40.4,53.5,-13.1,-0.37
