Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,final_third,CPA,Mis,Dis,Rec,PrgR
Arsenal,25,57,35,22207,1669,5603,9660,7111,1185,22205,673,294,43.7,295,43.8,13054,69209,36917,777,483,267,443,349,15642,1671
Aston Villa,28,51,35,20201,2435,6803,8644,4955,883,20195,680,302,44.4,279,41,11432,63123,33063,666,413,201,470,361,13497,1225
Bournemouth,29,47.7,35,19752,2081,5949,8485,5562,919,19745,630,271,43,283,44.9,10626,62588,33366,692,486,213,554,328,11582,1342
Brentford,28,47.6,34,19259,3002,7546,7185,4702,877,19254,555,237,42.7,254,45.8,10158,54956,28128,532,325,190,479,266,11781,1181
Brighton,31,52.5,34,21274,2329,6778,9244,5490,953,21269,735,304,41.4,361,49.1,12508,69206,37695,726,516,232,515,312,14054,1365
Chelsea,29,58.3,34,22990,2132,6858,10384,5938,1031,22986,706,293,41.5,300,42.5,13377,71356,37759,783,443,284,417,277,16432,1454
Crystal Palace,29,43,34,18333,2282,6865,7643,3999,695,18330,431,185,42.9,202,46.9,9207,46593,22590,450,318,110,444,307,10672,1023
Everton,26,40.9,35,17864,2241,6375,7244,4438,667,17862,600,267,44.5,288,48,8759,47011,23279,448,337,112,480,363,10356,943
Fulham,26,52.2,35,22086,2401,7379,9093,5848,871,22082,600,268,44.7,243,40.5,13018,67897,35373,724,515,204,469,257,14825,1427
Ipswich Town,32,40,35,17427,2812,7177,6847,3597,536,17425,571,250,43.8,255,44.7,8588,48231,23426,452,299,133,502,319,10321,818
Leicester City,31,45.5,35,20238,2640,7394,9212,3825,591,20235,602,246,40.9,289,48,11494,57883,28587,550,344,134,458,306,12909,1004
Liverpool,24,57.8,34,23185,2057,6342,10460,6586,1176,23176,594,276,46.5,268,45.1,13317,67521,36132,741,499,289,475,308,16193,1699
Manchester City,29,61.4,35,25929,1965,6054,11218,8869,1214,25926,746,354,47.5,282,37.8,16664,95436,51373,1042,781,362,435,373,19641,1742
Manchester Utd,31,53.2,34,22065,2292,7735,9335,5199,851,22062,567,240,42.3,284,50.1,13452,66763,33693,612,427,205,453,325,14834,1253
Newcastle Utd,24,51.1,34,20674,2070,6775,8659,5441,959,20669,608,265,43.6,270,44.4,11783,63284,32045,669,410,240,428,406,13699,1398
Nott'ham Forest,23,40.3,34,16722,2233,5776,6653,4507,699,16719,545,249,45.7,212,38.9,7692,44159,23544,564,354,170,507,289,9341,967
Southampton,35,49.4,35,21210,2722,7718,9130,4549,650,21208,678,283,41.7,308,45.4,11886,63013,32362,611,446,154,440,325,14436,1059
Tottenham,31,56.4,34,22429,2292,7254,9474,5921,960,22426,747,288,38.6,386,51.7,14056,77176,38969,783,526,234,485,387,15319,1510
West Ham,27,47.6,34,20200,2650,7436,8615,4346,755,20197,703,309,44,314,44.7,10311,52530,26543,559,360,159,441,359,12911,1085
Wolves,30,47.3,35,20269,2411,7209,9089,4217,655,20268,658,293,44.5,280,42.6,11116,59971,30725,547,416,132,532,334,12933,1056
