Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G_PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls_p90,Ast_p90,G+A_p90,G_minus_PK_p90,G+A_minus_PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90
1,Alavés,es La Liga,29,27.3,45.7,33,363,2970,33,35,20,55,29,6,8,95,5,36.8,30.5,22.4,53,408,1029,1.06,0.61,1.67,0.88,1.48,1.12,0.68,1.8,0.93,1.6
2,Angers,fr Ligue 1,26,28.4,41.5,31,341,2790,31,28,15,43,23,5,6,41,2,33.7,29,22,51,456,868,0.9,0.48,1.39,0.74,1.23,1.09,0.71,1.8,0.94,1.64
3,Arsenal,eng Premier League,25,26.6,57.1,34,374,3060,34,61,50,111,59,2,2,64,5,53,51.5,40.4,91.9,755,1655,1.79,1.47,3.26,1.74,3.21,1.56,1.19,2.75,1.51,2.7
4,Aston Villa,eng Premier League,28,27.8,51,34,374,3060,34,52,41,93,49,3,6,68,2,52.4,47.6,38.6,86.2,646,1197,1.53,1.21,2.74,1.44,2.65,1.54,1.14,2.68,1.4,2.54
5,Atalanta,it Serie A,32,28,55.8,34,374,3060,34,65,45,110,60,5,7,63,1,57,51.6,41.2,92.7,812,1641,1.91,1.32,3.24,1.76,3.09,1.68,1.21,2.89,1.52,2.73
6,Athletic Club,es La Liga,30,27.6,48.7,33,363,2970,33,50,39,89,47,3,6,59,3,48,43.2,33,76.2,613,1401,1.52,1.18,2.7,1.42,2.61,1.45,1,2.45,1.31,2.31
7,Atlético Madrid,es La Liga,24,29.1,51.8,33,363,2970,33,56,42,98,50,6,7,71,3,53.9,48.5,39.2,87.8,639,1329,1.7,1.27,2.97,1.52,2.79,1.63,1.19,2.82,1.47,2.66
8,Augsburg,de Bundesliga,29,27.6,43.3,31,341,2790,31,33,25,58,32,1,2,77,4,29.3,27.7,21.1,48.8,405,1025,1.06,0.81,1.87,1.03,1.84,0.95,0.68,1.63,0.89,1.58
9,Auxerre,fr Ligue 1,29,26.7,42,31,341,2790,31,44,32,76,40,4,5,61,4,39.8,36.1,30.9,67,445,987,1.42,1.03,2.45,1.29,2.32,1.28,1,2.28,1.17,2.16
10,Barcelona,es La Liga,27,25.5,67.7,33,363,2970,33,86,63,149,80,6,7,54,3,79.8,74.3,60.4,134.7,749,1926,2.61,1.91,4.52,2.42,4.33,2.42,1.83,4.25,2.25,4.08
11,Bayern Munich,de Bundesliga,29,28.4,68.3,31,341,2790,31,87,58,145,78,9,10,46,1,76.2,68.4,54.8,123.3,741,1930,2.81,1.87,4.68,2.52,4.39,2.46,1.77,4.23,2.21,3.98
