Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,1,35.0,31,3,2,7,0,30.2,0.26,-0.8,-0.02,136,430,31.6,1126,161,30.3,29.4,183,48.6,38.1,368,47,12.8,61,1.74,17.3
Aston Villa,2,35.0,49,1,1,2,0,48.4,0.34,-0.6,-0.02,160,412,38.8,1087,122,28.2,30.1,269,39.0,33.3,494,52,10.5,33,0.94,14.2
Bournemouth,3,35.0,42,4,1,5,0,52.0,0.3,10.0,0.29,168,449,37.4,877,145,36.9,36.8,255,49.0,39.9,442,22,5.0,59,1.69,12.6
Brentford,2,34.0,50,1,0,2,3,48.8,0.26,1.8,0.05,247,638,38.7,1322,119,37.0,34.6,302,49.3,39.9,552,46,8.3,32,0.94,11.4
Brighton,2,34.0,55,7,1,4,2,46.1,0.31,-6.9,-0.2,113,343,32.9,1071,115,27.3,25.1,214,23.8,23.5,394,27,6.9,49,1.44,15.4
Chelsea,2,34.0,40,5,0,4,0,42.7,0.26,2.7,0.08,91,379,24.0,1086,184,32.0,32.3,193,16.6,20.3,362,41,11.3,53,1.56,14.8
Crystal Palace,1,34.0,47,1,1,2,3,46.5,0.34,2.5,0.07,143,533,26.8,819,102,48.0,38.4,267,52.4,42.5,488,26,5.3,37,1.09,14.3
Everton,1,35.0,43,0,1,6,0,44.6,0.29,1.6,0.04,280,735,38.1,1195,156,50.3,39.6,257,52.1,41.9,499,26,5.2,56,1.6,15.3
Fulham,1,35.0,47,2,0,5,2,42.5,0.29,-2.5,-0.07,128,343,37.3,1056,153,25.0,29.0,244,32.4,29.7,467,20,4.3,28,0.8,13.3
Ipswich Town,3,35.0,76,6,0,10,2,69.5,0.33,-4.5,-0.13,182,512,35.5,916,162,38.2,35.2,294,55.1,42.1,579,66,11.4,33,0.94,7.6
Leicester City,3,35.0,76,3,0,4,3,70.5,0.35,-2.5,-0.07,174,620,28.1,1093,169,44.4,32.0,288,46.9,35.5,555,32,5.8,34,0.97,20.7
Liverpool,3,34.0,32,0,0,3,1,30.9,0.28,-0.1,0.0,90,284,31.7,942,147,25.2,26.5,204,23.0,25.1,340,16,4.7,52,1.53,15.7
Manchester City,2,35.0,43,4,1,4,2,44.1,0.35,3.1,0.09,105,250,42.0,1109,146,19.5,27.7,177,19.2,23.9,333,17,5.1,54,1.54,17.5
Manchester Utd,2,34.0,47,3,1,10,1,47.0,0.33,1.0,0.03,114,443,25.7,1096,136,31.1,29.9,219,46.6,35.9,408,23,5.6,22,0.65,11.7
Newcastle Utd,2,34.0,44,1,0,4,2,43.8,0.29,1.8,0.05,82,310,26.5,775,214,23.2,25.2,225,57.8,44.3,442,46,10.4,62,1.82,15.3
Nott'ham Forest,1,34.0,41,2,1,4,0,43.9,0.29,2.9,0.09,223,645,34.6,591,77,76.1,45.5,296,65.9,47.3,640,17,2.7,8,0.24,8.0
Southampton,3,35.0,82,7,0,11,0,79.2,0.32,-2.8,-0.08,216,632,34.2,1129,161,43.8,29.5,275,50.2,39.7,509,32,6.3,24,0.69,6.5
Tottenham,4,34.0,56,2,0,5,4,56.0,0.36,4.0,0.12,46,146,31.5,930,166,14.4,27.2,242,5.0,14.9,445,41,9.2,39,1.15,11.1
West Ham,2,34.0,58,3,1,8,3,53.5,0.3,-1.5,-0.04,194,541,35.9,1038,160,36.9,35.4,284,55.6,41.7,541,19,3.5,38,1.12,13.7
Wolves,3,35.0,62,6,1,11,3,52.9,0.32,-6.1,-0.17,143,501,28.5,932,132,42.9,36.6,229,44.1,36.5,537,37,6.9,51,1.46,13.4
