Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arsenal,25,35.0,543,323,201,231,111,236,471,50.1,235,301,97,204,212,755,603,27
Aston Villa,28,35.0,599,345,278,235,86,287,510,56.3,223,304,101,203,226,825,729,42
Bournemouth,29,35.0,650,377,274,278,98,283,598,47.3,315,439,134,305,335,985,945,20
Brentford,28,34.0,566,346,257,202,107,277,525,52.8,248,432,177,255,263,829,963,24
Brighton,31,34.0,620,377,251,260,109,304,632,48.1,328,392,109,283,280,900,682,26
Chelsea,29,34.0,521,326,218,216,87,244,487,50.1,243,312,93,219,244,765,592,43
Crystal Palace,29,34.0,699,409,339,271,89,299,596,50.2,297,431,124,307,290,989,953,19
Everton,26,35.0,684,402,344,251,89,314,607,51.7,293,361,129,232,306,990,1015,23
Fulham,26,35.0,627,382,296,245,86,266,525,50.7,259,344,101,243,282,909,818,28
Ipswich Town,32,35.0,553,315,279,201,73,268,565,47.4,297,405,174,231,290,843,1029,36
Leicester City,31,35.0,674,394,337,254,83,309,643,48.1,334,464,178,286,306,980,904,28
Liverpool,24,34.0,589,363,249,246,94,314,597,52.6,283,325,83,242,271,860,655,25
Manchester City,29,35.0,463,281,172,205,86,201,422,47.6,221,312,82,230,206,669,576,31
Manchester Utd,31,34.0,736,442,358,275,103,351,640,54.8,289,335,96,239,340,1076,683,22
Newcastle Utd,24,34.0,548,335,250,211,87,281,540,52.0,259,385,129,256,249,797,775,30
Nott'ham Forest,23,34.0,621,377,370,193,58,300,594,50.5,294,388,144,244,288,909,1075,20
Southampton,35,35.0,603,350,278,255,70,260,536,48.5,276,389,172,217,280,883,867,48
Tottenham,31,34.0,604,383,255,255,94,275,545,50.5,270,393,137,256,283,887,681,38
West Ham,27,34.0,563,332,278,211,74,246,472,52.1,226,410,157,253,301,864,935,25
Wolves,30,35.0,741,435,389,284,68,338,622,54.3,284,415,135,280,282,1023,879,24
