Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Arsenal,25,35.0,878,25.09,660,77,43,56,32,10,110,3.14,79,11,5,10,4,1
Aston Villa,28,35.0,802,22.91,567,82,47,55,38,13,96,2.74,76,6,3,6,4,1
Bournemouth,29,35.0,945,27.0,717,65,40,64,38,21,91,2.6,60,6,5,8,10,2
Brentford,28,34.0,699,20.56,516,64,36,41,32,10,101,2.97,70,10,5,6,9,1
Brighton,31,34.0,834,24.53,618,60,51,42,49,14,97,2.85,69,6,8,4,8,2
Chelsea,29,34.0,984,28.94,754,57,52,63,37,21,102,3.0,72,5,8,8,6,3
Crystal Palace,29,34.0,768,22.59,555,67,29,61,44,12,74,2.18,48,8,5,8,4,1
Everton,26,35.0,648,18.51,491,54,40,24,29,10,56,1.6,38,3,4,3,5,3
Fulham,26,35.0,856,24.46,650,71,36,61,23,15,91,2.6,72,3,5,4,4,3
Ipswich Town,32,35.0,577,16.49,397,67,46,26,29,12,56,1.6,44,2,6,2,2,0
Leicester City,31,35.0,546,15.6,401,46,39,24,31,5,50,1.43,33,4,5,4,4,0
Liverpool,24,34.0,1049,30.85,805,61,75,69,23,16,137,4.03,106,4,11,9,6,1
Manchester City,29,35.0,998,28.51,783,62,62,48,34,9,116,3.31,88,3,11,9,3,2
Manchester Utd,31,34.0,825,24.26,625,69,34,52,31,14,60,1.76,37,4,4,6,5,4
Newcastle Utd,24,34.0,831,24.44,635,60,38,42,33,23,110,3.24,91,6,3,4,4,2
Nott'ham Forest,23,34.0,717,21.09,515,66,34,52,33,17,83,2.44,56,8,3,7,6,3
Southampton,35,35.0,591,16.89,414,55,46,42,27,7,40,1.14,23,4,3,8,1,1
Tottenham,31,34.0,835,24.56,620,65,51,57,32,10,103,3.03,77,7,8,7,3,1
West Ham,27,34.0,739,21.74,528,62,45,60,30,14,55,1.62,33,5,3,11,3,0
Wolves,30,35.0,685,19.57,494,48,53,34,33,23,90,2.57,74,2,7,1,2,4
