Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,1,35,35,3150,35.0,31,0.89,108,77,74.1,18,13,4,12,34.3,3,3,0,0,0.0
Aston Villa,2,35,35,3150,35.0,49,1.4,141,91,66.0,17,9,9,7,20.0,2,1,1,0,50.0
Bournemouth,3,35,35,3150,35.0,42,1.2,164,122,76.8,14,11,10,8,22.9,4,4,0,0,0.0
Brentford,2,34,34,3060,34.0,50,1.47,185,138,73.5,14,7,13,7,20.6,1,1,0,0,0.0
Brighton,2,34,34,3060,34.0,55,1.62,132,79,63.6,13,12,9,7,20.6,7,7,0,0,0.0
Chelsea,2,34,34,3060,34.0,40,1.18,144,103,75.7,17,9,8,9,26.5,6,5,1,0,16.7
Crystal Palace,1,34,34,3060,34.0,47,1.38,139,94,66.9,11,12,11,10,29.4,2,1,1,0,50.0
Everton,1,35,35,3150,35.0,43,1.23,149,104,71.1,8,15,12,10,28.6,2,0,2,0,100.0
Fulham,1,35,35,3150,35.0,47,1.34,142,97,68.3,14,9,12,5,14.3,2,2,0,0,0.0
Ipswich Town,3,35,35,3150,35.0,76,2.17,196,122,64.3,4,10,21,2,5.7,6,6,0,0,0.0
Leicester City,3,35,35,3150,35.0,76,2.17,196,122,62.8,5,6,24,2,5.7,4,3,1,0,25.0
Liverpool,3,34,34,3060,34.0,32,0.94,109,77,70.6,25,7,2,14,41.2,1,0,1,0,100.0
Manchester City,2,35,35,3150,35.0,43,1.23,123,82,68.3,19,7,9,11,31.4,4,4,0,0,0.0
Manchester Utd,2,34,34,3060,34.0,47,1.38,135,88,67.4,10,9,15,9,26.5,4,3,1,0,25.0
Newcastle Utd,2,34,34,3060,34.0,44,1.29,146,103,70.5,19,5,10,12,35.3,2,1,1,0,50.0
Nott'ham Forest,1,34,34,3060,34.0,41,1.21,149,108,73.8,18,6,10,13,38.2,2,2,0,0,0.0
Southampton,3,35,35,3150,35.0,82,2.34,230,146,67.4,2,5,28,2,5.7,9,7,2,0,22.2
Tottenham,4,34,34,3060,34.0,56,1.65,154,102,64.9,11,4,19,6,17.6,2,2,0,0,0.0
West Ham,2,34,34,3060,34.0,58,1.71,170,115,67.6,9,9,16,6,17.6,3,3,0,0,0.0
Wolves,3,35,35,3150,35.0,62,1.77,149,88,62.4,12,5,18,8,22.9,8,6,2,0,25.0
